1007299507-f075 | http://is2.auto.ru/all/images/a8/cc/60x45/a8cc491d.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 65 000 |  2000  |  152 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007254109-cb9f2 | http://is12.auto.ru/all/images/d5/33/60x45/d5333460.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #9c9999 | 61 500 |  1994  |  94 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Липецк | 22.01.15
1007254001-6f9305 | http://is8.auto.ru/all/images/d9/47/60x45/d9478730.jpg |  ВАЗ 21091.5 MT (78 л.с.)  | #34ba2b | 100 000 |  2003  |  260 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Серпухов | 22.01.15
1007253577-06310b | http://is13.auto.ru/all/images/0e/2e/60x45/0e2e608e.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 68 000 |  2003  |  30 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ульяновск | 22.01.15
1007253073-742e | http://is16.auto.ru/all/images/9d/4a/60x45/9d4ac1b6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #000000 | 35 000 |  1989  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004487513-245c86 | http://is8.auto.ru/all/images/3e/92/60x45/3e92f958.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 48 000 |  1992  |  88 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007044667-ebd54 | http://is4.auto.ru/all/images/78/9a/60x45/789abb04.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 60 000 |  1999  |  180 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007252857-84203e | http://is16.auto.ru/all/images/b3/3a/60x45/b33aea48.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 120 000 |  2002  |  118 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Волоколамск | 22.01.15
1007250439-dfc2 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 60 000 |  2001  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007251941-78958 | http://is3.auto.ru/all/images/40/f8/60x45/40f82743.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 60 000 |  1996  |  132 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Мичуринск | 22.01.15
1007251577-e9ba3c | http://is16.auto.ru/all/images/94/76/60x45/947622f4.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 53 000 |  1999  |  100 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Великий Новгород | 22.01.15
1007250803-77074a | http://is5.auto.ru/all/images/35/7c/60x45/357c02d4.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2003  |  94 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007250667-cfe7d0 | http://is1.auto.ru/all/images/9c/d1/60x45/9cd15b11.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 35 000 |  2001  |  175 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Сергиев Посад | 22.01.15
1007250747-7168 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 92 000 |  2002  |  25 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Крымск | 22.01.15
47708058-b3c0 | http://is8.auto.ru/all/images/99/e7/60x45/99e73b92.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 117 000 |  2004  |  130 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1007250507-6685b0 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 110 000 |  2003  |  92 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Нижний Тагил | 22.01.15
1004490557-0db0 | http://is3.auto.ru/all/images/6e/14/60x45/6e14f467.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 70 000 |  2002  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Тверь | 22.01.15
1006755071-2e2b4c | http://is15.auto.ru/all/images/bf/b3/60x45/bfb3ab4e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 55 000 |  1992  |  57 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007249237-9e9c | http://is3.auto.ru/all/images/2e/5c/60x45/2e5cf222.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 55 000 |  2003  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006519597-34be4 | http://is10.auto.ru/all/images/15/10/60x45/15105075.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 60 000 |  2004  |  30 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007247583-66e00 | http://is5.auto.ru/all/images/48/57/60x45/4857b726.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 80 000 |  2001  |  220 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Таганрог | 22.01.15
1007247375-eef70b | http://is8.auto.ru/all/images/27/76/60x45/2776d35f.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 50 000 |  1997  |  200 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Белореченск | 22.01.15
1007100597-fcfc3 | http://is15.auto.ru/all/images/43/7d/60x45/437ddd1a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 60 000 |  1999  |  75 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Рыбинск | 22.01.15
1007247767-a92eef | http://is13.auto.ru/all/images/50/18/60x45/5018d540.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FF0000 | 80 000 |  2002  |  67 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
49927758-8dcdc7 | http://is4.auto.ru/all/images/e4/ba/60x45/e4ba38e0.jpg |  ВАЗ 2109 210961.3 MT (64 л.с.)  | #ffefd5 | 65 000 |  1990  |  160 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Данков | 22.01.15
1007247335-8680 | http://is17.auto.ru/all/images/d5/ad/60x45/d5ad3fee.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 100 000 |  1999  |  35 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Краснодар | 22.01.15
1007246441-bfd9 | http://is18.auto.ru/all/images/0f/5e/60x45/0f5ef148.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #0000FF | 100 000 |  2003  |  98 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Ростов-на-Дону | 22.01.15
1006741567-454c | http://is3.auto.ru/all/images/8b/0a/60x45/8b0a0c4a.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 60 000 |  1995  |  89 800 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Курск | 22.01.15
1007245379-baaa8 | http://is15.auto.ru/all/images/f3/07/60x45/f3070d7e.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 30 000 |  1999  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Фрязино | 22.01.15
1005502055-44121 | http://is1.auto.ru/all/images/7e/0c/60x45/7e0ce8df.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 55 000 |  2001  |  112 015 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1005321331-f0c4 | http://is9.auto.ru/all/images/aa/2e/60x45/aa2eeb8b.jpg |  ВАЗ 21091.6 MT (69 л.с.)  | #CACECB | 85 000 |  2001  |  83 000 км  |  1.6 MT (69 л.с.)хэтчбек, бензин, передний  | Егорьевск | 22.01.15
1006868993-5d9b | http://is5.auto.ru/all/images/49/81/60x45/49814dd9.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FF0000 | 35 000 |  1993  |  130 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007239275-0d9469 | http://is9.auto.ru/all/images/72/d1/60x45/72d176d9.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #34ba2b | 80 000 |  2001  |  195 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Владимир | 22.01.15
1007238941-79af | http://is7.auto.ru/all/images/6e/96/60x45/6e96e259.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #000000 | 265 000 |  2000  |  15 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Видное | 22.01.15
1007238699-4646 | http://is17.auto.ru/all/images/fa/b8/60x45/fab89125.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #CACECB | 145 000 |  2003  |  125 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Дзержинский | 22.01.15
1007237833-c536 | http://is9.auto.ru/all/images/45/0e/60x45/450e23e3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #FFFFFF | 50 000 |  1996  |  25 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Старый Оскол | 22.01.15
42535488-cd335 | http://is18.auto.ru/all/images/9d/b7/60x45/9db78e9b.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #FF0000 | 55 000 |  1993  |  10 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Орел | 22.01.15
1007107561-f827 | http://is17.auto.ru/all/images/17/16/60x45/17164c20.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #FFFFFF | 67 000 |  1999  |  120 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237513-001b | http://is9.auto.ru/all/images/28/74/60x45/28742b2b.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #34ba2b | 40 000 |  2001  |  150 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237347-af4ea | http://is10.auto.ru/all/images/42/34/60x45/42349f53.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 35 000 |  1999  |  100 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237269-2da95d | http://is1.auto.ru/all/images/4a/56/60x45/4a56ed96.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #CACECB | 85 000 |  2002  |  140 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007236259-cb80 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #ffefd5 | 40 000 |  1996  |  58 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Павлово | 22.01.15
1007235281-cbad | http://is7.auto.ru/all/images/a5/96/60x45/a5967ec6.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9966CC | 60 000 |  1998  |  150 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Орел | 22.01.15
1007234941-9f5e | http://is2.auto.ru/all/images/12/7b/60x45/127bef3f.jpg |  ВАЗ 2109 21091.3 MT (64 л.с.)  | #ffefd5 | 60 000 |  1987  |  100 000 км  |  1.3 MT (64 л.с.)хэтчбек, бензин, передний  | Иваново | 22.01.15
1007236127-0632 | http://is8.auto.ru/all/images/0b/a8/60x45/0ba8d548.jpg |  ВАЗ 2109 210911.1 MT (54 л.с.)  | #FFFFFF | 75 000 |  1991  |  180 000 км  |  1.1 MT (54 л.с.)хэтчбек, бензин, передний  | Тверь | 22.01.15
1006571173-37063 | http://is17.auto.ru/all/images/d0/23/60x45/d023b422.jpg |  ВАЗ 2109 21093-201.5 MT (78 л.с.)  | #9c9999 | 83 000 |  2002  |  180 000 км  |  1.5 MT (78 л.с.)хэтчбек, бензин, передний  | Курск | 22.01.15
1007235929-1c6c | http://is7.auto.ru/all/images/6d/d4/60x45/6dd478a3.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #0088ff | 45 000 |  1990  |  5 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
49861444-82aa | http://is12.auto.ru/all/images/40/f9/60x45/40f920f7.jpg |  ВАЗ 2109 210931.5 MT (72 л.с.)  | #9c9999 | 80 000 |  2005  |  44 000 км  |  1.5 MT (72 л.с.)хэтчбек, бензин, передний  | Павлово | 22.01.15
