1007247951-d1d745 | http://is13.auto.ru/all/images/20/9f/60x45/209f7e7b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 235 000 |  2011  |  53 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Хлевное | 22.01.15
1007240947-a706 | http://is7.auto.ru/all/images/e4/48/60x45/e44830e0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 145 000 |  2006  |  112 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Старый Оскол | 22.01.15
1007240593-b8c02 | http://is11.auto.ru/all/images/08/e5/60x45/08e5ed05.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 155 000 |  2008  |  140 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Ликино-Дулево | 22.01.15
1007240851-d711 | http://is14.auto.ru/all/images/5f/4b/60x45/5f4b03da.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 220 000 |  2011  |  37 800 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Орехово-Зуево | 22.01.15
1006623445-cf40 | http://is7.auto.ru/all/images/fb/50/60x45/fb50df6d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 160 000 |  2009  |  77 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Орел | 22.01.15
1007107397-b31d0 | http://is2.auto.ru/all/images/40/4f/60x45/404f47a6.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #000000 | 299 990 |  2013  |  21 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Москва | 22.01.15
1007240735-e3be6 | http://is13.auto.ru/all/images/c2/8b/60x45/c28b1e86.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #0088ff | 140 000 |  2005  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Котельники | 22.01.15
1007208609-07d403 | http://is2.auto.ru/all/images/8f/cb/60x45/8fcb6d90.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 235 000 |  2011  |  48 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
49172552-53e68 | http://is8.auto.ru/all/images/65/b3/60x45/65b30237.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 170 000 |  2009  |  140 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Сальск | 22.01.15
1007218423-164a | http://is8.auto.ru/all/images/29/3a/60x45/293a2085.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 120 000 |  2007  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007218425-ee9455 | http://is13.auto.ru/all/images/1b/c2/60x45/1bc2f680.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 125 000 |  2007  |  75 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007219639-e1ccd | http://is7.auto.ru/all/images/94/05/60x45/9405e3c0.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 135 000 |  2008  |  94 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007219645-a26a | http://is4.auto.ru/all/images/ba/26/60x45/ba2637b4.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 165 000 |  2009  |  68 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007035721-2c65c | http://is18.auto.ru/all/images/d3/80/60x45/d380cfca.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 135 000 |  2006  |  1 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Рославль | 22.01.15
1007239051-205282 | http://is16.auto.ru/all/images/ae/46/60x45/ae465737.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #CACECB | 135 000 |  2008  |  78 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 22.01.15
1007238897-a4daab | http://is2.auto.ru/all/images/18/78/60x45/1878ca74.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0000FF | 238 000 |  2012  |  37 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Липецк | 22.01.15
1007189575-012b8b | http://is16.auto.ru/all/images/98/2d/60x45/982d21bc.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 160 000 |  2002  |  102 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1005702315-f230f0 | http://is7.auto.ru/all/images/f8/f9/60x45/f8f96035.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FF0000 | 154 400 |  2006  |  87 142 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007237417-a77d6 | http://is8.auto.ru/all/images/c0/53/60x45/c0536f91.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FFFFFF | 250 000 |  2012  |  31 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Пятигорск | 22.01.15
1007237953-3a93 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 145 000 |  2006  |  90 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Волоколамск | 22.01.15
1007236991-f974bc | http://is2.auto.ru/all/images/89/d4/60x45/89d4876b.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #FF0000 | 189 000 |  2011  |  70 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Орел | 22.01.15
1007236863-1a587 | http://is14.auto.ru/all/images/5d/99/60x45/5d9908fe.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 87 000 |  2004  |  150 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Новочебоксарск | 22.01.15
1007237699-658c | http://is18.auto.ru/all/images/f7/6a/60x45/f76ac985.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 145 000 |  2008  |  95 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1006869513-5f2f | http://is17.auto.ru/all/images/71/c2/60x45/71c207f1.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #0000FF | 200 000 |  2011  |  42 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Иваново | 22.01.15
1006158027-11abf9 | http://is17.auto.ru/all/images/86/a1/60x45/86a11cdf.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 160 000 |  2009  |  110 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Смоленск | 22.01.15
1006632583-24015a | http://is11.auto.ru/all/images/ba/a7/60x45/baa75ee2.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 145 000 |  2007  |  112 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тула | 22.01.15
1007236807-7a9600 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 117 000 |  2007  |  87 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Череповец | 22.01.15
1007175069-ffc3 | http://is4.auto.ru/all/images/c4/0a/60x45/c40acd8d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 200 000 |  2011  |  100 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Астрахань | 22.01.15
1006468503-a6331 | http://is7.auto.ru/all/images/2a/6b/60x45/2a6bc065.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 210 000 |  2010  |  39 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Тверь | 22.01.15
1007235869-45d6 | http://is8.auto.ru/all/images/12/d8/60x45/12d859b7.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #9c9999 | 155 000 |  2009  |  90 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Калуга | 22.01.15
1007236593-33ce2b | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 115 000 |  2008  |  140 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Чебоксары | 22.01.15
1007236471-26d23 | http://is15.auto.ru/all/images/c0/90/60x45/c090528a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FF0000 | 155 000 |  2008  |  85 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ростов-на-Дону | 22.01.15
1006684457-2def | http://is7.auto.ru/all/images/17/7c/60x45/177c553b.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 155 000 |  2006  |  125 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Москва | 22.01.15
1007182693-97f6 | http://is9.auto.ru/all/images/18/00/60x45/18008f1d.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 168 000 |  2009  |  82 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007187293-419d9 | http://is7.auto.ru/all/images/ed/ba/60x45/edbab232.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 175 000 |  2010  |  104 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007236327-d25bb | http://is2.auto.ru/all/images/c1/dd/60x45/c1dd7753.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #FFCC00 | 100 000 |  2006  |  250 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Йошкар-Ола | 22.01.15
1007235133-5f18d1 | http://is11.auto.ru/all/images/a9/72/60x45/a9725d93.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 99 000 |  2008  |  48 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007219061-c545 | http://is17.auto.ru/all/images/02/49/60x45/0249f4d7.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 165 000 |  2009  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1002865553-0011 | http://is4.auto.ru/all/images/a5/f6/60x45/a5f6a35c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 230 000 |  2012  |  40 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Курск | 22.01.15
1007175973-afb56 | http://is6.auto.ru/all/images/6f/5c/60x45/6f5cd4e4.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 105 000 |  2006  |  200 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Тейково | 22.01.15
46181680-b4ee1a | http://is18.auto.ru/all/images/c7/f8/60x45/c7f8778a.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 145 000 |  2008  |  78 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Тверь | 22.01.15
1007235949-ab46f | http://is6.auto.ru/all/images/a5/c7/60x45/a5c72596.jpg |  ВАЗ 21141.6 MT (98 л.с.) 211440-26  | #FFFFFF | 180 000 |  2011  |  75 000 км  |  1.6 MT (98 л.с.) 211440-26хэтчбек, бензин, передний  | Москва | 22.01.15
1007235973-f9ce | http://is8.auto.ru/all/images/f6/f5/60x45/f6f52cc6.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 119 000 |  2007  |  70 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Павлово | 22.01.15
1007234861-699ad2 | http://is12.auto.ru/all/images/b0/cb/60x45/b0cb2d4c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 145 000 |  2007  |  86 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Верхний Мамон | 22.01.15
1007046289-c665 | http://is4.auto.ru/all/images/ec/e9/60x45/ece99fec.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 153 000 |  2009  |  162 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ногинск | 22.01.15
1007235433-b266b4 | http://is14.auto.ru/all/images/c6/59/60x45/c6595e37.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 150 000 |  2008  |  149 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ставрополь | 22.01.15
1007235287-bf27e5 | http://is2.auto.ru/all/images/9b/ce/60x45/9bce7827.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 99 000 |  2008  |  48 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007101523-3d7d | http://is9.auto.ru/all/images/a3/8c/60x45/a38cbd6e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 175 000 |  2010  |  75 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007234609-d3c66 | http://is4.auto.ru/all/images/90/8f/60x45/908fe3eb.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 110 000 |  2009  |  65 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007234501-2ed424 | http://is11.auto.ru/all/images/d0/36/60x45/d036059c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 170 000 |  2009  |  95 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Домодедово | 22.01.15
1007110631-2533b | http://is6.auto.ru/all/images/58/99/60x45/58998053.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #34ba2b | 160 000 |  2007  |  69 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Москва | 22.01.15
46396738-92cd2 | http://is5.auto.ru/all/images/5a/c4/60x45/5ac47d9c.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #000000 | 182 000 |  2010  |  45 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ижевск | 22.01.15
1005913551-d66746 | http://is7.auto.ru/all/images/e4/a1/60x45/e4a15ca0.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #FF0000 | 125 000 |  2008  |  57 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Ижевск | 22.01.15
1007216681-8499a | http://is15.auto.ru/all/images/be/a3/60x45/bea30876.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 220 000 |  2012  |  50 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007234169-84481 | http://is18.auto.ru/all/images/68/d8/60x45/68d8c705.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 120 000 |  2009  |  80 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007234051-b8f6 | http://is12.auto.ru/all/images/2e/1a/60x45/2e1ab7b8.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 100 000 |  2007  |  660 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007233995-770c | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #ffefd5 | 115 000 |  2006  |  95 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Новороссийск | 22.01.15
1007114481-85625d | http://is2.auto.ru/all/images/18/fd/60x45/18fd8d10.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 142 000 |  2008  |  98 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Иваново | 22.01.15
1001694015-a803 | http://is11.auto.ru/all/images/af/54/60x45/af542cdd.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #34ba2b | 200 000 |  2011  |  62 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Муром | 22.01.15
1006359201-32fe0 | http://is17.auto.ru/all/images/1a/3e/60x45/1a3e544e.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 225 000 |  2013  |  21 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007232643-4c48 | http://is5.auto.ru/all/images/ed/ac/60x45/edac3fe2.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #9c9999 | 100 000 |  2005  |  209 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Павловск | 22.01.15
1006807339-6a1fe | http://is5.auto.ru/all/images/53/93/60x45/539388fb.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #CACECB | 107 000 |  2004  |  116 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Ликино-Дулево | 22.01.15
1006935387-8bbdbc | http://is15.auto.ru/all/images/92/f7/60x45/92f7b7cf.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #926547 | 150 000 |  2008  |  101 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Клин | 22.01.15
1006933309-762f3 | http://is5.auto.ru/all/images/e9/d6/60x45/e9d674df.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #34ba2b | 115 000 |  2006  |  214 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Нижний Новгород | 22.01.15
1006979215-7ee12 | http://is2.auto.ru/all/images/dd/55/60x45/dd55ca05.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #CACECB | 165 000 |  2010  |  55 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
1007232919-ef4c0 | http://is18.auto.ru/all/images/9d/c4/60x45/9dc470f7.jpg |  ВАЗ 21141.5 MT (79 л.с.) 21140  | #000000 | 135 000 |  2007  |  113 000 км  |  1.5 MT (79 л.с.) 21140хэтчбек, бензин, передний  | Чебоксары | 22.01.15
1007232317-2b4b | /i/all7/img/no-photo-thumb.gif |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 230 000 |  2012  |  20 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Рамонь | 22.01.15
1007232819-7ec1 | http://is13.auto.ru/all/images/76/81/60x45/76819330.jpg |  ВАЗ 21141.6 MT (90 л.с.) 211440-24  | #000000 | 224 000 |  2011  |  48 000 км  |  1.6 MT (90 л.с.) 211440-24хэтчбек, бензин, передний  | Воронеж | 22.01.15
1007112775-8e61c | http://is8.auto.ru/all/images/1b/1e/60x45/1b1e361b.jpg |  ВАЗ 21141.6 MT (81 л.с.) 21144  | #9c9999 | 285 000 |  2013  |  35 000 км  |  1.6 MT (81 л.с.) 21144хэтчбек, бензин, передний  | Москва | 22.01.15
