1007301803-05e0 | http://is10.auto.ru/all/images/fb/c7/60x45/fbc79ab0.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 515 000 |  2010  |  67 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007299017-e9d8d9 | http://is4.auto.ru/all/images/be/b2/60x45/beb22b3c.jpg |  Volkswagen Golf III1.6 MT (75 л.с.)  | #000000 | 145 000 |  1992  |  141 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 23.01.15
1003634110-b491c8 | http://is2.auto.ru/all/images/3e/50/60x45/3e506dba.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #CACECB | 550 000 |  2008  |  94 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Волгоград | 23.01.15
1007299227-8c000 | http://is11.auto.ru/all/images/9b/cf/60x45/9bcf859d.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 255 000 |  2000  |  98 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007299239-3e0a | http://is7.auto.ru/all/images/d7/70/60x45/d770caff.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #CACECB | 275 000 |  2001  |  115 000 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007043895-537c | http://is16.auto.ru/all/images/c6/20/60x45/c6206dc9.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #FFFFFF | 760 000 |  2012  |  29 500 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005692133-4702 | http://is12.auto.ru/all/images/f0/66/60x45/f0662d2f.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FF0000 | 447 760 |  2007  |  86 734 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007183981-b6039 | http://is15.auto.ru/all/images/58/d3/60x45/58d3cc05.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 699 888 |  2011  |  72 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007105363-601bd6 | http://is9.auto.ru/all/images/32/b3/60x45/32b3e6c2.jpg |  Volkswagen Golf IV2.8 MT (174 л.с.)  | #000000 | 650 000 |  2000  |  79 000 км  |  2.8 MT (174 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007185091-1b8c | http://is17.auto.ru/all/images/8b/e3/60x45/8be3bdb1.jpg |  Volkswagen Golf VI1.6d AT (105 л.с.)  | #CACECB | 475 000 |  2012  |  184 000 км  |  1.6d AT (105 л.с.)хэтчбек, дизель, передний  | Москва | 23.01.15
1007185223-844048 | http://is5.auto.ru/all/images/56/0d/60x45/560d961c.jpg |  Volkswagen Golf VI1.6d AT (105 л.с.)  | #000000 | 540 000 |  2011  |  84 000 км  |  1.6d AT (105 л.с.)хэтчбек, дизель, передний  | Москва | 23.01.15
1007297341-17afc3 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf III1.8 MT (90 л.с.)  | #FFFFFF | 150 000 |  1995  |  260 000 км  |  1.8 MT (90 л.с.)универсал, бензин, передний  | Белгород | 23.01.15
1006932599-112b5 | http://is8.auto.ru/all/images/0d/2d/60x45/0d2d22bc.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #34ba2b | 225 000 |  2003  |  136 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Тверь | 23.01.15
1007298267-79c97 | http://is4.auto.ru/all/images/df/de/60x45/dfde1e03.jpg |  Volkswagen Golf II1.6 MT (70 л.с.)  | #000000 | 60 000 |  1990  |  383 000 км  |  1.6 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1001401329-6045 | http://is7.auto.ru/all/images/db/5a/60x45/db5a917e.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #000000 | 290 000 |  2002  |  189 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Смоленск | 23.01.15
1007283339-a8c9cc | http://is9.auto.ru/all/images/e6/25/60x45/e625556f.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 395 000 |  2007  |  137 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006185943-2263 | http://is18.auto.ru/all/images/7a/98/60x45/7a982df6.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 699 000 |  2011  |  59 224 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005241865-3bd82 | http://is4.auto.ru/all/images/f8/5f/60x45/f85f72d3.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9c9999 | 729 000 |  2012  |  48 140 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007076761-2fc3 | http://is2.auto.ru/all/images/c6/e5/60x45/c6e52667.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 799 000 |  2011  |  13 400 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006090197-8e1d | http://is5.auto.ru/all/images/8f/e4/60x45/8fe489fd.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #0000FF | 529 000 |  2008  |  73 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005241863-4555 | http://is18.auto.ru/all/images/ae/13/60x45/ae13d0a2.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 569 000 |  2009  |  93 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006213985-b2710b | http://is13.auto.ru/all/images/56/db/60x45/56db8dff.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 640 000 |  2010  |  39 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Брянск | 23.01.15
1007294753-d549d8 | http://is7.auto.ru/all/images/97/5a/60x45/975a8e32.jpg |  Volkswagen Golf IV1.9d MT (130 л.с.)  | #CACECB | 320 000 |  2003  |  99 999 км  |  1.9d MT (130 л.с.)универсал, дизель, передний  | Краснодар | 23.01.15
1006258101-f0af | http://is11.auto.ru/all/images/e1/4f/60x45/e14f77c4.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #FFFFFF | 685 000 |  2012  |  64 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006690885-e474f | http://is15.auto.ru/all/images/5c/68/60x45/5c6864da.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0000FF | 710 000 |  2011  |  53 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282457-d7c8dd | http://is1.auto.ru/all/images/5a/aa/60x45/5aaa8775.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #000000 | 315 000 |  2002  |  69 346 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006866237-cff95 | http://is18.auto.ru/all/images/b7/1c/60x45/b71c6c1c.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #000000 | 499 000 |  2009  |  100 000 км  |  1.4 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1006114497-be35 | http://is17.auto.ru/all/images/5b/24/60x45/5b24ac3d.jpg |  Volkswagen Golf III1.8 AT (90 л.с.)  | #FFFFFF | 125 000 |  1993  |  270 000 км  |  1.8 AT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1004970827-628c66 | http://is16.auto.ru/all/images/4d/05/60x45/4d054f02.jpg |  Volkswagen Golf IV1.8 MT (125 л.с.)  | #0000FF | 225 000 |  1998  |  293 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006871379-83082a | http://is12.auto.ru/all/images/c4/5f/60x45/c45fe3e0.jpg |  Volkswagen Golf III1.8 MT (75 л.с.)  | #0000FF | 60 000 |  1992  |  390 900 км  |  1.8 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007236123-f2a3 | http://is5.auto.ru/all/images/53/8d/60x45/538d2d84.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #CACECB | 1 150 000 |  2013  |  6 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Изобильный | 23.01.15
1007240743-0b6628 | http://is5.auto.ru/all/images/8b/90/60x45/8b90e3d1.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #9966CC | 610 000 |  2010  |  62 500 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007108315-8fe7a1 | http://is14.auto.ru/all/images/16/50/60x45/16509a30.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FFFFFF | 560 000 |  2010  |  87 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007247825-27ab | http://is11.auto.ru/all/images/aa/95/60x45/aa9596a9.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #9c9999 | 523 135 |  2009  |  98 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007248155-f20c | http://is17.auto.ru/all/images/5a/16/60x45/5a164d24.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #000000 | 250 000 |  2001  |  220 000 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007295523-b91d7 | http://is8.auto.ru/all/images/db/1a/60x45/db1a5317.jpg |  Volkswagen Golf VII1.4 AT (140 л.с.)  | #000000 | 1 270 000 |  2015  |  2 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007246081-9f648 | http://is12.auto.ru/all/images/d6/c5/60x45/d6c52b0d.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #9c9999 | 250 000 |  1999  |  165 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Иваново | 23.01.15
1006877039-72b6 | http://is4.auto.ru/all/images/de/77/60x45/de7713db.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 820 000 |  2013  |  30 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
33298474-10b57 | http://is17.auto.ru/all/images/c6/03/60x45/c6038c81.jpg |  Volkswagen Golf II1.6 MT (72 л.с.)  | #0000FF | 77 000 |  1987  |  190 000 км  |  1.6 MT (72 л.с.)хэтчбек, бензин, передний  | Зеленогорск | 23.01.15
1007295373-ea8331 | http://is12.auto.ru/all/images/cd/96/60x45/cd960050.jpg |  Volkswagen Golf V1.4 MT (80 л.с.)  | #0000FF | 420 000 |  2006  |  115 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1006813523-dfb57 | http://is15.auto.ru/all/images/6e/c2/60x45/6ec2e38b.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #9c9999 | 560 000 |  2010  |  83 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007234545-9fac36 | http://is2.auto.ru/all/images/3a/69/60x45/3a69999a.jpg |  Volkswagen Golf III1.8 MT (90 л.с.)  | #000000 | 50 000 |  1995  |  150 000 км  |  1.8 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006024767-f73a | http://is8.auto.ru/all/images/36/95/60x45/36950964.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #9966CC | 400 000 |  2007  |  150 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007173315-255d5 | http://is16.auto.ru/all/images/07/da/60x45/07dafd98.jpg |  Volkswagen Golf VI1.2 MT (105 л.с.)  | #CACECB | 675 000 |  2012  |  49 550 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1006462697-11bf60 | http://is15.auto.ru/all/images/1a/74/60x45/1a74cdab.jpg |  Volkswagen Golf V1.9d AT (105 л.с.)  | #000000 | 650 000 |  2008  |  150 000 км  |  1.9d AT (105 л.с.)универсал, дизель, передний  | Москва | 23.01.15
1007103809-2a471 | http://is15.auto.ru/all/images/b5/53/60x45/b553c7c3.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #34ba2b | 260 000 |  2000  |  103 200 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005948583-90272 | http://is7.auto.ru/all/images/15/af/60x45/15af55cf.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 659 450 |  2011  |  93 754 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007158251-1af57 | http://is2.auto.ru/all/images/9b/de/60x45/9bdefc60.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.) MultiFuel  | #CACECB | 462 220 |  2008  |  102 948 км  |  1.6 MT (102 л.с.) MultiFuelхэтчбек, бензин, передний  | Москва | 23.01.15
1006616801-7a1be | http://is6.auto.ru/all/images/f5/47/60x45/f547a2fb.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 463 430 |  2008  |  122 610 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007294067-bd517d | http://is1.auto.ru/all/images/14/fd/60x45/14fd3c7c.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.) MultiFuel  | #CACECB | 463 430 |  2008  |  93 270 км  |  1.6 MT (102 л.с.) MultiFuelхэтчбек, бензин, передний  | Москва | 23.01.15
1006598055-7510 | http://is8.auto.ru/all/images/a7/4c/60x45/a74cc6b6.jpg |  Volkswagen Golf V1.4 AT (122 л.с.)  | #CACECB | 469 480 |  2008  |  137 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005512865-28741c | http://is18.auto.ru/all/images/fe/e7/60x45/fee7ceb8.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0000FF | 518 082 |  2008  |  110 930 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005948577-2f1b73 | http://is2.auto.ru/all/images/78/54/60x45/7854626e.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #0000FF | 527 835 |  2008  |  77 727 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007293929-177c4 | http://is9.auto.ru/all/images/b9/25/60x45/b925585f.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #9c9999 | 565 000 |  2009  |  65 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
41022612-5637ca | http://is6.auto.ru/all/images/38/34/60x45/383497fd.jpg |  Volkswagen Golf VI2.0d MT (140 л.с.)  | #0088ff | 595 000 |  2009  |  100 425 км  |  2.0d MT (140 л.с.)хэтчбек, дизель, передний  | Белгород | 23.01.15
1007293855-94467c | http://is9.auto.ru/all/images/5b/50/60x45/5b507894.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #CACECB | 565 000 |  2011  |  51 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Краснодар | 23.01.15
1004434165-ec71 | http://is13.auto.ru/all/images/ea/6d/60x45/ea6d478d.jpg |  Volkswagen Golf V1.6 AT (115 л.с.)  | #9c9999 | 435 000 |  2007  |  104 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007174403-ade862 | http://is7.auto.ru/all/images/1c/ef/60x45/1cefc3a5.jpg |  Volkswagen Golf II1.6 AT (72 л.с.)  | #0000FF | 120 000 |  1989  |  60 000 км  |  1.6 AT (72 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006860187-3cab0 | http://is11.auto.ru/all/images/5b/61/60x45/5b616fb4.jpg |  Volkswagen Golf VI1.4 AT (160 л.с.)  | #0088ff | 750 000 |  2010  |  69 000 км  |  1.4 AT (160 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292639-b347b | http://is15.auto.ru/all/images/3c/2e/60x45/3c2e9163.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #000000 | 335 000 |  2006  |  90 125 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292489-3d78a | http://is11.auto.ru/all/images/b5/bd/60x45/b5bd1559.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #CACECB | 255 000 |  2002  |  126 000 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292229-681b | http://is4.auto.ru/all/images/6a/6c/60x45/6a6c2c3a.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 415 000 |  2007  |  89 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007103877-2364 | http://is16.auto.ru/all/images/d9/b4/60x45/d9b4f70d.jpg |  Volkswagen Golf V2.0d AT (140 л.с.)  | #CACECB | 615 000 |  2009  |  126 000 км  |  2.0d AT (140 л.с.)универсал, дизель, передний  | Мытищи | 23.01.15
1007291885-6cd9b0 | http://is9.auto.ru/all/images/df/72/60x45/df72819e.jpg |  Volkswagen Golf IV1.6 MT (105 л.с.)  | #CACECB | 265 000 |  2003  |  105 235 км  |  1.6 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291613-69435 | http://is12.auto.ru/all/images/58/01/60x45/58017e2b.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #000000 | 418 000 |  2008  |  118 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291221-a636 | http://is6.auto.ru/all/images/5d/50/60x45/5d5098c1.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #34ba2b | 240 000 |  2000  |  117 200 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291133-b5231b | http://is13.auto.ru/all/images/8e/cb/60x45/8ecba66f.jpg |  Volkswagen Golf II1.6 MT (70 л.с.)  | #9c9999 | 59 000 |  1992  |  118 000 км  |  1.6 MT (70 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290943-d95a | http://is14.auto.ru/all/images/c8/fa/60x45/c8fa18d3.jpg |  Volkswagen Golf IV2.0 AT (115 л.с.)  | #CACECB | 258 000 |  2001  |  145 000 км  |  2.0 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290733-7a5640 | http://is11.auto.ru/all/images/d3/ef/60x45/d3ef8b17.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #34ba2b | 260 000 |  2000  |  103 200 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007240335-d8c320 | http://is7.auto.ru/all/images/2f/91/60x45/2f91ae50.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #CC0033 | 385 000 |  2007  |  86 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007240767-3b92 | http://is15.auto.ru/all/images/7b/43/60x45/7b43c802.jpg |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FF0000 | 392 000 |  2007  |  88 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006991683-91fd5 | http://is2.auto.ru/all/images/f5/57/60x45/f5576234.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #FFFFFF | 660 000 |  2011  |  41 250 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286657-55dd8a | http://is8.auto.ru/all/images/f9/1b/60x45/f91bcdf7.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #0000FF | 355 555 |  2003  |  98 365 км  |  1.6 AT (102 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007286349-ec5a86 | http://is12.auto.ru/all/images/5b/c9/60x45/5bc9503d.jpg |  Volkswagen Golf VI1.6 MT (102 л.с.) MultiFuel  | #000000 | 399 999 |  2009  |  45 126 км  |  1.6 MT (102 л.с.) MultiFuelхэтчбек, бензин, передний  | Москва | 23.01.15
1007286293-a95651 | http://is10.auto.ru/all/images/b6/68/60x45/b6681b6d.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FFFFFF | 549 000 |  2010  |  65 149 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286113-6c70a1 | http://is5.auto.ru/all/images/12/39/60x45/1239d4a1.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #0000FF | 889 000 |  2011  |  73 113 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285915-2de252 | http://is18.auto.ru/all/images/c7/66/60x45/c766592f.jpg |  Volkswagen Golf V1.4 MT (122 л.с.)  | #CACECB | 440 000 |  2008  |  110 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 23.01.15
1007285461-34c4 | http://is9.auto.ru/all/images/a4/62/60x45/a462f0aa.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #FF0000 | 889 000 |  2011  |  29 267 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285285-3cc10 | http://is11.auto.ru/all/images/21/61/60x45/2161e39d.jpg |  Volkswagen Golf VII1.4 MT (122 л.с.)  | #000000 | 885 000 |  2013  |  30 873 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007285031-c547 | http://is9.auto.ru/all/images/63/35/60x45/63359c04.jpg |  Volkswagen Golf VI1.2 MT (105 л.с.)  | #000000 | 555 555 |  2012  |  36 874 км  |  1.2 MT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284993-d87f | http://is16.auto.ru/all/images/48/af/60x45/48af5d08.jpg |  Volkswagen Golf IV1.6 MT (101 л.с.)  | #0000FF | 333 333 |  2006  |  86 878 км  |  1.6 MT (101 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007284953-72c90 | http://is13.auto.ru/all/images/d2/c4/60x45/d2c4e4f8.jpg |  Volkswagen Golf IV1.6 MT (110 л.с.)  | #CACECB | 399 999 |  2006  |  97 541 км  |  1.6 MT (110 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284319-e235 | http://is6.auto.ru/all/images/74/5c/60x45/745c6f26.jpg |  Volkswagen Golf IV2.3 MT (170 л.с.)  | #000000 | 233 300 |  2004  |  89 633 км  |  2.3 MT (170 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282873-4300be | http://is16.auto.ru/all/images/7b/71/60x45/7b715317.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #34ba2b | 73 000 |  1989  |  168 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282149-a9bf0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf VI1.6 MT (102 л.с.)  | #9c9999 | 465 000 |  2009  |  74 600 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282045-4b78 | http://is11.auto.ru/all/images/50/65/60x45/5065fd15.jpg |  Volkswagen Golf VII1.4 AT (122 л.с.)  | #FFFFFF | 620 000 |  2012  |  51 365 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281839-3329e | http://is5.auto.ru/all/images/39/1d/60x45/391dcec8.jpg |  Volkswagen Golf IV1.6 AT (101 л.с.)  | #000000 | 270 000 |  2004  |  154 960 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281513-7eacaf | http://is3.auto.ru/all/images/41/50/60x45/41505072.jpg |  Volkswagen Golf VI1.6 AT (102 л.с.)  | #000000 | 420 000 |  2008  |  82 008 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
