1006870167-2d0d4 | http://is13.auto.ru/all/images/26/90/60x45/26908ec0.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 345 000 |  2012  |  25 600 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007288019-f778 | http://is4.auto.ru/all/images/4e/a2/60x45/4ea2551b.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 289 000 |  2011  |  35 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1007284911-936f88 | http://is13.auto.ru/all/images/8b/6b/60x45/8b6bd4fd.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 275 000 |  2011  |  31 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007284901-0487e8 | http://is10.auto.ru/all/images/32/d0/60x45/32d02df1.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 485 000 |  2014  |  8 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1007284393-c974ce | http://is16.auto.ru/all/images/df/ad/60x45/dfadda4a.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 192 000 |  1996  |  90 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281919-28e7 | http://is5.auto.ru/all/images/77/7c/60x45/777cf0ee.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 465 000 |  2014  |  12 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281251-df15 | http://is17.auto.ru/all/images/72/1a/60x45/721a7822.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #CC0033 | 330 000 |  2012  |  5 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007281241-6980e | http://is15.auto.ru/all/images/ee/46/60x45/ee46fe3e.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 398 000 |  2013  |  7 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280169-c455 | http://is9.auto.ru/all/images/6b/a0/60x45/6ba0a9c2.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 128 000 |  2002  |  109 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007280183-d11dd5 | http://is12.auto.ru/all/images/0a/ad/60x45/0aadf894.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 210 000 |  2008  |  80 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007278595-dcca8 | http://is11.auto.ru/all/images/8e/63/60x45/8e6339a6.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 159 000 |  2006  |  100 863 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278823-67c5 | http://is8.auto.ru/all/images/5f/a8/60x45/5fa8a550.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 256 800 |  2008  |  34 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278697-39b029 | http://is12.auto.ru/all/images/4f/50/60x45/4f508966.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 139 000 |  2001  |  169 630 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278739-d7c034 | http://is16.auto.ru/all/images/4f/1a/60x45/4f1a4f66.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 169 000 |  2006  |  135 287 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278573-48b6 | http://is18.auto.ru/all/images/cd/9a/60x45/cd9a31ad.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 174 000 |  2007  |  122 644 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1007278759-d4c2 | http://is2.auto.ru/all/images/c2/c9/60x45/c2c920d1.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 114 000 |  2001  |  174 842 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Коломна | 23.01.15
1006834847-d31f0 | http://is6.auto.ru/all/images/c6/c4/60x45/c6c4900f.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 354 500 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006834487-682b9f | http://is6.auto.ru/all/images/de/a2/60x45/dea2e4db.jpg |  ВАЗ 2121 (4x4) 212181.7 MT (79 л.с.) 4WD  | #34ba2b | 220 000 |  2010  |  78 262 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Тверь | 23.01.15
1005635365-61a6 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 294 500 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007273237-cf28cd | http://is8.auto.ru/all/images/f7/97/60x45/f797b724.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #9c9999 | 274 000 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006953393-e72d26 | http://is15.auto.ru/all/images/4f/85/60x45/4f85d510.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 355 000 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005698415-b964 | http://is17.auto.ru/all/images/f6/c8/60x45/f6c89f68.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 364 500 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007269263-c80c44 | http://is14.auto.ru/all/images/99/3d/60x45/993d0c20.jpg |  ВАЗ 2121 (4x4) 21218i1.7 MT (79 л.с.) 4WD  | #FF0000 | 225 000 |  2011  |  61 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007269267-81b3f8 | http://is11.auto.ru/all/images/8c/75/60x45/8c7550d6.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 290 000 |  2012  |  25 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007272143-4f03 | http://is11.auto.ru/all/images/bf/45/60x45/bf45e303.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #CACECB | 290 200 |  2011  |  89 500 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Казань | 23.01.15
1007271537-fff8ed | http://is10.auto.ru/all/images/dd/2c/60x45/dd2c4ec8.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 325 000 |  2012  |  39 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007200449-d6ee3 | http://is1.auto.ru/all/images/20/bb/60x45/20bb6c63.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 319 500 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007138843-96167 | http://is18.auto.ru/all/images/ae/0c/60x45/ae0c9b3f.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 323 500 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005323531-6d892 | http://is13.auto.ru/all/images/52/1a/60x45/521a3bf8.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #000000 | 364 500 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1001611699-18f9e9 | http://is17.auto.ru/all/images/60/37/60x45/603722a1.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 365 500 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007267611-e3ded7 | http://is2.auto.ru/all/images/4f/f5/60x45/4ff5ba39.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 277 200 |  2011  |  32 450 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007268931-6243 | http://is8.auto.ru/all/images/c5/7b/60x45/c57b692a.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 118 000 |  1999  |  112 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007266801-afdb | http://is3.auto.ru/all/images/64/30/60x45/6430c819.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9966CC | 99 999 |  2001  |  248 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1007212169-b329 | http://is4.auto.ru/all/images/1f/8c/60x45/1f8c7aba.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #9c9999 | 321 500 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007264655-9bd1 | http://is6.auto.ru/all/images/23/a2/60x45/23a2eb09.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 322 740 |  2014  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007073691-89b775 | http://is8.auto.ru/all/images/b4/98/60x45/b498b7c7.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 324 500 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007263723-63e52d | http://is17.auto.ru/all/images/c1/72/60x45/c1729319.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #ffefd5 | 405 200 |  2015  | Новый |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006894341-9db2 | http://is17.auto.ru/all/images/52/67/60x45/5267f756.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #CC0033 | 402 200 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007262033-4141b | http://is17.auto.ru/all/images/1e/06/60x45/1e063c7f.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 234 000 |  2010  |  48 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007262531-36a93e | http://is5.auto.ru/all/images/ca/33/60x45/ca339d07.jpg |  ВАЗ 2121 (4x4) 212181.7 MT (79 л.с.) 4WD  | #FFFFFF | 240 000 |  2010  |  32 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Набережные Челны | 23.01.15
1007262641-eafe | http://is2.auto.ru/all/images/8c/b2/60x45/8cb22a5e.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 278 200 |  2012  |  64 600 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Набережные Челны | 23.01.15
1005713791-b36500 | http://is13.auto.ru/all/images/1a/62/60x45/1a621070.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #FFFFFF | 335 175 |  2011  |  32 227 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007261367-eae6 | http://is2.auto.ru/all/images/b9/6f/60x45/b96f27be.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #FFFFFF | 160 000 |  2004  |  82 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1002495447-73533 | http://is4.auto.ru/all/images/8b/1f/60x45/8b1f7b1d.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 398 000 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Химки | 23.01.15
1007256455-d53b1a | http://is16.auto.ru/all/images/18/ae/60x45/18aeba74.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 230 000 |  2010  |  68 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1006807681-0c0f | http://is1.auto.ru/all/images/90/e5/60x45/90e510ef.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #34ba2b | 100 000 |  1990  |  30 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Серпухов | 23.01.15
1007256345-1afc71 | http://is1.auto.ru/all/images/f5/ea/60x45/f5eae70c.jpg |  ВАЗ 2121 (4x4)1.7 MT (79 л.с.) 4WD  | #34ba2b | 57 000 |  1999  |  150 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007047855-9f584 | http://is2.auto.ru/all/images/25/2f/60x45/252f37eb.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 355 000 |  2012  |  17 564 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007102421-2a86de | http://is6.auto.ru/all/images/bf/8e/60x45/bf8ef5f0.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #9966CC | 128 000 |  2002  |  90 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Подольск | 23.01.15
1007057585-25ce | http://is14.auto.ru/all/images/f3/94/60x45/f3940003.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 136 000 |  2003  |  81 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Климовск | 23.01.15
1007119485-90cdc | http://is2.auto.ru/all/images/c1/dc/60x45/c1dce894.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 165 000 |  2006  |  40 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1005981147-64d1 | http://is12.auto.ru/all/images/63/4b/60x45/634b1408.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 374 000 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 23.01.15
1007255393-492499 | http://is2.auto.ru/all/images/c6/ef/60x45/c6efa470.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (80 л.с.) 4WD  | #FFFFFF | 140 000 |  1996  |  200 000 км  |  1.7 MT (80 л.с.) 4WDвнедорожник, бензин, полный  | Пятигорск | 23.01.15
1001908907-49a1b | http://is1.auto.ru/all/images/84/10/60x45/841015c0.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #CACECB | 353 000 |  2014  | Новый |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 23.01.15
1006936511-0b35df | http://is5.auto.ru/all/images/9b/24/60x45/9b24f04f.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FFFFFF | 95 000 |  1999  |  110 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Липецк | 23.01.15
1007255471-ef355e | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 90 000 |  1999  |  47 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Воронеж | 23.01.15
1007255157-4a4555 | http://is15.auto.ru/all/images/13/73/60x45/13735863.jpg |  ВАЗ 2121 (4x4) 212181.7 MT (79 л.с.) 4WD  | #FFFFFF | 180 000 |  2006  |  80 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Тамбов | 22.01.15
1007255117-3490e8 | /i/all7/img/no-photo-thumb.gif |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #0000FF | 145 000 |  2004  |  135 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Жуковка | 22.01.15
1007254593-c834a2 | http://is11.auto.ru/all/images/be/1d/60x45/be1defef.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #000000 | 75 000 |  1994  |  119 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Ногинск | 22.01.15
1007251751-54d30f | http://is15.auto.ru/all/images/79/9f/60x45/799fe254.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 310 000 |  2011  |  25 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Орехово-Зуево | 22.01.15
1007254459-576f35 | http://is13.auto.ru/all/images/84/14/60x45/8414f468.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #0000FF | 350 000 |  2001  |  150 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007254355-5de0 | http://is7.auto.ru/all/images/d1/44/60x45/d1445c56.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 115 000 |  2001  |  100 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Зубцов | 22.01.15
34570760-064f26 | http://is15.auto.ru/all/images/77/d0/60x45/77d040c8.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 500 000 |  2009  |  2 777 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007253757-10a338 | http://is16.auto.ru/all/images/dc/cf/60x45/dccf8176.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 230 000 |  2000  |  14 835 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1006023749-d693 | http://is17.auto.ru/all/images/ab/7f/60x45/ab7fe833.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #ffefd5 | 90 000 |  1998  |  161 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Калуга | 22.01.15
1006630173-17291 | http://is3.auto.ru/all/images/8b/71/60x45/8b71703d.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 520 000 |  2013  |  15 500 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 22.01.15
1007253675-216707 | http://is13.auto.ru/all/images/a9/df/60x45/a9df248a.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #9966CC | 100 000 |  1998  |  125 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Ногинск | 22.01.15
1007252903-190af | http://is14.auto.ru/all/images/75/30/60x45/7530be04.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #34ba2b | 80 000 |  1989  |  100 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Липецк | 22.01.15
1006162021-a7882 | http://is15.auto.ru/all/images/a7/31/60x45/a731b3de.jpg |  ВАЗ 2121 (4x4) Urban1.7 MT (83 л.с.) 4WD  | #926547 | 500 000 |  2015  |  15 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Саратов | 22.01.15
1007053509-ff9b30 | http://is11.auto.ru/all/images/36/d9/60x45/36d97d69.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 370 000 |  2013  |  6 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Ярославль | 22.01.15
50246726-cc92f | http://is6.auto.ru/all/images/02/3d/60x45/023da68a.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FF0000 | 132 000 |  2002  |  115 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Рязань | 22.01.15
1006807397-2ca7 | http://is15.auto.ru/all/images/9d/c7/60x45/9dc75b44.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #34ba2b | 399 000 |  2012  |  25 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Брянск | 22.01.15
1006932785-98f8 | http://is5.auto.ru/all/images/24/f6/60x45/24f63db3.jpg |  ВАЗ 2121 (4x4)1.7 MT (79 л.с.) 4WD  | #0000FF | 170 000 |  2005  |  110 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
46464192-55bfe | http://is16.auto.ru/all/images/d7/9f/60x45/d79f3691.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #FF0000 | 60 000 |  1998  |  194 000 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Протвино | 22.01.15
1007251987-7de0c | http://is5.auto.ru/all/images/42/a4/60x45/42a4b070.jpg |  ВАЗ 2121 (4x4) 21211.6 MT (75 л.с.) 4WD  | #FFFFFF | 42 000 |  1992  |  85 000 км  |  1.6 MT (75 л.с.) 4WDвнедорожник, бензин, полный  | Ногинск | 22.01.15
1007251895-0c992b | http://is9.auto.ru/all/images/56/0a/60x45/560a216f.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #FFFFFF | 310 000 |  2012  |  41 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Тула | 22.01.15
1007251217-7350 | http://is4.auto.ru/all/images/05/b4/60x45/05b4c0d0.jpg |  ВАЗ 2121 (4x4) 212131.7 MT (79 л.с.) 4WD  | #34ba2b | 110 000 |  2001  |  40 км  |  1.7 MT (79 л.с.) 4WDвнедорожник, бензин, полный  | Александров | 22.01.15
1005860933-991c6 | http://is17.auto.ru/all/images/f7/17/60x45/f7176b48.jpg |  ВАЗ 2121 (4x4) 212141.7 MT (83 л.с.) 4WD  | #926547 | 385 000 |  2013  |  14 000 км  |  1.7 MT (83 л.с.) 4WDвнедорожник, бензин, полный  | Зимовники | 22.01.15
