1006867571-6b7a | http://is11.auto.ru/all/images/af/da/60x45/afdabf7a.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 350 000 |  2005  |  87 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007298489-31fed | http://is17.auto.ru/all/images/36/54/60x45/3654eaa1.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #000000 | 1 050 000 |  2013  |  33 500 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007299453-bb8b5 | http://is6.auto.ru/all/images/57/67/60x45/576710b9.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 819 000 |  2012  |  80 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007283215-161a21 | http://is6.auto.ru/all/images/51/52/60x45/5152967c.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #9c9999 | 574 500 |  2010  |  76 000 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007299979-ba76c9 | http://is14.auto.ru/all/images/0e/28/60x45/0e281e95.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #9c9999 | 625 000 |  2011  |  46 000 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007053687-3f0a | http://is5.auto.ru/all/images/8b/4e/60x45/8b4e623a.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FFFFFF | 799 000 |  2013  |  27 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007282975-051aca | http://is11.auto.ru/all/images/ac/13/60x45/ac139c3a.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FF0000 | 410 000 |  2010  |  54 300 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007282963-b8ce09 | http://is2.auto.ru/all/images/9a/10/60x45/9a1008dc.jpg |  Skoda Octavia II1.4 MT (75 л.с.)  | #FF0000 | 350 000 |  2008  |  74 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007283415-36a6 | http://is14.auto.ru/all/images/93/dc/60x45/93dcd292.jpg |  Skoda Octavia I1.6 MT (101 л.с.)  | #0000FF | 285 000 |  2003  |  154 000 км  |  1.6 MT (101 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007299121-34c787 | http://is16.auto.ru/all/images/36/d3/60x45/36d31d3c.jpg |  Skoda Octavia II Рестайлинг Scout1.8 MT (152 л.с.) 4WD  | #9c9999 | 980 000 |  2011  |  64 500 км  |  1.8 MT (152 л.с.) 4WDуниверсал, бензин, полный  | Санкт-Петербург | 23.01.15
1007283151-90ae | http://is10.auto.ru/all/images/6c/77/60x45/6c77de41.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #0088ff | 438 000 |  2010  |  110 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007283037-8e6ef | http://is1.auto.ru/all/images/18/88/60x45/188895bd.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #0088ff | 445 000 |  2011  |  32 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006987947-54ed | http://is18.auto.ru/all/images/30/8b/60x45/308baf48.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 200 000 |  2002  |  150 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Чебоксары | 23.01.15
1007298371-d643 | http://is1.auto.ru/all/images/f6/dc/60x45/f6dc920a.jpg |  Skoda Octavia III1.8 AT (180 л.с.)  | #926547 | 1 260 000 |  2014  |  30 000 км  |  1.8 AT (180 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007163291-56887e | http://is2.auto.ru/all/images/dd/15/60x45/dd15d533.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 305 000 |  2007  |  76 290 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006428161-62cb | http://is4.auto.ru/all/images/f4/8c/60x45/f48cdb7e.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 308 496 |  2008  |  82 936 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005978645-070e0f | http://is5.auto.ru/all/images/d7/6a/60x45/d76af7f8.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 353 703 |  2008  |  88 076 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005692153-c3df | http://is15.auto.ru/all/images/64/eb/60x45/64eb32b8.jpg |  Skoda Octavia II1.6 AT (115 л.с.)  | #CACECB | 490 878 |  2008  |  79 534 км  |  1.6 AT (115 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007285683-17521 | http://is16.auto.ru/all/images/63/34/60x45/6334ec41.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #FFFFFF | 499 999 |  2013  |  25 112 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006991735-afc4 | http://is16.auto.ru/all/images/82/53/60x45/825317c1.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #9c9999 | 490 000 |  2008  |  84 500 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005583221-fba0a | http://is12.auto.ru/all/images/55/37/60x45/553764ed.jpg |  Skoda Octavia I Рестайлинг1.8 AT (150 л.с.)  | #0088ff | 300 000 |  2001  |  150 000 км  |  1.8 AT (150 л.с.)лифтбек, бензин, передний  | Брянск | 23.01.15
1007281189-51e43b | http://is2.auto.ru/all/images/2f/ec/60x45/2fecd4e5.jpg |  Skoda Octavia II1.6 AT (115 л.с.)  | #CACECB | 395 000 |  2008  |  115 000 км  |  1.6 AT (115 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007254373-a2a113 | http://is16.auto.ru/all/images/ee/c4/60x45/eec44c6c.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 520 000 |  2012  |  31 124 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006185935-18cd6 | http://is10.auto.ru/all/images/4f/7c/60x45/4f7c068b.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 751 080 |  2010  |  81 081 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006090193-891c | http://is17.auto.ru/all/images/c7/b2/60x45/c7b28d1e.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 790 680 |  2011  |  92 956 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005241759-fed732 | http://is4.auto.ru/all/images/3c/e3/60x45/3ce35067.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.) 4WD  | #0000FF | 249 000 |  2001  |  151 000 км  |  1.8 MT (150 л.с.) 4WDлифтбек, бензин, полный  | Москва | 23.01.15
1005241757-1c5bf1 | http://is6.auto.ru/all/images/ff/77/60x45/ff77d138.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 499 000 |  2007  |  92 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006776125-69854 | http://is12.auto.ru/all/images/4b/f4/60x45/4bf494de.jpg |  Skoda Octavia I Рестайлинг1.8 AT (150 л.с.)  | #FF0000 | 649 000 |  2009  |  82 000 км  |  1.8 AT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007108651-aa86 | http://is17.auto.ru/all/images/aa/5c/60x45/aa5cee72.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #000000 | 436 000 |  2006  |  130 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Дубна | 23.01.15
1007297741-3925ab | http://is17.auto.ru/all/images/0a/f0/60x45/0af0d7ab.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #000000 | 659 000 |  2011  |  50 000 км  |  1.8 MT (152 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007297705-07d16 | http://is9.auto.ru/all/images/35/06/60x45/35069bd3.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 280 000 |  2001  |  198 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Волгодонск | 23.01.15
1006736069-dbd5 | http://is14.auto.ru/all/images/8a/d9/60x45/8ad957b4.jpg |  Skoda Octavia II Рестайлинг Scout1.8 MT (152 л.с.) 4WD  | #9c9999 | 995 000 |  2011  |  78 000 км  |  1.8 MT (152 л.с.) 4WDуниверсал, бензин, полный  | Москва | 23.01.15
1007242245-47ac | http://is17.auto.ru/all/images/ae/73/60x45/ae73b6df.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #ffefd5 | 535 000 |  2008  |  104 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005911779-099d8 | http://is18.auto.ru/all/images/97/d0/60x45/97d01541.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 400 000 |  2008  |  150 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Шатура | 23.01.15
1007280661-4e91 | http://is9.auto.ru/all/images/e3/e1/60x45/e3e11c1b.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #ffefd5 | 315 000 |  2007  |  86 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1001902761-2006bb | http://is6.auto.ru/all/images/42/d5/60x45/42d50870.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 410 000 |  2008  |  147 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Орел | 23.01.15
1006416273-505b2d | http://is14.auto.ru/all/images/e2/7e/60x45/e27eae03.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 650 000 |  2010  |  65 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Воронеж | 23.01.15
1006863425-a79446 | http://is6.auto.ru/all/images/f2/85/60x45/f285f293.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #CACECB | 633 333 |  2012  |  59 423 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006871781-78863 | http://is18.auto.ru/all/images/ac/35/60x45/ac35fc4f.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #0000FF | 296 000 |  2007  |  260 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007295303-1f74b9 | http://is9.auto.ru/all/images/c0/6a/60x45/c06aa1a6.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #000000 | 760 000 |  2013  |  92 265 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007296281-20aae2 | http://is14.auto.ru/all/images/ab/c4/60x45/abc46dad.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 475 000 |  2010  |  100 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Саратов | 23.01.15
1007296249-429b | http://is16.auto.ru/all/images/92/37/60x45/92371e4a.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #34ba2b | 260 000 |  2001  |  250 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Орел | 23.01.15
1005576335-b42a | http://is5.auto.ru/all/images/9e/7f/60x45/9e7f8476.jpg |  Skoda Octavia II1.8 MT (152 л.с.)  | #CACECB | 507 000 |  2008  |  96 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Брянск | 23.01.15
1007296209-af4dd | http://is5.auto.ru/all/images/ab/e5/60x45/abe5e26a.jpg |  Skoda Octavia I Рестайлинг1.6 MT (75 л.с.)  | #CACECB | 219 777 |  2001  |  305 000 км  |  1.6 MT (75 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1003004738-72924 | http://is1.auto.ru/all/images/f1/7b/60x45/f17bc2f9.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #CACECB | 507 000 |  2008  |  96 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Брянск | 23.01.15
1007226411-f1970 | http://is8.auto.ru/all/images/69/95/60x45/69955ac3.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #9c9999 | 655 000 |  2012  |  40 000 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007163899-4afad | http://is16.auto.ru/all/images/fa/18/60x45/fa187a0e.jpg |  Skoda Octavia I Рестайлинг1.6 MT (75 л.с.)  | #CACECB | 200 000 |  2002  |  213 457 км  |  1.6 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007294193-8120 | http://is2.auto.ru/all/images/93/f5/60x45/93f5cbbf.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 1 100 000 |  2012  |  21 700 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1000211938-15ad7c | http://is16.auto.ru/all/images/3c/a1/60x45/3ca138f6.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 405 000 |  2008  |  140 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007248283-78b4a | http://is14.auto.ru/all/images/44/5d/60x45/445d8471.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 450 000 |  2009  |  87 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007295771-c94e | http://is12.auto.ru/all/images/5c/e2/60x45/5ce2024e.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #9c9999 | 620 000 |  2010  |  88 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Жуковский | 23.01.15
1007294907-07bf68 | http://is13.auto.ru/all/images/74/73/60x45/74735aad.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 750 000 |  2012  |  52 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007295545-4430 | http://is12.auto.ru/all/images/38/ca/60x45/38cae0c7.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 379 000 |  2009  |  77 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007295471-1f658d | http://is18.auto.ru/all/images/be/6c/60x45/be6c432f.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.) 4WD  | #0088ff | 285 000 |  2002  |  170 000 км  |  1.8 MT (150 л.с.) 4WDлифтбек, бензин, полный  | Арзамас | 23.01.15
1007294821-db3ad | http://is15.auto.ru/all/images/d7/52/60x45/d7524065.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 335 000 |  2008  |  86 789 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Домодедово | 23.01.15
1007034885-48453 | http://is6.auto.ru/all/images/31/df/60x45/31df758a.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 357 999 |  2008  |  75 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Череповец | 23.01.15
1006210707-064f3 | http://is9.auto.ru/all/images/2f/ec/60x45/2fecff6b.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #9c9999 | 550 000 |  2009  |  91 000 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Санкт-Петербург | 23.01.15
44261078-b35d1 | http://is6.auto.ru/all/images/fe/c7/60x45/fec7b1f4.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #CACECB | 375 000 |  2009  |  52 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006984651-66c6 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #9c9999 | 515 000 |  2012  |  70 000 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Ижевск | 23.01.15
1006304569-b7c31a | http://is5.auto.ru/all/images/ba/7c/60x45/ba7c42b5.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #000000 | 400 000 |  2008  |  106 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Химки | 23.01.15
1006865099-aa5778 | http://is8.auto.ru/all/images/a1/17/60x45/a117695d.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 320 000 |  2007  |  115 000 км  |  1.4 MT (75 л.с.)универсал, бензин, передний  | Тацинский | 23.01.15
1007234571-9b55 | http://is5.auto.ru/all/images/49/b7/60x45/49b73ea0.jpg |  Skoda Octavia I1.8 AT (150 л.с.)  | #CACECB | 350 000 |  2000  |  251 360 км  |  1.8 AT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007294783-5a337 | /i/all7/img/no-photo-thumb.gif |  Skoda Octavia II Рестайлинг1.2 MT (105 л.с.)  | #CACECB | 650 000 |  2012  |  19 000 км  |  1.2 MT (105 л.с.)лифтбек, бензин, передний  | Михайлов | 23.01.15
1006797673-3c94d9 | http://is5.auto.ru/all/images/69/52/60x45/6952d73c.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #FFFFFF | 620 000 |  2012  |  48 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007294587-8b02ea | http://is3.auto.ru/all/images/94/da/60x45/94da2891.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #9c9999 | 695 000 |  2010  |  132 471 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006744269-0efa | http://is18.auto.ru/all/images/39/b9/60x45/39b91761.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 645 000 |  2012  |  32 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007291177-3ae2e | http://is11.auto.ru/all/images/40/24/60x45/402486cc.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #34ba2b | 269 000 |  2005  |  91 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007045883-32f26 | http://is13.auto.ru/all/images/34/f8/60x45/34f83444.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 295 000 |  2008  |  78 000 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1007114221-e4ecdb | http://is9.auto.ru/all/images/f8/e1/60x45/f8e153fa.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FFFFFF | 650 000 |  2011  |  85 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006736079-bcc55c | http://is7.auto.ru/all/images/f5/42/60x45/f5426689.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 361 000 |  2007  |  98 725 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006794651-4b31 | http://is7.auto.ru/all/images/62/ba/60x45/62ba5d9e.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #000000 | 465 000 |  2008  |  56 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Самара | 23.01.15
1003354812-79b5 | http://is13.auto.ru/all/images/2e/0f/60x45/2e0f6d45.jpg |  Skoda Octavia II Рестайлинг1.6 MT (102 л.с.)  | #000000 | 540 000 |  2011  |  71 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005978219-f5609a | http://is3.auto.ru/all/images/ee/c4/60x45/eec43398.jpg |  Skoda Octavia II Рестайлинг1.8 MT (152 л.с.)  | #FFFFFF | 600 000 |  2012  |  68 000 км  |  1.8 MT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1006902243-41954a | http://is2.auto.ru/all/images/e3/df/60x45/e3df6a0c.jpg |  Skoda Octavia II Рестайлинг1.6 AT (102 л.с.)  | #9c9999 | 661 772 |  2011  |  76 307 км  |  1.6 AT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005948555-b53816 | http://is11.auto.ru/all/images/de/1e/60x45/de1e35f0.jpg |  Skoda Octavia II Рестайлинг1.4 AT (122 л.с.)  | #9c9999 | 714 945 |  2012  |  85 907 км  |  1.4 AT (122 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005948559-6057 | http://is18.auto.ru/all/images/10/cb/60x45/10cb9563.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #CACECB | 893 877 |  2012  |  52 000 км  |  1.8 AT (152 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1005948557-a611 | http://is5.auto.ru/all/images/f0/86/60x45/f086f2a7.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 341 220 |  2004  |  84 827 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005512859-0bf4 | http://is17.auto.ru/all/images/aa/56/60x45/aa56e0a0.jpg |  Skoda Octavia II1.6 MT (102 л.с.)  | #CACECB | 363 000 |  2007  |  169 523 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1003354798-07e5e | http://is13.auto.ru/all/images/9d/5f/60x45/9d5f4c75.jpg |  Skoda Octavia I1.8 MT (150 л.с.)  | #000000 | 370 000 |  2009  |  88 000 км  |  1.8 MT (150 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007185105-f2f111 | http://is14.auto.ru/all/images/35/18/60x45/35186c32.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #CACECB | 360 000 |  2006  |  172 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1004363671-304a85 | http://is5.auto.ru/all/images/16/03/60x45/1603b13f.jpg |  Skoda Octavia I Рестайлинг1.4 MT (75 л.с.)  | #9c9999 | 383 940 |  2005  |  74 136 км  |  1.4 MT (75 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
1005171503-e0a6 | http://is16.auto.ru/all/images/01/fd/60x45/01fd7b54.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 462 620 |  2008  |  132 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007248811-2aaf | http://is9.auto.ru/all/images/e1/b9/60x45/e1b96e2b.jpg |  Skoda Octavia I Рестайлинг1.8 MT (150 л.с.)  | #9c9999 | 445 000 |  2009  |  63 000 км  |  1.8 MT (150 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
33309752-35e7cb | http://is2.auto.ru/all/images/dc/fb/60x45/dcfb805f.jpg |  Skoda Octavia I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 380 000 |  2008  |  73 000 км  |  1.6 MT (102 л.с.)лифтбек, бензин, передний  | Самара | 23.01.15
1007293073-0d8ae3 | http://is6.auto.ru/all/images/45/f6/60x45/45f6c478.jpg |  Skoda Octavia II Рестайлинг1.4 MT (80 л.с.)  | #FFFFFF | 475 000 |  2011  |  104 593 км  |  1.4 MT (80 л.с.)лифтбек, бензин, передний  | Владимир | 23.01.15
1007292987-41ef9 | http://is17.auto.ru/all/images/8d/3d/60x45/8d3d8f6c.jpg |  Skoda Octavia II Рестайлинг1.8 AT (152 л.с.)  | #FFFFFF | 570 000 |  2011  |  31 000 км  |  1.8 AT (152 л.с.)лифтбек, бензин, передний  | Москва | 23.01.15
