1007256331-ecc78 | http://is15.auto.ru/all/images/51/b6/60x45/51b636f9.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 450 000 |  2006  |  93 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007297935-63cd6 | http://is2.auto.ru/all/images/91/a7/60x45/91a73833.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FF0000 | 499 000 |  2008  |  87 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007297319-291bc4 | http://is9.auto.ru/all/images/41/ea/60x45/41ea0e62.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #FF0000 | 500 000 |  2008  |  125 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Белгород | 23.01.15
1007297369-fb7fc | http://is3.auto.ru/all/images/d3/97/60x45/d39772bc.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #CACECB | 435 000 |  2008  |  41 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 23.01.15
11140396-6584 | http://is16.auto.ru/all/images/1d/e8/60x45/1de807bf.jpg |  Honda Civic VII1.6 MT (110 л.с.)  | #000000 | 345 900 |  2004  |  139 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Королев | 23.01.15
1007297037-143f5a | http://is18.auto.ru/all/images/6a/c9/60x45/6ac91139.jpg |  Honda Civic VI1.5 AT (115 л.с.)  | #9c9999 | 120 000 Правый руль |  1998  |  195 000 км  |  1.5 AT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006920023-ff28f7 | http://is10.auto.ru/all/images/4c/f3/60x45/4cf31bf1.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #000000 | 465 000 |  2008  |  79 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1002280217-383a1 | http://is3.auto.ru/all/images/fa/7a/60x45/fa7a8a12.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #9c9999 | 520 000 |  2008  |  56 605 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Брянск | 23.01.15
1007160439-0277 | http://is18.auto.ru/all/images/52/b5/60x45/52b5affc.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #926547 | 480 000 |  2009  |  73 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007184731-aef09e | http://is3.auto.ru/all/images/03/a2/60x45/03a28e7e.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 590 000 |  2008  |  101 500 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007254147-ab55d | http://is5.auto.ru/all/images/ae/c2/60x45/aec209cc.jpg |  Honda Civic VII1.7 MT (125 л.с.)  | #CACECB | 215 000 |  2002  |  200 000 км  |  1.7 MT (125 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007240885-ae74fb | http://is16.auto.ru/all/images/76/d6/60x45/76d67596.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #000000 | 533 333 |  2009  |  99 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
46543170-b55034 | http://is6.auto.ru/all/images/c4/a8/60x45/c4a833cf.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #CACECB | 445 000 |  2009  |  70 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007294427-ad9f | http://is15.auto.ru/all/images/a4/5b/60x45/a45b692e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 550 000 |  2010  |  126 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006794147-28dae | http://is2.auto.ru/all/images/f6/73/60x45/f6738a74.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #CC0033 | 414 000 |  2007  |  129 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Владимир | 23.01.15
49450414-f311 | http://is6.auto.ru/all/images/e9/27/60x45/e9278319.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #0088ff | 460 000 |  2008  |  110 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1006459973-fbcc | http://is1.auto.ru/all/images/15/93/60x45/15936b79.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 645 000 |  2011  |  29 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282555-6477af | http://is9.auto.ru/all/images/ab/d6/60x45/abd61f80.jpg |  Honda Civic VII Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 345 000 |  2004  |  107 600 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1002801257-facb90 | http://is2.auto.ru/all/images/c9/92/60x45/c992cac7.jpg |  Honda Civic VII1.7 AT (125 л.с.)  | #ffefd5 | 195 000 |  2002  |  140 000 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007188853-b29928 | http://is15.auto.ru/all/images/eb/ce/60x45/ebce53e6.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #0088ff | 450 000 |  2009  |  140 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007294087-ff12 | http://is17.auto.ru/all/images/71/4d/60x45/714d48c6.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 710 000 |  2011  |  19 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007043783-242d8 | http://is17.auto.ru/all/images/b2/f9/60x45/b2f942db.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 674 520 |  2011  |  84 261 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006340821-0d96 | http://is16.auto.ru/all/images/40/62/60x45/40628545.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 434 390 |  2006  |  118 626 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006839419-b1ca | http://is4.auto.ru/all/images/7a/73/60x45/7a73946e.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #FF0000 | 567 966 |  2008  |  80 012 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291371-de4f8 | http://is8.auto.ru/all/images/da/ba/60x45/dabac19d.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 415 000 |  2009  |  79 200 км  |  1.8 AT (140 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007097129-5ad0 | http://is5.auto.ru/all/images/7c/a5/60x45/7ca52500.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 528 000 |  2010  |  43 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007171015-13bc | http://is11.auto.ru/all/images/1c/4c/60x45/1c4c980f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 495 000 |  2008  |  107 832 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Балашиха | 23.01.15
1007293083-bee1ba | http://is5.auto.ru/all/images/45/5d/60x45/455d2cb1.jpg |  Honda Civic VIII Рестайлинг Hybrid1.3hyb CVT (95 л.с.)  | #0000FF | 444 444 |  2010  |  89 673 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 23.01.15
1007292357-9d4340 | http://is7.auto.ru/all/images/9c/e0/60x45/9ce0c24b.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 528 888 |  2010  |  64 000 км  |  1.8 AT (140 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007291939-fcce | http://is13.auto.ru/all/images/44/34/60x45/4434d4d4.jpg |  Honda Civic VI1.4 MT (90 л.с.)  | #FF0000 | 205 000 |  2002  |  85 214 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007289773-b981 | http://is18.auto.ru/all/images/f4/85/60x45/f485e2a8.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 395 000 |  2006  |  129 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Уфа | 23.01.15
1007290847-36689 | http://is8.auto.ru/all/images/c1/c2/60x45/c1c28416.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 450 000 |  2009  |  77 800 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290775-e849 | http://is10.auto.ru/all/images/39/3d/60x45/393d2b6a.jpg |  Honda Civic VIII Рестайлинг Type S1.8 AT (140 л.с.)  | #9c9999 | 455 000 |  2009  |  63 520 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290535-0266 | http://is6.auto.ru/all/images/44/d5/60x45/44d5766e.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FFCC00 | 433 333 |  2009  |  67 209 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290409-434f | http://is18.auto.ru/all/images/72/43/60x45/7243b5f5.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 455 000 |  2009  |  76 875 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286219-35a7a0 | http://is9.auto.ru/all/images/5f/f1/60x45/5ff10134.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #9c9999 | 488 000 |  2009  |  75 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285999-bdc261 | http://is14.auto.ru/all/images/cf/05/60x45/cf05abc5.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #0000FF | 433 333 |  2010  |  65 126 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285657-b1ad4 | http://is5.auto.ru/all/images/0a/20/60x45/0a20e1c1.jpg |  Honda Civic VI1.5 AT (115 л.с.)  | #FF0000 | 199 999 |  2000  |  133 521 км  |  1.5 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285481-b1fc | http://is15.auto.ru/all/images/fb/56/60x45/fb56253a.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FFFFFF | 499 999 |  2008  |  118 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284729-5c85 | http://is11.auto.ru/all/images/e5/a4/60x45/e5a437a6.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0000FF | 485 000 |  2008  |  72 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284289-1233d3 | http://is13.auto.ru/all/images/bf/b6/60x45/bfb6c29c.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 444 444 |  2010  |  35 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283747-56b5 | http://is8.auto.ru/all/images/fa/87/60x45/fa870af1.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CC0033 | 455 000 |  2008  |  75 841 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282353-0c1f | http://is7.auto.ru/all/images/72/4a/60x45/724a8e39.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 465 000 |  2009  |  76 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282143-dc8a | http://is7.auto.ru/all/images/a0/c1/60x45/a0c16d9d.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 400 000 |  2009  |  75 200 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282323-c2f5d | http://is13.auto.ru/all/images/40/17/60x45/401741be.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #CACECB | 395 000 |  2008  |  78 200 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281535-8dad | http://is15.auto.ru/all/images/f4/4f/60x45/f44f6d06.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 525 000 |  2010  |  64 000 км  |  1.8 AT (140 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007281563-88978 | http://is6.auto.ru/all/images/92/4e/60x45/924e58b5.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #FF0000 | 555 000 |  2008  |  74 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281557-7d3fcd | http://is4.auto.ru/all/images/f1/33/60x45/f133d9ae.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 575 000 |  2009  |  73 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280865-77b23f | http://is15.auto.ru/all/images/86/61/60x45/86612ea4.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 530 000 |  2010  |  43 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280887-ca2ada | http://is9.auto.ru/all/images/63/f0/60x45/63f04cdd.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 455 000 |  2008  |  73 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280863-84d024 | http://is17.auto.ru/all/images/c6/a8/60x45/c6a8de71.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 465 000 |  2009  |  76 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006183579-04c7 | http://is5.auto.ru/all/images/88/16/60x45/88164397.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 760 000 |  2011  |  50 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006753227-3f203e | http://is2.auto.ru/all/images/e6/a3/60x45/e6a36b29.jpg |  Honda Civic VII1.7 AT (125 л.с.)  | #CACECB | 220 000 |  2001  |  96 000 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007279039-6a9860 | http://is17.auto.ru/all/images/06/a4/60x45/06a47182.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 465 000 |  2007  |  82 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278425-30fc98 | http://is17.auto.ru/all/images/7e/ad/60x45/7ead236e.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #FF0000 | 575 000 |  2008  |  45 245 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 23.01.15
1007277697-4b9c58 | http://is16.auto.ru/all/images/b5/64/60x45/b564a8e4.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 640 000 |  2010  |  63 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007277743-819cc | http://is3.auto.ru/all/images/d5/cc/60x45/d5cc4b56.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #ffefd5 | 405 000 |  2007  |  114 997 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 23.01.15
1007277723-7454a | http://is7.auto.ru/all/images/3e/01/60x45/3e01b17b.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 514 000 |  2008  |  61 997 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272535-6cba | http://is18.auto.ru/all/images/05/a0/60x45/05a06e7f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #0088ff | 480 000 |  2010  |  46 785 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004720303-ee97 | http://is10.auto.ru/all/images/20/c1/60x45/20c15810.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #0000FF | 499 000 |  2010  |  72 001 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272537-8e71e2 | http://is2.auto.ru/all/images/ac/78/60x45/ac786b7f.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #000000 | 500 000 |  2011  |  48 353 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269669-eb453e | http://is14.auto.ru/all/images/ab/d6/60x45/abd6b0cf.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 525 000 |  2010  |  42 386 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269673-769dbc | http://is15.auto.ru/all/images/35/db/60x45/35dbe4cd.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0088ff | 535 000 |  2010  |  72 238 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269681-2d76 | http://is11.auto.ru/all/images/46/78/60x45/4678dd83.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 550 000 |  2011  |  62 438 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274735-6b0ac6 | http://is5.auto.ru/all/images/4d/be/60x45/4dbed226.jpg |  Honda Civic VIII Рестайлинг1.8 MT (140 л.с.)  | #0000FF | 600 000 |  2010  |  64 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007269687-002ea | http://is4.auto.ru/all/images/7e/f7/60x45/7ef7d349.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 610 000 |  2011  |  80 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269695-4d8cd | http://is8.auto.ru/all/images/30/e3/60x45/30e32b3b.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 640 000 |  2011  |  31 007 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005825091-e55b9d | http://is18.auto.ru/all/images/7f/3f/60x45/7f3f3481.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 725 000 |  2010  |  105 407 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269423-c185 | http://is10.auto.ru/all/images/ae/6a/60x45/ae6a0a59.jpg |  Honda Civic VII1.7 AT (125 л.с.)  | #CACECB | 250 000 |  2003  |  75 645 км  |  1.7 AT (125 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007271737-63bfb | http://is12.auto.ru/all/images/ae/80/60x45/ae80ec56.jpg |  Honda Civic VIII Hybrid1.3hyb CVT (95 л.с.)  | #9c9999 | 355 000 |  2007  |  63 000 км  |  1.3hyb CVT (95 л.с.)седан, гибрид, передний  | Москва | 23.01.15
1007271013-ab79 | http://is10.auto.ru/all/images/78/4a/60x45/784a7b89.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #926547 | 420 000 |  2007  |  135 000 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1005288033-9131fc | http://is18.auto.ru/all/images/4b/54/60x45/4b5478fb.jpg |  Honda Civic VIII1.8 MT (140 л.с.)  | #9c9999 | 435 000 |  2007  |  88 070 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272779-0dba5 | http://is6.auto.ru/all/images/95/35/60x45/9535db4f.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 445 000 |  2009  |  66 900 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007272787-5fc6f | http://is5.auto.ru/all/images/c1/24/60x45/c12463a5.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 460 000 |  2009  |  61 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007269647-3c22bc | http://is18.auto.ru/all/images/a4/d7/60x45/a4d7462d.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #9c9999 | 465 000 |  2008  |  41 117 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 23.01.15
1007272309-a191a0 | http://is9.auto.ru/all/images/5b/1e/60x45/5b1e90a8.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.) AMT  | #000000 | 470 000 |  2008  |  80 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 23.01.15
1007270165-82d5e | http://is17.auto.ru/all/images/34/a5/60x45/34a50ac9.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 479 000 |  2008  |  73 200 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270175-81c2f | http://is9.auto.ru/all/images/34/99/60x45/3499e8ef.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #000000 | 485 000 |  2008  |  75 800 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274707-07b82 | http://is8.auto.ru/all/images/b8/4b/60x45/b84b9641.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #9c9999 | 485 000 |  2008  |  65 000 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007269653-0251 | http://is9.auto.ru/all/images/28/fb/60x45/28fb79c6.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 490 000 |  2009  |  65 997 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272541-976abc | http://is14.auto.ru/all/images/54/56/60x45/5456229b.jpg |  Honda Civic VIII1.8 AT (140 л.с.) AMT  | #0000FF | 490 000 |  2008  |  61 700 км  |  1.8 AT (140 л.с.) AMTхэтчбек, бензин, передний  | Москва | 23.01.15
1007269661-5b1f3 | http://is2.auto.ru/all/images/e1/15/60x45/e11581db.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 500 000 |  2009  |  65 831 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274717-3063e | http://is17.auto.ru/all/images/d9/93/60x45/d993fabe.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #ffefd5 | 500 000 |  2008  |  87 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1005609325-8c40a | http://is4.auto.ru/all/images/e5/b0/60x45/e5b0e76d.jpg |  Honda Civic VIII Рестайлинг1.8 AT (140 л.с.)  | #000000 | 515 000 |  2009  |  79 281 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288035-abf1f7 | http://is17.auto.ru/all/images/a7/02/60x45/a702857f.jpg |  Honda Civic VIII1.8 AT (140 л.с.)  | #CACECB | 570 000 |  2009  |  149 350 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
