1006524537-9c39 | http://is5.auto.ru/all/images/0a/1d/60x45/0a1d0064.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  47 382 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285003-9ff24 | http://is11.auto.ru/all/images/4f/0d/60x45/4f0d545f.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 355 555 |  2006  |  79 562 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284703-48e61 | http://is1.auto.ru/all/images/3d/62/60x45/3d62d21f.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 610 000 |  2014  |  2 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284561-09f37 | http://is8.auto.ru/all/images/2c/e8/60x45/2ce86561.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0088ff | 277 777 |  2005  |  121 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284311-7d30 | http://is14.auto.ru/all/images/52/0b/60x45/520b2aac.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #0088ff | 70 000 |  1998  |  177 000 км  |  1.6 MT (99 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284141-b403bd | http://is17.auto.ru/all/images/b4/6c/60x45/b46cf699.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 589 000 |  2014  |  12 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007283085-d8ef94 | http://is2.auto.ru/all/images/99/c8/60x45/99c8957d.jpg |  Nissan Almera I (N15)1.6 AT (90 л.с.)  | #CACECB | 170 000 |  1998  |  120 000 км  |  1.6 AT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282679-e58af2 | http://is15.auto.ru/all/images/d7/8f/60x45/d78ffaed.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 245 000 |  2006  |  93 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282997-9d135 | http://is16.auto.ru/all/images/2f/11/60x45/2f116734.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 240 000 |  2006  |  87 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282575-3e2bbc | http://is5.auto.ru/all/images/7b/b2/60x45/7bb2b0cd.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 265 000 |  2006  |  46 700 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281783-82f319 | http://is9.auto.ru/all/images/4f/1f/60x45/4f1f19af.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 300 000 |  2006  |  105 713 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281081-ddc5 | http://is16.auto.ru/all/images/27/53/60x45/27530477.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #0088ff | 210 000 |  2004  |  123 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280555-3302d | http://is3.auto.ru/all/images/c0/b6/60x45/c0b6d523.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #9c9999 | 235 000 |  2006  |  76 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280435-1c340 | http://is15.auto.ru/all/images/c2/99/60x45/c299c60a.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #CACECB | 245 000 |  2005  |  91 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280449-5efb | http://is11.auto.ru/all/images/37/79/60x45/3779d2bc.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0088ff | 260 000 |  2006  |  81 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280171-ece4 | http://is16.auto.ru/all/images/b8/95/60x45/b89549d3.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 287 000 |  2006  |  80 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006136837-88b80 | http://is4.auto.ru/all/images/db/03/60x45/db034ea4.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 249 000 |  2004  |  123 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005613549-f756 | http://is9.auto.ru/all/images/6a/b9/60x45/6ab9cac4.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 282 332 |  2006  |  265 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006656217-c33245 | http://is2.auto.ru/all/images/df/87/60x45/df872810.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 290 400 |  2006  |  263 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279615-47c33 | http://is6.auto.ru/all/images/ac/45/60x45/ac456e01.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 650 000 |  2014  |  1 001 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279613-d2eec | http://is7.auto.ru/all/images/e4/1b/60x45/e41bf6dc.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 315 000 |  2005  |  91 100 км  |  1.8 AT (116 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007278917-13e5e4 | http://is18.auto.ru/all/images/a0/5b/60x45/a05bc7fd.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 690 000 |  2014  |  175 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278661-8ced | http://is17.auto.ru/all/images/f0/05/60x45/f005b0b6.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 199 000 |  2004  |  98 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278317-68d4c1 | http://is3.auto.ru/all/images/c6/80/60x45/c680cba8.jpg |  Nissan Almera I (N15)1.6 MT (90 л.с.)  | #34ba2b | 105 000 |  1998  |  151 341 км  |  1.6 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007278343-a4659 | http://is9.auto.ru/all/images/14/0a/60x45/140a40e7.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 265 000 |  2005  |  124 492 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007278267-25a32 | http://is13.auto.ru/all/images/36/d1/60x45/36d13fbb.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #ffefd5 | 295 000 |  2005  |  77 694 км  |  1.8 MT (116 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1004736725-43c5 | http://is7.auto.ru/all/images/e5/41/60x45/e541eb76.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 329 000 |  2006  |  93 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278449-966df9 | http://is18.auto.ru/all/images/1b/85/60x45/1b8585ef.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #FFCC00 | 255 000 |  2004  |  82 684 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007276551-12b366 | http://is17.auto.ru/all/images/0e/16/60x45/0e161335.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 429 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007277599-fb257 | http://is6.auto.ru/all/images/fd/1b/60x45/fd1b1850.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 429 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1006835083-debe | http://is15.auto.ru/all/images/df/8c/60x45/df8cd784.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 457 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007276555-83b60 | http://is4.auto.ru/all/images/7c/f4/60x45/7cf489c4.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 502 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007277601-65d8d | http://is2.auto.ru/all/images/d8/29/60x45/d8299386.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 502 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1006741945-5cd669 | http://is15.auto.ru/all/images/54/5e/60x45/545e2ae2.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 574 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007276017-3b69a | http://is5.auto.ru/all/images/df/24/60x45/df2482fb.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #34ba2b | 215 000 |  2001  |  158 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007276187-fe75f | http://is2.auto.ru/all/images/28/5f/60x45/285f06bc.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 260 000 |  2005  |  72 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272571-889ac | http://is16.auto.ru/all/images/be/e6/60x45/bee69f38.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 402 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006868445-f5f84c | http://is17.auto.ru/all/images/73/92/60x45/7392e225.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 429 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007273907-4ce9f4 | http://is6.auto.ru/all/images/b6/6e/60x45/b66e6665.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 454 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Балашиха | 23.01.15
1007272873-40e85 | http://is8.auto.ru/all/images/5c/94/60x45/5c9456bc.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 457 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006953853-714805 | http://is6.auto.ru/all/images/c9/1a/60x45/c91af1b5.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 457 500 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007273055-36a2ee | http://is2.auto.ru/all/images/d1/88/60x45/d188c44e.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 494 900 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006868447-4f0b | http://is5.auto.ru/all/images/d4/4d/60x45/d44d5ac0.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 502 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007273877-71892 | http://is9.auto.ru/all/images/2d/ac/60x45/2daca4fb.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #0000FF | 527 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Балашиха | 23.01.15
1005698515-716299 | http://is9.auto.ru/all/images/a1/71/60x45/a171955e.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 540 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269425-61425 | http://is18.auto.ru/all/images/4b/00/60x45/4b002c37.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 590 000 |  2014  |  2 270 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Белгород | 23.01.15
1007270209-ddcc05 | http://is5.auto.ru/all/images/e4/4c/60x45/e44c9fec.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0088ff | 270 000 |  2006  |  125 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005277189-7ed1b3 | http://is16.auto.ru/all/images/dd/18/60x45/dd18066c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #0000FF | 319 000 |  2005  |  94 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1001583145-79de73 | http://is17.auto.ru/all/images/a5/84/60x45/a5848400.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 424 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268655-043ab8 | http://is18.auto.ru/all/images/45/b0/60x45/45b01309.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #CACECB | 429 000 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007200319-3ff313 | http://is17.auto.ru/all/images/f6/37/60x45/f637c1f6.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #000000 | 494 600 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007200313-98452 | http://is18.auto.ru/all/images/3f/36/60x45/3f3696ba.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 494 900 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1001583148-02fbc | http://is9.auto.ru/all/images/92/55/60x45/92556e24.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 500 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268661-8a8a4 | http://is3.auto.ru/all/images/c2/a7/60x45/c2a7c6da.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 502 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007267217-64e9 | http://is13.auto.ru/all/images/5a/99/60x45/5a999601.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 247 500 |  2005  |  106 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007265091-f73f | http://is12.auto.ru/all/images/65/fa/60x45/65fa747e.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FF0000 | 330 000 |  2006  |  154 765 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1007266987-812b86 | http://is13.auto.ru/all/images/48/a0/60x45/48a01e72.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #FF0000 | 105 000 |  1999  |  297 000 км  |  1.4 MT (87 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007268163-70ac4 | http://is5.auto.ru/all/images/88/f2/60x45/88f25892.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #0000FF | 220 000 |  2002  |  106 200 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007264289-89bd4f | http://is18.auto.ru/all/images/63/90/60x45/63908436.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 506 088 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007073465-a65061 | http://is15.auto.ru/all/images/16/f4/60x45/16f43646.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 520 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005989421-cbcdd | http://is18.auto.ru/all/images/2c/19/60x45/2c191995.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 235 238 |  2002  |  136 234 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1003937014-4d5856 | /i/all7/img/no-photo-thumb.gif |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #ffefd5 | 210 000 |  2005  |  175 476 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005824583-53b3ee | http://is6.auto.ru/all/images/4f/61/60x45/4f6160a6.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 263 425 |  2005  |  140 701 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006894247-bd23e3 | http://is5.auto.ru/all/images/ba/6a/60x45/ba6ace93.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 494 700 |  2014  | Новый |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006894243-aadb8 | http://is2.auto.ru/all/images/77/8b/60x45/778b2961.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #CACECB | 554 000 |  2014  | Новый |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007262031-8ffa5c | http://is17.auto.ru/all/images/df/22/60x45/df228848.jpg |  Nissan Almera I (N15)1.4 MT (87 л.с.)  | #34ba2b | 135 000 |  2000  |  89 000 км  |  1.4 MT (87 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007261985-f7c6 | http://is11.auto.ru/all/images/14/e7/60x45/14e73df8.jpg |  Nissan Almera I (N15)1.6 MT (99 л.с.)  | #CACECB | 148 000 |  2000  |  115 000 км  |  1.6 MT (99 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007241771-6514 | http://is16.auto.ru/all/images/5d/d4/60x45/5dd4cf3d.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #FFCC00 | 255 000 |  2006  |  89 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007255585-a6a30 | http://is15.auto.ru/all/images/42/bd/60x45/42bd1596.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #000000 | 215 000 |  2005  |  155 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007195245-617407 | http://is7.auto.ru/all/images/8d/38/60x45/8d38600c.jpg |  Nissan Almera II (N16)1.8 AT (116 л.с.)  | #CACECB | 265 000 |  2005  |  113 000 км  |  1.8 AT (116 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007255489-9054 | http://is5.auto.ru/all/images/cc/c4/60x45/ccc4752a.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #000000 | 290 000 |  2005  |  210 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Тула | 23.01.15
1007255235-6101 | http://is3.auto.ru/all/images/2a/68/60x45/2a68073b.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 280 000 |  2004  |  105 300 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Электросталь | 22.01.15
1007254917-22922d | http://is16.auto.ru/all/images/69/dd/60x45/69ddb125.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #9c9999 | 250 000 |  2004  |  164 000 км  |  1.5 MT (98 л.с.)хэтчбек, бензин, передний  | п.Тучково | 22.01.15
1006994043-d6fca | http://is7.auto.ru/all/images/15/88/60x45/15880adc.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0088ff | 150 000 |  2000  |  260 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007253695-9d07b | http://is15.auto.ru/all/images/f3/58/60x45/f358e174.jpg |  Nissan Almera II (N16)1.5 MT (98 л.с.)  | #000000 | 259 000 |  2005  |  121 000 км  |  1.5 MT (98 л.с.)седан, бензин, передний  | Кирово-Чепецк | 22.01.15
1007253487-4fe31b | http://is18.auto.ru/all/images/b3/14/60x45/b314352c.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #0000FF | 210 000 |  2001  |  163 000 км  |  1.5 MT (90 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007253195-ec9c0 | http://is18.auto.ru/all/images/d0/38/60x45/d038c6aa.jpg |  Nissan Almera II (N16)1.5 MT (90 л.с.)  | #FF0000 | 215 000 |  2000  |  168 000 км  |  1.5 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006943055-f9b710 | http://is11.auto.ru/all/images/31/e7/60x45/31e72378.jpg |  Nissan Almera II (N16)1.8 MT (116 л.с.)  | #ffefd5 | 265 000 |  2005  |  130 000 км  |  1.8 MT (116 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005573831-f29015 | http://is7.auto.ru/all/images/1f/42/60x45/1f427b78.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #FFFFFF | 605 000 |  2014  |  1 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Кострома | 22.01.15
1007170119-bb34 | http://is3.auto.ru/all/images/61/e8/60x45/61e8ac0b.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #9c9999 | 580 000 |  2014  |  1 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007250945-e7a5d | http://is2.auto.ru/all/images/35/fd/60x45/35fdd92e.jpg |  Nissan Almera III (G15)1.6 AT (102 л.с.)  | #FFFFFF | 630 000 |  2013  |  26 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007250579-acae | http://is7.auto.ru/all/images/7c/b2/60x45/7cb297fe.jpg |  Nissan Almera III (G15)1.6 MT (102 л.с.)  | #000000 | 515 000 |  2014  |  11 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
