1005759681-b680 | http://is12.auto.ru/all/images/14/5e/60x45/145e6411.jpg |  Volkswagen Golf II1.6 MT (75 л.с.)  | #FF0000 | 110 000 |  1985  |  125 000 км  |  1.6 MT (75 л.с.)хэтчбек, бензин, передний  | Новочеркасск | 22.01.15
1007242369-82a8 | http://is2.auto.ru/all/images/e2/da/60x45/e2dabe27.jpg |  Volkswagen Golf Plus I1.6 AT (102 л.с.)  | #FFFFFF | 390 000 |  2009  |  90 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007238821-c25b9f | http://is13.auto.ru/all/images/30/f3/60x45/30f3f1a1.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #9c9999 | 720 000 |  2011  |  61 500 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007053183-eb7664 | http://is7.auto.ru/all/images/9b/e0/60x45/9be07e9c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 440 000 |  2012  |  70 300 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006981825-72acb | http://is11.auto.ru/all/images/bd/9b/60x45/bd9bb250.jpg |  Volkswagen Passat CC I2.0 AT (210 л.с.)  | #FFFFFF | 1 099 000 |  2011  |  37 000 км  |  2.0 AT (210 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007106687-bfde06 | http://is2.auto.ru/all/images/ef/b5/60x45/efb5789d.jpg |  Volkswagen Passat B32.0 MT (115 л.с.)  | #000000 | 80 000 |  1991  |  90 000 км  |  2.0 MT (115 л.с.)универсал, бензин, передний  | Псков | 22.01.15
1007243203-f291e9 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Multivan T5 Рестайлинг2.0d MT (140 л.с.)  | #926547 | 1 600 000 |  2010  |  55 000 км  |  2.0d MT (140 л.с.)минивэн, дизель, передний  | Москва | 22.01.15
1007243153-e66f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B71.8 AT (152 л.с.)  | #926547 | 930 000 |  2011  |  71 235 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007186417-749e | http://is11.auto.ru/all/images/e1/90/60x45/e190cb1c.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 340 000 |  2002  |  185 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242925-928143 | http://is15.auto.ru/all/images/6a/f2/60x45/6af21a0c.jpg |  Volkswagen Beetle II (A5)1.4 AT (160 л.с.)  | #fde910 | 1 250 000 |  2014  |  6 000 км  |  1.4 AT (160 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007242945-c7e00 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Tiguan I Рестайлинг2.0 AT (170 л.с.) 4WD  | #FFFFFF | 1 250 000 |  2013  |  54 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Санкт-Петербург | 22.01.15
1006908897-7872 | http://is17.auto.ru/all/images/d0/6d/60x45/d06d46ec.jpg |  Volkswagen Polo III1.6 MT (75 л.с.)  | #FFFFFF | 322 222 |  1999  |  147 281 км  |  1.6 MT (75 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242953-4c14e | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B61.8 MT (160 л.с.)  | #CACECB | 620 000 |  2008  |  78 870 км  |  1.8 MT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007242971-2a2b8 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf V1.6 AT (102 л.с.)  | #FF0000 | 450 000 |  2006  |  60 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007174387-ba8b7 | http://is3.auto.ru/all/images/f2/92/60x45/f2922b54.jpg |  Volkswagen Touran II1.4 AT (140 л.с.)  | #CACECB | 750 000 |  2011  |  75 000 км  |  1.4 AT (140 л.с.)компактвэн, бензин, передний  | Санкт-Петербург | 22.01.15
1007242955-e058 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B61.8 AT (160 л.с.)  | #ffefd5 | 795 000 |  2010  |  43 891 км  |  1.8 AT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006662801-620d | http://is6.auto.ru/all/images/d7/b3/60x45/d7b31477.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #0000FF | 299 999 |  2004  |  132 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006314719-e4df9c | http://is17.auto.ru/all/images/92/55/60x45/9255a155.jpg |  Volkswagen Golf IV1.6 AT (102 л.с.)  | #000000 | 240 000 |  2002  |  165 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007186113-e3281 | http://is2.auto.ru/all/images/40/dc/60x45/40dcaabf.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 340 000 |  2002  |  185 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Одинцово | 22.01.15
1007242433-be224 | http://is4.auto.ru/all/images/ca/86/60x45/ca866ef6.jpg |  Volkswagen Bora1.6 AT (101 л.с.)  | #9c9999 | 280 000 |  2001  |  172 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Сафоново | 22.01.15
1005809169-0448a9 | http://is3.auto.ru/all/images/6d/a3/60x45/6da3939b.jpg |  Volkswagen Bora1.6 MT (105 л.с.)  | #000000 | 325 000 |  2001  |  141 000 км  |  1.6 MT (105 л.с.)универсал, бензин, передний  | Тула | 22.01.15
1007242801-85e7 | http://is3.auto.ru/all/images/00/6a/60x45/006a5c91.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #CACECB | 890 000 |  2011  |  63 600 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Томск | 22.01.15
1005568647-f7ba48 | http://is10.auto.ru/all/images/29/7b/60x45/297b0f9f.jpg |  Volkswagen Golf VI1.4 MT (122 л.с.)  | #000000 | 690 000 |  2010  |  80 000 км  |  1.4 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1006804235-a41a43 | http://is3.auto.ru/all/images/1f/7a/60x45/1f7a8b9f.jpg |  Volkswagen Caddy III Maxi1.9d MT (105 л.с.)  | #FFFFFF | 320 000 |  2008  |  260 000 км  |  1.9d MT (105 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1006626339-61ec | http://is8.auto.ru/all/images/c9/cf/60x45/c9cf97d9.jpg |  Volkswagen Passat B5 Рестайлинг1.8 MT (170 л.с.)  | #0088ff | 335 000 |  2004  |  135 000 км  |  1.8 MT (170 л.с.)седан, бензин, передний  | Долгопрудный | 22.01.15
1007242799-476fb | http://is4.auto.ru/all/images/69/fd/60x45/69fd402a.jpg |  Volkswagen Touareg I Рестайлинг2.5d AT (163 л.с.) 4WD  | #000000 | 1 000 000 |  2009  |  123 000 км  |  2.5d AT (163 л.с.) 4WDвнедорожник, дизель, полный  | Тула | 22.01.15
1007241751-2a46d | http://is13.auto.ru/all/images/a7/7c/60x45/a77c402a.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #CACECB | 650 000 |  2012  |  33 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 22.01.15
1007219435-be27 | http://is9.auto.ru/all/images/f2/57/60x45/f257d39f.jpg |  Volkswagen Multivan T53.2 AT (235 л.с.)  | #CACECB | 875 000 |  2005  |  157 000 км  |  3.2 AT (235 л.с.)минивэн, бензин, передний  | Москва | 22.01.15
1007215849-16f3 | http://is16.auto.ru/all/images/71/d9/60x45/71d983d9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 485 000 |  2013  |  49 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007215919-4916 | http://is6.auto.ru/all/images/5d/35/60x45/5d35f8c8.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 550 000 |  2014  |  9 800 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007136243-7cb5 | http://is11.auto.ru/all/images/6c/65/60x45/6c650532.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 570 000 |  2011  |  50 418 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007217453-b24901 | http://is11.auto.ru/all/images/30/ec/60x45/30ecaf3d.jpg |  Volkswagen Golf VI1.4 AT (122 л.с.)  | #000000 | 595 000 |  2011  |  38 000 км  |  1.4 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007236195-3802 | http://is7.auto.ru/all/images/04/9e/60x45/049ef738.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 640 000 |  2014  |  2 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216043-1d46b1 | http://is15.auto.ru/all/images/8a/77/60x45/8a7782bc.jpg |  Volkswagen Tiguan I1.4 MT (150 л.с.) 4WD  | #000000 | 695 000 |  2010  |  76 000 км  |  1.4 MT (150 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1005249589-6e0f | http://is9.auto.ru/all/images/80/ef/60x45/80ef831c.jpg |  Volkswagen Tiguan I Рестайлинг1.4 AT (150 л.с.)  | #CACECB | 1 150 000 |  2012  |  31 000 км  |  1.4 AT (150 л.с.)внедорожник, бензин, передний  | Москва | 22.01.15
1007240599-a3b98b | http://is1.auto.ru/all/images/69/a8/60x45/69a8b233.jpg |  Volkswagen Polo III1.6 MT (100 л.с.)  | #0000FF | 225 000 |  2002  |  137 000 км  |  1.6 MT (100 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240607-1be6 | http://is9.auto.ru/all/images/9e/7a/60x45/9e7adc8b.jpg |  Volkswagen Passat B62.0 MT (150 л.с.)  | #CACECB | 310 000 |  2005  |  123 000 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240603-ed03b | http://is14.auto.ru/all/images/6f/cb/60x45/6fcb493a.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #0000FF | 365 000 |  2006  |  131 000 км  |  2.0 AT (150 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007216317-ac34 | http://is17.auto.ru/all/images/1e/f7/60x45/1ef774bb.jpg |  Volkswagen Touran I1.6 AT (115 л.с.)  | #CACECB | 425 000 |  2006  |  117 000 км  |  1.6 AT (115 л.с.)компактвэн, бензин, передний  | Москва | 22.01.15
1007215885-56c547 | http://is3.auto.ru/all/images/f8/75/60x45/f8752253.jpg |  Volkswagen Jetta V1.4 AT (140 л.с.)  | #9c9999 | 450 000 |  2009  |  104 000 км  |  1.4 AT (140 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216105-bdc90 | http://is16.auto.ru/all/images/8e/a1/60x45/8ea1627e.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #CACECB | 525 000 |  2008  |  109 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216159-ad7f0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Golf Plus II1.6 AT (102 л.с.)  | #9c9999 | 485 000 |  2013  |  62 000 км  |  1.6 AT (102 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007215893-2f0d9f | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B5 Рестайлинг1.6 MT (102 л.с.)  | #0000FF | 275 000 |  2001  |  178 000 км  |  1.6 MT (102 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007215939-572c2 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Touran I Рестайлинг1.9d AT (105 л.с.)  | #9c9999 | 445 000 |  2006  |  114 000 км  |  1.9d AT (105 л.с.)компактвэн, дизель, передний  | Москва | 22.01.15
1007242451-e7b5 | http://is11.auto.ru/all/images/78/1e/60x45/781e9c76.jpg |  Volkswagen Passat B62.0d AT (170 л.с.)  | #000000 | 890 000 |  2009  |  144 000 км  |  2.0d AT (170 л.с.)универсал, дизель, передний  | Одинцово | 22.01.15
49931254-e444d1 | http://is11.auto.ru/all/images/c3/1a/60x45/c31ae8f0.jpg |  Volkswagen Passat CC I2.0 AT (200 л.с.)  | #FFFFFF | 900 000 |  2009  |  101 000 км  |  2.0 AT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241621-fd3d | http://is2.auto.ru/all/images/10/45/60x45/104518e2.jpg |  Volkswagen Tiguan I2.0 AT (170 л.с.) 4WD  | #CACECB | 850 000 |  2010  |  47 000 км  |  2.0 AT (170 л.с.) 4WDвнедорожник, бензин, полный  | Екатеринбург | 22.01.15
1007109681-0d5885 | http://is6.auto.ru/all/images/8c/67/60x45/8c6707b9.jpg |  Volkswagen Touareg I Рестайлинг3.0d AT (240 л.с.) 4WD  | #000000 | 1 295 000 |  2010  |  138 000 км  |  3.0d AT (240 л.с.) 4WDвнедорожник, дизель, полный  | Рославль | 22.01.15
1005865425-7e76 | http://is18.auto.ru/all/images/8c/66/60x45/8c66819e.jpg |  Volkswagen Golf GTI VII2.0 AT (220 л.с.)  | #FF0000 | 1 500 000 |  2013  |  14 000 км  |  2.0 AT (220 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007242493-40cc | http://is15.auto.ru/all/images/41/7f/60x45/417f8b31.jpg |  Volkswagen Polo III Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 185 000 |  2000  |  130 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007055405-fa5f4d | http://is14.auto.ru/all/images/0d/03/60x45/0d03f5c1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 575 000 |  2013  |  26 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Десногорск | 22.01.15
1007242495-40d0 | http://is5.auto.ru/all/images/eb/d1/60x45/ebd1c7a8.jpg |  Volkswagen Jetta V1.6 MT (115 л.с.)  | #CACECB | 465 000 |  2008  |  125 500 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007242349-35bd72 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Passat B62.0 MT (150 л.с.)  | #34ba2b | 560 000 |  2007  |  124 000 км  |  2.0 MT (150 л.с.)универсал, бензин, передний  | Серпухов | 22.01.15
1005588599-0c86b4 | http://is6.auto.ru/all/images/03/2c/60x45/032c4274.jpg |  Volkswagen Touareg II3.6 AT (249 л.с.) 4WD  | #000000 | 2 350 000 |  2013  |  39 000 км  |  3.6 AT (249 л.с.) 4WDвнедорожник, бензин, полный  | Волгоград | 22.01.15
1006931973-e9745c | http://is12.auto.ru/all/images/5c/f4/60x45/5cf4330e.jpg |  Volkswagen Passat B62.0 MT (150 л.с.)  | #000000 | 430 000 |  2006  |  209 632 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005449591-08f2 | http://is6.auto.ru/all/images/bf/20/60x45/bf2062b2.jpg |  Volkswagen Pointer1.0 MT (67 л.с.)  | #9c9999 | 178 000 |  2005  |  176 000 км  |  1.0 MT (67 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1002430249-7573c | http://is10.auto.ru/all/images/0d/e0/60x45/0de0de76.jpg |  Volkswagen Passat B51.8 MT (150 л.с.)  | #0088ff | 350 000 |  1999  |  230 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240939-e9b56 | http://is7.auto.ru/all/images/48/c2/60x45/48c23145.jpg |  Volkswagen Jetta V1.6 MT (102 л.с.)  | #0000FF | 470 000 |  2008  |  122 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Брянск | 22.01.15
1006112915-7f3bd | http://is3.auto.ru/all/images/7e/3f/60x45/7e3f2760.jpg |  Volkswagen Passat B71.8 AT (152 л.с.)  | #000000 | 1 350 000 |  2014  |  13 700 км  |  1.8 AT (152 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006802019-7623 | http://is10.auto.ru/all/images/0e/55/60x45/0e559f53.jpg |  Volkswagen Golf V1.6 MT (102 л.с.)  | #CACECB | 360 000 |  2007  |  117 000 км  |  1.6 MT (102 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1006935677-468ce | http://is15.auto.ru/all/images/3d/08/60x45/3d081687.jpg |  Volkswagen Passat B62.0d AT (140 л.с.)  | #000000 | 668 000 |  2009  |  108 000 км  |  2.0d AT (140 л.с.)универсал, дизель, передний  | Видное | 22.01.15
1006565387-28867e | http://is5.auto.ru/all/images/23/32/60x45/2332fc3f.jpg |  Volkswagen Passat B51.8 AT (150 л.с.)  | #0000FF | 250 000 |  2000  |  233 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241883-ac4425 | http://is16.auto.ru/all/images/71/a8/60x45/71a86056.jpg |  Volkswagen Passat B62.0 AT (150 л.с.)  | #FFFFFF | 520 000 |  2006  |  170 000 км  |  2.0 AT (150 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241917-584f | http://is15.auto.ru/all/images/60/24/60x45/60242316.jpg |  Volkswagen Passat B42.0 MT (115 л.с.)  | #0000FF | 110 000 |  1994  |  168 000 км  |  2.0 MT (115 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241895-d549 | http://is11.auto.ru/all/images/71/8d/60x45/718d9d76.jpg |  Volkswagen Amarok2.0d MT (163 л.с.) 4WD  | #926547 | 1 100 000 |  2011  |  82 000 км  |  2.0d MT (163 л.с.) 4WDпикап, дизель, полный  | Санкт-Петербург | 22.01.15
1007241823-8713a | http://is6.auto.ru/all/images/d1/38/60x45/d13887c8.jpg |  Volkswagen Phaeton I3.2 AT (241 л.с.) 4WD 5-Seater  | #000000 | 870 000 |  2006  |  106 500 км  |  3.2 AT (241 л.с.) 4WD 5-Seaterседан, бензин, полный  | Оренбург | 22.01.15
1004904673-b1c64 | http://is18.auto.ru/all/images/76/11/60x45/76114004.jpg |  Volkswagen Touareg I3.6 AT (280 л.с.) 4WD  | #000000 | 962 500 |  2006  |  142 182 км  |  3.6 AT (280 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1005825165-c8ac | http://is13.auto.ru/all/images/44/12/60x45/4412681f.jpg |  Volkswagen Touareg I Рестайлинг4.2 AT (350 л.с.) 4WD  | #000000 | 1 189 500 |  2008  |  160 695 км  |  4.2 AT (350 л.с.) 4WDвнедорожник, бензин, полный  | Москва | 22.01.15
1007183051-4e20 | http://is17.auto.ru/all/images/d2/d2/60x45/d2d294a4.jpg |  Volkswagen Golf IV1.4 MT (75 л.с.)  | #CACECB | 190 000 |  2000  |  200 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
49022952-cec5 | http://is8.auto.ru/all/images/03/ea/60x45/03ea9c14.jpg |  Volkswagen Passat B5 Рестайлинг1.8 AT (150 л.с.)  | #CACECB | 330 000 |  2002  |  145 000 км  |  1.8 AT (150 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007104089-4853a | http://is18.auto.ru/all/images/13/b7/60x45/13b7c5e3.jpg |  Volkswagen Passat B62.0 MT (150 л.с.)  | #0000FF | 380 000 |  2006  |  191 000 км  |  2.0 MT (150 л.с.)седан, бензин, передний  | Подольск | 22.01.15
1007119315-538d | http://is10.auto.ru/all/images/3c/76/60x45/3c763a04.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 560 000 |  2013  |  22 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 22.01.15
