1007233097-89f664 | http://is18.auto.ru/all/images/84/3c/60x45/843c2520.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #9c9999 | 355 000 |  2014  |  6 385 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Пенза | 23.01.15
1007285093-78362 | http://is2.auto.ru/all/images/51/79/60x45/517939a3.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FF9966 | 455 000 |  2013  |  1 571 км  |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007285103-2073 | http://is9.auto.ru/all/images/0e/31/60x45/0e31e16d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 205 000 |  2010  |  41 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284857-d6489 | http://is2.auto.ru/all/images/e8/44/60x45/e844b3a4.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #FFFFFF | 290 000 |  2013  |  25 300 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284105-7312eb | http://is11.auto.ru/all/images/b9/de/60x45/b9dedd75.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #34ba2b | 195 000 |  2008  |  49 973 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283817-f2a67 | http://is11.auto.ru/all/images/52/85/60x45/52855a53.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 195 000 |  2010  |  64 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007283239-e4b99 | http://is6.auto.ru/all/images/e2/05/60x45/e205cde5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 255 000 |  2012  |  28 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007283211-fe2e3 | http://is1.auto.ru/all/images/51/c9/60x45/51c94adc.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 210 000 |  2010  |  47 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282955-45b2a | http://is12.auto.ru/all/images/53/d8/60x45/53d8b8c5.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 290 000 |  2012  |  17 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007282597-c26880 | http://is6.auto.ru/all/images/ec/c8/60x45/ecc88995.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 225 000 |  2010  |  86 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007282583-52f6aa | http://is8.auto.ru/all/images/c9/21/60x45/c921d8da.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 215 000 |  2009  |  42 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007282479-e49f | http://is2.auto.ru/all/images/83/85/60x45/83859696.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0088ff | 195 000 |  2009  |  81 462 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281963-5ea40f | http://is15.auto.ru/all/images/9e/e3/60x45/9ee33ddc.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 200 000 |  2010  |  25 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281965-8291a3 | http://is6.auto.ru/all/images/ac/cd/60x45/accd061c.jpg |  ВАЗ Kalina II1.6 MT (98 л.с.)  | #CACECB | 345 000 |  2014  |  18 055 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281861-92e7f0 | http://is17.auto.ru/all/images/e3/c1/60x45/e3c191e1.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 240 000 |  2009  |  70 120 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281103-9117 | http://is8.auto.ru/all/images/53/76/60x45/537672c1.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #9c9999 | 255 000 |  2014  |  41 200 км  |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1006873101-4cb1 | http://is16.auto.ru/all/images/59/35/60x45/593571de.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #000000 | 299 000 |  2012  |  40 600 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007280073-483a9c | http://is13.auto.ru/all/images/9e/40/60x45/9e40ac12.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #FF0000 | 150 000 |  2006  |  90 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Надым | 23.01.15
1007279203-2b55f0 | http://is13.auto.ru/all/images/71/df/60x45/71df1661.jpg |  ВАЗ Kalina I1.6 MT (90 л.с.)  | #000000 | 235 000 |  2010  |  38 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279205-e300c9 | http://is2.auto.ru/all/images/35/3a/60x45/353a38e9.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 235 000 |  2012  |  24 500 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007279207-f7fa72 | http://is13.auto.ru/all/images/14/04/60x45/140454b0.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 210 000 |  2007  |  89 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278651-9824 | http://is13.auto.ru/all/images/f3/db/60x45/f3db95a3.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #000000 | 210 000 |  2011  |  54 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278591-4b30 | http://is3.auto.ru/all/images/35/fb/60x45/35fb0f54.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #0000FF | 214 000 |  2010  |  54 700 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278617-cc96 | http://is13.auto.ru/all/images/17/ea/60x45/17ea7c8e.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #CACECB | 214 000 |  2010  |  71 937 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278663-aa8e | http://is18.auto.ru/all/images/62/fd/60x45/62fd088d.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 147 000 |  2007  |  89 500 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278545-479bf | http://is10.auto.ru/all/images/8a/6d/60x45/8a6d638c.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #34ba2b | 179 000 |  2008  |  72 555 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278723-d48f1 | http://is5.auto.ru/all/images/5a/f2/60x45/5af20c6c.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 199 000 |  2008  |  79 100 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278889-766f1 | http://is13.auto.ru/all/images/01/ae/60x45/01aeca8b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9966CC | 204 000 |  2008  |  49 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278899-6ab2 | http://is8.auto.ru/all/images/8e/e7/60x45/8ee7ddd8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 214 000 |  2009  |  76 543 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278923-f782a | http://is5.auto.ru/all/images/94/03/60x45/9403d888.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 229 000 |  2009  |  49 500 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278517-d5cd5d | http://is8.auto.ru/all/images/5d/cc/60x45/5dcc56e8.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #0000FF | 144 000 |  2007  |  53 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278569-8909 | http://is2.auto.ru/all/images/4c/3b/60x45/4c3b3959.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 179 000 |  2008  |  86 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278437-a312 | http://is6.auto.ru/all/images/9d/69/60x45/9d691256.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 260 000 |  2012  |  37 505 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007278439-3ad8f9 | http://is14.auto.ru/all/images/69/39/60x45/69394dca.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 195 000 |  2008  |  62 531 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007278241-5bb3b7 | http://is11.auto.ru/all/images/2d/0f/60x45/2d0f22a7.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 265 000 |  2009  |  64 709 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278189-5474f4 | http://is18.auto.ru/all/images/11/72/60x45/11722c14.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #9966CC | 295 000 |  2009  |  63 866 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 23.01.15
1001029324-d49f5 | http://is18.auto.ru/all/images/50/71/60x45/5071435a.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #0000FF | 256 688 |  2013  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1001053340-cca4b | http://is9.auto.ru/all/images/ba/bd/60x45/babdabd4.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #000000 | 320 900 |  2013  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1001029303-bfc113 | http://is12.auto.ru/all/images/aa/77/60x45/aa778bba.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #FF9966 | 321 000 |  2013  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1001053341-83f72c | http://is17.auto.ru/all/images/13/60/60x45/136049d3.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #000000 | 325 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005286301-7af6 | http://is14.auto.ru/all/images/00/28/60x45/00286754.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #34ba2b | 210 000 |  2010  |  52 800 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1005286319-08529 | http://is7.auto.ru/all/images/fe/f8/60x45/fef8d132.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 210 000 |  2010  |  48 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Иваново | 23.01.15
1007277663-d91fa | http://is6.auto.ru/all/images/a0/6f/60x45/a06fa927.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 240 000 |  2010  |  123 000 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Иваново | 23.01.15
1005286343-a4ae | http://is17.auto.ru/all/images/88/14/60x45/88147e5a.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 258 000 |  2011  |  87 915 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Иваново | 23.01.15
1007277835-12df5 | http://is15.auto.ru/all/images/8e/68/60x45/8e68aa45.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 270 000 |  2013  |  12 250 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005286325-6dc3 | http://is6.auto.ru/all/images/b2/ce/60x45/b2ce68d8.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #ffefd5 | 175 000 |  2008  |  91 000 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Иваново | 23.01.15
1007277681-3860b | http://is18.auto.ru/all/images/23/4a/60x45/234a6a9e.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #9c9999 | 194 000 |  2008  |  67 999 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005635381-11ed | http://is9.auto.ru/all/images/80/cb/60x45/80cb9d89.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF9966 | 297 500 |  2014  | Новый |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007276165-b29b22 | http://is12.auto.ru/all/images/ec/dd/60x45/ecddd846.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #000000 | 406 000 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
1007277539-90bb56 | http://is10.auto.ru/all/images/63/8d/60x45/638dd943.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #FFFFFF | 406 000 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
1007276687-01b610 | http://is9.auto.ru/all/images/5f/d7/60x45/5fd7dd6d.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FFFFFF | 411 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007277543-f3058 | http://is6.auto.ru/all/images/39/f8/60x45/39f87fc7.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #CACECB | 411 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007276109-a3fe13 | http://is10.auto.ru/all/images/a2/7c/60x45/a27cd9c1.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #34ba2b | 412 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007277545-7704 | http://is15.auto.ru/all/images/cb/fb/60x45/cbfb989a.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #CACECB | 412 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007276169-ab0d | http://is12.auto.ru/all/images/4c/e4/60x45/4ce41e68.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #CACECB | 416 400 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
1007277541-5ff0 | http://is12.auto.ru/all/images/f8/3b/60x45/f83bf320.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #CACECB | 416 400 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
1006625737-badfac | http://is8.auto.ru/all/images/fa/55/60x45/fa55f4e4.jpg |  ВАЗ Kalina I Sport1.4 MT (89 л.с.)  | #CACECB | 205 000 |  2011  |  104 980 км  |  1.4 MT (89 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006437687-c1b5 | http://is6.auto.ru/all/images/16/ca/60x45/16cac6a1.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #CACECB | 250 000 |  2011  |  43 274 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Тверь | 23.01.15
1007275543-4769 | http://is15.auto.ru/all/images/58/ee/60x45/58eee71b.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FF0000 | 295 000 |  2013  |  54 613 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Тверь | 23.01.15
1005698429-3dfa4e | http://is14.auto.ru/all/images/42/80/60x45/4280888d.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FF9966 | 331 300 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005698427-e3cda | http://is8.auto.ru/all/images/c7/cd/60x45/c7cd2cbf.jpg |  ВАЗ Kalina II1.6 MT (87 л.с.)  | #FFFFFF | 338 500 |  2014  | Новый |  1.6 MT (87 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1005698431-c9b31 | http://is6.auto.ru/all/images/a8/66/60x45/a866c4ee.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #0088ff | 396 400 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1005698425-096e | http://is2.auto.ru/all/images/e7/57/60x45/e7576e0c.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #FF9966 | 431 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007269347-c53e3 | http://is10.auto.ru/all/images/14/44/60x45/1444e0a0.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FFFFFF | 200 000 |  2010  |  95 500 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Белгород | 23.01.15
1007270581-47c4 | http://is1.auto.ru/all/images/1d/6d/60x45/1d6dcfa4.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #FFCC00 | 235 000 |  2011  |  81 000 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007269343-6a3f | http://is11.auto.ru/all/images/83/ef/60x45/83ef02e6.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 240 000 |  2010  |  49 700 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Белгород | 23.01.15
1007271871-c85a | http://is9.auto.ru/all/images/f7/31/60x45/f7316e97.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 242 400 |  2011  |  53 245 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1007271867-d711d5 | http://is6.auto.ru/all/images/e2/4a/60x45/e24a4f02.jpg |  ВАЗ Kalina I1.6 MT (98 л.с.)  | #000000 | 246 800 |  2010  |  58 601 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1005719553-a272 | http://is1.auto.ru/all/images/2c/a7/60x45/2ca776e3.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9c9999 | 255 000 |  2010  |  58 790 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007271839-fd438c | http://is16.auto.ru/all/images/21/5d/60x45/215d964e.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #0000FF | 276 000 |  2012  |  46 000 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1005720419-e726 | http://is6.auto.ru/all/images/aa/94/60x45/aa9415ed.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #CACECB | 299 900 |  2012  |  70 190 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007271811-0409 | http://is14.auto.ru/all/images/4c/66/60x45/4c6641be.jpg |  ВАЗ Kalina I1.6 MT (81 л.с.)  | #ffefd5 | 337 500 |  2013  |  34 752 км  |  1.6 MT (81 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1007271089-f85fde | http://is14.auto.ru/all/images/9c/0b/60x45/9c0bc4b5.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 190 000 |  2009  |  75 000 км  |  1.4 MT (89 л.с.)седан, бензин, передний  | Подольск | 23.01.15
1007272159-82fad | http://is18.auto.ru/all/images/d9/44/60x45/d9440a6c.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #9966CC | 209 700 |  2008  |  33 415 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Казань | 23.01.15
1005999029-d27248 | http://is8.auto.ru/all/images/4d/51/60x45/4d512322.jpg |  ВАЗ Kalina I1.4 MT (89 л.с.)  | #FF0000 | 285 714 |  2009  |  124 963 км  |  1.4 MT (89 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007272623-e62d | /i/all7/img/no-photo-thumb.gif |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #9c9999 | 416 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007268481-08681 | http://is14.auto.ru/all/images/ea/93/60x45/ea93ca1d.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #FFFFFF | 406 000 |  2014  | Новый |  1.6 MT (106 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
1007268497-9852c | http://is9.auto.ru/all/images/ee/77/60x45/ee77b873.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #000000 | 411 000 |  2014  | Новый |  1.6 AT (98 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007268507-0b5c2 | http://is18.auto.ru/all/images/ff/ff/60x45/ffff5f3e.jpg |  ВАЗ Kalina II1.6 MT (106 л.с.)  | #FF9966 | 412 000 |  2014  | Новый |  1.6 MT (106 л.с.)хэтчбек, бензин, передний  | Екатеринбург | 23.01.15
1007268489-cf7b | http://is2.auto.ru/all/images/4f/a7/60x45/4fa7b445.jpg |  ВАЗ Kalina II1.6 AT (98 л.с.)  | #000000 | 416 400 |  2014  | Новый |  1.6 AT (98 л.с.)универсал, бензин, передний  | Екатеринбург | 23.01.15
