1007247967-f49f6 | http://is3.auto.ru/all/images/e4/61/60x45/e4614323.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 450 000 |  2014  |  15 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Балашиха | 22.01.15
1007216975-935182 | http://is9.auto.ru/all/images/c0/f9/60x45/c0f9281d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 285 000 |  2012  |  59 120 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007241627-5621 | http://is4.auto.ru/all/images/15/18/60x45/15185ac6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 265 000 |  2011  |  50 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Вышний Волочек | 22.01.15
1007241543-4544b | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (81 л.с.)  | #9c9999 | 323 000 |  2014  | Новый |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007241547-3b40 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #CACECB | 323 000 |  2014  | Новый |  1.6 MT (87 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007241545-661d | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #9c9999 | 334 300 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007240769-5d0e90 | http://is18.auto.ru/all/images/7e/f7/60x45/7ef751c8.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 260 000 |  2012  |  86 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ярославль | 22.01.15
1007240741-9608 | http://is1.auto.ru/all/images/b2/02/60x45/b202e9e1.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #0000FF | 188 000 |  2008  |  96 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216617-0869 | http://is15.auto.ru/all/images/68/71/60x45/68716cc0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 185 000 |  2008  |  82 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007240479-1929 | http://is18.auto.ru/all/images/04/b2/60x45/04b2d561.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 260 000 |  2012  |  45 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007073763-bade7e | http://is2.auto.ru/all/images/a0/4b/60x45/a04b7f63.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 335 400 |  2014  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007073755-0e6bd | http://is17.auto.ru/all/images/9b/2f/60x45/9b2f2cea.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 340 400 |  2014  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007073759-bdea | http://is14.auto.ru/all/images/83/ea/60x45/83ea62fd.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #CACECB | 351 600 |  2014  | Новый |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007239093-6be0 | http://is8.auto.ru/all/images/dd/22/60x45/dd225384.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 220 000 |  2011  |  90 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Вологда | 22.01.15
1007083843-df96 | http://is3.auto.ru/all/images/75/1c/60x45/751c836b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 245 000 |  2010  |  82 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007236937-a831 | http://is11.auto.ru/all/images/6b/2d/60x45/6b2d842c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 250 000 |  2011  |  98 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007158199-cd39 | http://is2.auto.ru/all/images/7e/0e/60x45/7e0e83ec.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #34ba2b | 255 000 |  2010  |  71 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007208463-b005 | http://is13.auto.ru/all/images/2d/da/60x45/2dda3914.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 250 000 |  2010  |  53 500 км  |  1.6 MT (81 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007219501-28aa | http://is18.auto.ru/all/images/c1/55/60x45/c155d9e0.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 290 000 |  2011  |  34 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007173995-a339c | http://is6.auto.ru/all/images/86/0c/60x45/860c4a5b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 265 000 |  2011  |  93 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 22.01.15
1007178821-1075 | http://is17.auto.ru/all/images/ec/1e/60x45/ec1ea405.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 225 000 |  2008  |  84 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007237911-070347 | http://is13.auto.ru/all/images/00/1b/60x45/001bb4a8.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 385 000 |  2014  |  22 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Ставрополь | 22.01.15
1005702313-948776 | http://is8.auto.ru/all/images/ab/83/60x45/ab83959f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 302 411 |  2010  |  67 265 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1005702307-7f0ea | http://is13.auto.ru/all/images/3c/13/60x45/3c13ed75.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 327 516 |  2011  |  43 027 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007051533-35ea | http://is3.auto.ru/all/images/e3/03/60x45/e303e19a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 180 000 |  2008  |  75 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1006570125-7e33b | http://is17.auto.ru/all/images/74/2e/60x45/742ee402.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 255 000 |  2010  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Кинешма | 22.01.15
1007237123-df05 | http://is9.auto.ru/all/images/87/6d/60x45/876d6a6f.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 300 000 |  2011  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007237335-0cb4 | http://is11.auto.ru/all/images/5d/89/60x45/5d896307.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 258 000 |  2010  |  60 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007237223-ea288 | http://is14.auto.ru/all/images/e0/c1/60x45/e0c199e1.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #ffefd5 | 250 000 |  2008  |  75 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Каменск-Шахтинский | 22.01.15
1007236407-97c1 | http://is17.auto.ru/all/images/5b/b2/60x45/5bb275a2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 360 000 |  2012  |  75 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Бологое | 22.01.15
1005859663-daf4 | http://is2.auto.ru/all/images/e5/a6/60x45/e5a6932d.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 239 000 |  2011  |  56 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Калуга | 22.01.15
1005524037-fa943e | http://is11.auto.ru/all/images/09/94/60x45/0994f644.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 325 000 |  2013  |  37 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Тамбов | 22.01.15
1007236911-792b | http://is11.auto.ru/all/images/41/ec/60x45/41ec2d59.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #FFFFFF | 315 000 |  2012  |  23 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Тамбов | 22.01.15
1007236897-a64d | http://is7.auto.ru/all/images/f3/ac/60x45/f3accf61.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 349 000 |  2014  |  25 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Брянск | 22.01.15
49915268-664132 | http://is17.auto.ru/all/images/c1/4a/60x45/c14a3cb4.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 270 000 |  2010  |  63 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Рязань | 22.01.15
1006742905-2636d | http://is8.auto.ru/all/images/5a/8a/60x45/5a8aaec1.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #FFFFFF | 215 000 |  2011  |  88 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007236619-173b | http://is9.auto.ru/all/images/cc/60/60x45/cc60c0c6.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 250 000 |  2009  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1007165383-70e758 | http://is15.auto.ru/all/images/3b/19/60x45/3b19da7e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 217 000 Правый руль |  2007  |  61 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Серпухов | 22.01.15
1007051975-59ba | http://is15.auto.ru/all/images/40/82/60x45/4082773e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 310 000 |  2011  |  53 300 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Шумячи | 22.01.15
1007236201-d49ad2 | http://is5.auto.ru/all/images/3c/f7/60x45/3cf76cec.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 225 000 |  2010  |  86 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Строитель | 22.01.15
1006986511-f609 | http://is11.auto.ru/all/images/54/aa/60x45/54aa1416.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 255 000 |  2010  |  73 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1006681361-668e70 | http://is16.auto.ru/all/images/69/d3/60x45/69d3f4b2.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 237 000 |  2010  |  79 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007209127-affa | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 388 000 |  2013  | Новый |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1004734609-fd28 | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #000000 | 391 000 |  2013  | Новый |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007236041-5a1176 | http://is7.auto.ru/all/images/2c/db/60x45/2cdbafc2.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #000000 | 230 000 |  2011  |  70 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234829-8a1673 | http://is3.auto.ru/all/images/a6/c4/60x45/a6c45154.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #FF0000 | 205 000 |  2008  |  100 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Симферополь | 22.01.15
1007101387-f3575 | http://is16.auto.ru/all/images/d3/7e/60x45/d37e9966.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #CACECB | 175 000 |  2008  |  105 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234435-7c053 | http://is2.auto.ru/all/images/89/5a/60x45/895aed54.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 190 000 |  2007  |  165 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Тверь | 22.01.15
1007119539-1f98 | http://is9.auto.ru/all/images/2b/7a/60x45/2b7a90dd.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 360 000 |  2012  |  50 023 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234899-875d8 | http://is16.auto.ru/all/images/12/2c/60x45/122c3df3.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 222 300 |  2010  |  72 800 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007234765-3ad0c6 | http://is14.auto.ru/all/images/c6/49/60x45/c649daee.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 184 900 |  2009  |  87 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1004774311-6e089 | http://is3.auto.ru/all/images/95/42/60x45/95424598.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 187 000 |  2007  |  160 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Старый Оскол | 22.01.15
1007234419-cb8e | http://is5.auto.ru/all/images/6e/41/60x45/6e411abe.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 232 000 |  2009  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007234427-549414 | http://is5.auto.ru/all/images/6e/41/60x45/6e411abe.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 232 000 |  2009  |  50 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006411267-5df1b8 | http://is15.auto.ru/all/images/70/b8/60x45/70b883b7.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (87 л.с.)  | #FFFFFF | 435 000 |  2014  |  1 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Ижевск | 22.01.15
1007216751-3c02 | http://is4.auto.ru/all/images/20/e6/60x45/20e61b05.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 255 000 |  2012  |  49 573 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007216673-b5a8c | http://is7.auto.ru/all/images/43/92/60x45/4392a98e.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 265 000 |  2011  |  50 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007099259-8d2d | http://is1.auto.ru/all/images/78/74/60x45/7874877b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 300 000 |  2012  |  30 800 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1006977219-647a | /i/all7/img/no-photo-thumb.gif |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 360 000 |  2012  |  20 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Зеленоград | 22.01.15
1007233703-83ec3d | http://is7.auto.ru/all/images/84/0a/60x45/840a8d6a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FF0000 | 174 000 |  2008  |  104 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1006807055-3c92ce | http://is18.auto.ru/all/images/a6/b8/60x45/a6b89859.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 215 000 |  2007  |  135 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Рославль | 22.01.15
1004825045-ab640f | http://is3.auto.ru/all/images/37/0f/60x45/370ffa27.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 213 000 |  2009  |  70 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Кинешма | 22.01.15
1003277004-ff160 | http://is14.auto.ru/all/images/c2/aa/60x45/c2aa457c.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 270 000 |  2010  |  80 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Ставрополь | 22.01.15
1007043299-cdb2 | http://is10.auto.ru/all/images/6b/e2/60x45/6be298c4.jpg |  ВАЗ Priora I Рестайлинг1.6 MT (98 л.с.)  | #FFFFFF | 365 000 |  2014  |  8 200 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Саратов | 22.01.15
1007173549-e4e73 | http://is18.auto.ru/all/images/5d/b9/60x45/5db9333b.jpg |  ВАЗ Priora I Premier1.6 MT (98 л.с.)  | #000000 | 260 000 |  2011  |  82 000 км  |  1.6 MT (98 л.с.)седан, бензин, передний  | Муром | 22.01.15
1007189907-e79336 | http://is11.auto.ru/all/images/2b/d8/60x45/2bd8bcd7.jpg |  ВАЗ Priora I1.6 MT (87 л.с.)  | #926547 | 289 000 |  2011  |  56 000 км  |  1.6 MT (87 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004970707-814c5 | http://is8.auto.ru/all/images/b1/51/60x45/b151db39.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 268 820 |  2010  |  82 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007231635-2313a | http://is4.auto.ru/all/images/1c/0f/60x45/1c0fa60b.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #0000FF | 355 000 |  2012  |  68 500 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Москва | 22.01.15
1007231533-9549 | http://is14.auto.ru/all/images/6a/33/60x45/6a33a284.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #000000 | 200 000 |  2008  |  105 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Дзержинск | 22.01.15
35815996-5c03 | http://is8.auto.ru/all/images/53/2b/60x45/532b6848.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #FFFFFF | 255 000 |  2011  |  48 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Ярославль | 22.01.15
1007230017-1068 | http://is8.auto.ru/all/images/4a/4d/60x45/4a4d0f20.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 229 888 |  2009  |  90 000 км  |  1.6 MT (98 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1007229369-e5a16 | http://is11.auto.ru/all/images/c9/b5/60x45/c9b5554a.jpg |  ВАЗ Priora I1.6 MT (98 л.с.)  | #9c9999 | 195 000 |  2009  |  90 000 км  |  1.6 MT (98 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 22.01.15
1007228907-eccb63 | http://is15.auto.ru/all/images/b2/ef/60x45/b2ef7bda.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 229 888 |  2009  |  120 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1007228545-2dce2 | http://is12.auto.ru/all/images/da/d6/60x45/dad6a148.jpg |  ВАЗ Priora I1.6 MT (81 л.с.)  | #CACECB | 255 000 |  2011  |  55 000 км  |  1.6 MT (81 л.с.)седан, бензин, передний  | Москва | 22.01.15
