1007301269-1b76c | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 450 000 |  2011  |  69 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Пушкино | 23.01.15
1006712855-5790 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 499 000 |  2012  |  29 300 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280135-7cf0 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 599 000 |  2011  |  5 941 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007294025-5790 | http://is18.auto.ru/all/images/5f/83/60x45/5f83cc7d.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 515 000 |  2013  |  39 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006707295-36a577 | http://is8.auto.ru/all/images/e7/70/60x45/e770e4fd.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 499 000 |  2010  |  67 273 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1007296177-0394ec | http://is5.auto.ru/all/images/5f/ac/60x45/5fac4ec8.jpg |  Volkswagen Polo IV1.4 AT (75 л.с.)  | #0000FF | 269 000 |  2004  |  119 000 км  |  1.4 AT (75 л.с.)хэтчбек, бензин, передний  | Иваново | 23.01.15
1007282399-3992 | http://is17.auto.ru/all/images/b8/74/60x45/b8744c4f.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 495 000 |  2011  |  51 125 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283287-ff842c | http://is6.auto.ru/all/images/c6/9d/60x45/c69de78b.jpg |  Volkswagen Polo IV Рестайлинг1.6 AT (105 л.с.)  | #0000FF | 335 000 |  2007  |  78 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280371-fe76aa | http://is17.auto.ru/all/images/ab/4c/60x45/ab4c6cce.jpg |  Volkswagen Polo IV Рестайлинг1.4 AT (80 л.с.)  | #CACECB | 338 000 |  2008  |  64 024 км  |  1.4 AT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296831-aaba3 | http://is3.auto.ru/all/images/c1/df/60x45/c1dfc494.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 430 000 |  2010  |  58 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007036167-8b95b | http://is8.auto.ru/all/images/c2/33/60x45/c233f0c1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 518 000 |  2014  |  1 200 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007296287-b70f0 | http://is10.auto.ru/all/images/07/7d/60x45/077dae42.jpg |  Volkswagen Polo V1.4 MT (85 л.с.)  | #FFFFFF | 395 000 |  2010  |  52 756 км  |  1.4 MT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007296235-8c23 | http://is12.auto.ru/all/images/dd/94/60x45/dd9414d5.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 565 000 |  2014  |  3 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007295529-d13ee | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 460 000 |  2012  |  19 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Владимир | 23.01.15
1007296233-fe2ad | http://is11.auto.ru/all/images/2a/90/60x45/2a908a79.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 429 777 |  2012  |  62 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007296231-1baf | http://is3.auto.ru/all/images/a6/aa/60x45/a6aa9cad.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 439 777 |  2013  |  45 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1006521963-f76537 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 640 000 |  2014  |  19 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007295247-3df138 | http://is1.auto.ru/all/images/d1/82/60x45/d182bc39.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #ffefd5 | 499 000 |  2013  |  51 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Курск | 23.01.15
1006632199-2685 | http://is15.auto.ru/all/images/10/8b/60x45/108b2fdf.jpg |  Volkswagen Polo IV Рестайлинг1.2 MT (70 л.с.)  | #CACECB | 239 000 |  2007  |  132 000 км  |  1.2 MT (70 л.с.)хэтчбек, бензин, передний  | Нижний Новгород | 23.01.15
1007295699-c0e39 | http://is18.auto.ru/all/images/f8/96/60x45/f89612ff.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 635 000 |  2013  |  22 222 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Муром | 23.01.15
1006807179-c8ff | http://is15.auto.ru/all/images/60/7c/60x45/607cf97e.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 585 000 |  2013  |  42 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1005572395-cfdb | http://is4.auto.ru/all/images/ae/e2/60x45/aee21dd2.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 560 000 |  2013  |  3 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006683483-4b9708 | http://is18.auto.ru/all/images/3c/bf/60x45/3cbffa8f.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 560 000 |  2014  |  800 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005516461-642f | http://is17.auto.ru/all/images/d5/fe/60x45/d5fe062d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 619 000 |  2012  |  60 100 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007294871-7c58 | http://is13.auto.ru/all/images/b2/70/60x45/b27072ff.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 480 000 |  2012  |  36 257 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004259937-fa7168 | http://is6.auto.ru/all/images/96/91/60x45/96913b67.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #9c9999 | 528 000 |  2013  |  7 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007252089-7d734 | http://is14.auto.ru/all/images/88/1d/60x45/881da902.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #FF0000 | 365 000 |  2008  |  67 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007109373-8fd955 | http://is11.auto.ru/all/images/7a/01/60x45/7a01b87a.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 540 000 |  2012  |  83 125 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005582909-9f7289 | http://is6.auto.ru/all/images/2f/b7/60x45/2fb7038c.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 560 000 |  2012  |  30 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Тверь | 23.01.15
1007172081-f1657 | http://is3.auto.ru/all/images/17/44/60x45/1744e253.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 600 000 |  2012  |  24 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007164201-04dac | http://is12.auto.ru/all/images/3f/3e/60x45/3f3e58ec.jpg |  Volkswagen Polo V1.4 AT (85 л.с.)  | #000000 | 700 000 |  2011  |  9 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280507-2fa797 | http://is16.auto.ru/all/images/71/d9/60x45/71d983d9.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #0000FF | 485 000 |  2013  |  49 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280601-2849 | http://is6.auto.ru/all/images/5d/35/60x45/5d35f8c8.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFFFFF | 550 000 |  2014  |  9 800 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007254805-86838 | http://is18.auto.ru/all/images/c4/c1/60x45/c4c16d23.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 435 000 |  2011  |  55 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007233179-6116d | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FFCC00 | 555 000 |  2011  |  47 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005748539-57f63 | http://is17.auto.ru/all/images/62/28/60x45/62280ced.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 500 000 |  2012  |  62 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Смоленск | 23.01.15
1005748863-01cea8 | http://is11.auto.ru/all/images/9b/cc/60x45/9bcc32f0.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 500 000 |  2012  |  63 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Брянск | 23.01.15
1005948597-bfe9 | http://is15.auto.ru/all/images/69/f4/60x45/69f4b561.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #CACECB | 514 250 |  2011  |  87 876 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006839439-e9bd2 | http://is5.auto.ru/all/images/25/fd/60x45/25fdc3c1.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 515 900 |  2011  |  57 747 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006493583-2e10 | http://is10.auto.ru/all/images/ea/2f/60x45/ea2f8c71.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 617 925 |  2011  |  20 267 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005138243-b377db | http://is9.auto.ru/all/images/73/60/60x45/736096ac.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #CACECB | 215 000 |  2003  |  112 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005674671-436ad | http://is15.auto.ru/all/images/fb/ac/60x45/fbac1dd9.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 320 247 |  2008  |  99 756 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005674673-50b374 | http://is3.auto.ru/all/images/08/6d/60x45/086d7cf5.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 342 430 |  2008  |  92 098 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005613601-46663b | http://is15.auto.ru/all/images/8d/62/60x45/8d62a62b.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 344 850 |  2008  |  129 169 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005613605-03dc5 | http://is12.auto.ru/all/images/09/1e/60x45/091ef446.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 354 530 |  2008  |  84 311 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005613607-cd985 | http://is18.auto.ru/all/images/4b/81/60x45/4b8122ad.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 338 800 |  2007  |  58 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006776195-d80116 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 515 900 |  2011  |  45 897 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005948601-1353 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 329 120 |  2008  |  124 500 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007240319-5207 | http://is13.auto.ru/all/images/3d/96/60x45/3d96ea45.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 600 000 |  2014  |  25 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007293373-9fa3 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #000000 | 500 000 |  2012  |  60 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Ноябрьск | 23.01.15
1006985707-9ac5d | http://is3.auto.ru/all/images/fc/bb/60x45/fcbbf98b.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #FF0000 | 490 000 |  2011  |  41 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007250331-e96e | http://is9.auto.ru/all/images/9e/a2/60x45/9ea27613.jpg |  Volkswagen Polo V Cross1.4 AT (85 л.с.)  | #FF9966 | 650 000 |  2012  |  54 000 км  |  1.4 AT (85 л.с.)хэтчбек, бензин, передний  | Вышний Волочек | 23.01.15
1004368305-1c7f2 | http://is8.auto.ru/all/images/e2/c9/60x45/e2c99f05.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 455 000 |  2011  |  56 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Тверь | 23.01.15
1007293115-355010 | /i/all7/img/no-photo-thumb.gif |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 455 000 |  2012  |  42 987 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292537-96428 | http://is3.auto.ru/all/images/de/7c/60x45/de7c01c5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 525 000 |  2013  |  40 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292413-eec9a | http://is3.auto.ru/all/images/9b/71/60x45/9b7171dc.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 578 888 |  2014  |  21 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291049-0bed | http://is15.auto.ru/all/images/34/3d/60x45/343db5d7.jpg |  Volkswagen Polo IV1.4 MT (75 л.с.)  | #0000FF | 215 000 |  2003  |  113 000 км  |  1.4 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290485-88c48 | http://is7.auto.ru/all/images/56/d9/60x45/56d9fbe5.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 499 999 |  2013  |  23 946 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007289895-c9ea | http://is14.auto.ru/all/images/77/37/60x45/7737ef6d.jpg |  Volkswagen Polo V1.6 AT (105 л.с.)  | #000000 | 537 000 |  2012  |  72 000 км  |  1.6 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007287411-1cb8 | http://is6.auto.ru/all/images/5f/90/60x45/5f904d60.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 549 888 |  2012  |  95 500 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007286873-0c09 | http://is16.auto.ru/all/images/7b/92/60x45/7b927042.jpg |  Volkswagen Polo II1.0 MT (45 л.с.)  | #0000FF | 45 000 |  1989  |  130 000 км  |  1.0 MT (45 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286021-e2685 | http://is18.auto.ru/all/images/74/ea/60x45/74ea3006.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FFFFFF | 399 999 |  2014  |  11 364 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285895-7aced | http://is5.auto.ru/all/images/34/d4/60x45/34d43f4c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #FF0000 | 399 999 |  2011  |  47 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285009-63d556 | http://is17.auto.ru/all/images/c6/64/60x45/c664970c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #9c9999 | 477 777 |  2013  |  21 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007136629-4e6c52 | http://is12.auto.ru/all/images/f3/6f/60x45/f36f4f6c.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #CACECB | 498 900 |  2012  |  28 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285825-36a35f | http://is7.auto.ru/all/images/5d/67/60x45/5d6756e6.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #CACECB | 315 000 |  2008  |  136 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285449-77d14 | http://is8.auto.ru/all/images/35/24/60x45/3524a479.jpg |  Volkswagen Polo V1.6 MT (105 л.с.)  | #0000FF | 535 000 |  2013  |  15 000 км  |  1.6 MT (105 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007285445-aac136 | http://is11.auto.ru/all/images/63/44/60x45/6344f0e4.jpg |  Volkswagen Polo IV Рестайлинг1.4 MT (80 л.с.)  | #0000FF | 344 444 |  2007  |  59 000 км  |  1.4 MT (80 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
