1006805051-16db | http://is7.auto.ru/all/images/34/30/60x45/34300528.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #CACECB | 880 000 |  2009  |  118 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Ростов-на-Дону | 22.01.15
1007232955-4d57 | /i/all7/img/no-photo-thumb.gif |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #0000FF | 233 333 |  1998  |  159 281 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007219507-b63060 | http://is17.auto.ru/all/images/7a/d0/60x45/7ad0956f.jpg |  Audi A4 III (B7)2.0 CVT (200 л.с.)  | #9c9999 | 495 000 |  2006  |  129 200 км  |  2.0 CVT (200 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007238463-e399 | http://is18.auto.ru/all/images/00/7e/60x45/007e3e96.jpg |  Audi A4 I (B5) Рестайлинг1.6 AT (101 л.с.)  | #CACECB | 260 000 |  1999  |  200 000 км  |  1.6 AT (101 л.с.)седан, бензин, передний  | Нововоронеж | 22.01.15
1007222299-92c2 | http://is8.auto.ru/all/images/e9/83/60x45/e983b923.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 835 000 |  2008  |  117 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1002233901-0681 | http://is9.auto.ru/all/images/e9/36/60x45/e93620be.jpg |  Audi A4 II (B6)3.0 MT (220 л.с.)  | #9c9999 | 400 000 |  2002  |  203 000 км  |  3.0 MT (220 л.с.)седан, бензин, передний  | Москва | 22.01.15
39659874-225ac | http://is9.auto.ru/all/images/74/5c/60x45/745cbec3.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #0000FF | 852 225 |  2009  |  120 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Санкт-Петербург | 22.01.15
1007237877-d6b38 | http://is5.auto.ru/all/images/93/24/60x45/9324de2a.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #9c9999 | 340 000 |  2002  |  220 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1007044673-9336cc | http://is1.auto.ru/all/images/87/8e/60x45/878ec25f.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 390 000 |  2004  |  175 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Ногинск | 22.01.15
1007238195-b949 | http://is16.auto.ru/all/images/0e/22/60x45/0e22d632.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #9c9999 | 435 000 |  2002  |  272 000 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Воронеж | 22.01.15
1007238407-809535 | http://is12.auto.ru/all/images/49/b9/60x45/49b9187c.jpg |  Audi A4 IV (B8)1.8 MT (120 л.с.)  | #000000 | 870 000 |  2011  |  82 900 км  |  1.8 MT (120 л.с.)седан, бензин, передний  | Кулебаки | 22.01.15
1007238413-fd86 | http://is12.auto.ru/all/images/49/b9/60x45/49b9187c.jpg |  Audi A4 IV (B8)1.8 MT (120 л.с.)  | #000000 | 870 000 |  2011  |  82 900 км  |  1.8 MT (120 л.с.)седан, бензин, передний  | Кулебаки | 22.01.15
1007238423-d6166 | http://is12.auto.ru/all/images/49/b9/60x45/49b9187c.jpg |  Audi A4 IV (B8)1.8 MT (120 л.с.)  | #000000 | 870 000 |  2011  |  82 900 км  |  1.8 MT (120 л.с.)седан, бензин, передний  | Кулебаки | 22.01.15
1006860413-beb0 | http://is12.auto.ru/all/images/42/05/60x45/42050028.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 570 000 |  2006  |  89 200 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006674741-caa3 | http://is5.auto.ru/all/images/bb/9c/60x45/bb9ce5a2.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 999 999 |  2011  |  67 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Пушкино | 22.01.15
1007238043-d24b9 | http://is18.auto.ru/all/images/25/de/60x45/25de510d.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (180 л.с.)  | #CACECB | 365 000 |  2001  |  70 000 км  |  1.8 MT (180 л.с.)седан, бензин, передний  | Одинцово | 22.01.15
1007235109-d4521 | /i/all7/img/no-photo-thumb.gif |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #9c9999 | 340 000 |  2002  |  220 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Иваново | 22.01.15
1007237869-1871 | http://is3.auto.ru/all/images/ad/50/60x45/ad505a14.jpg |  Audi A4 II (B6)1.8 AT (170 л.с.) 4WD  | #000000 | 369 000 |  2003  |  120 000 км  |  1.8 AT (170 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007236791-c483 | /i/all7/img/no-photo-thumb.gif |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 670 000 |  2008  |  189 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005971387-0bf6bb | http://is18.auto.ru/all/images/11/6e/60x45/116e74e7.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 551 000 |  2005  |  149 500 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Брянск | 22.01.15
1007236641-1541 | http://is11.auto.ru/all/images/0b/54/60x45/0b542bf3.jpg |  Audi A4 II (B6)2.0 CVT (130 л.с.)  | #CACECB | 360 000 |  2001  |  223 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Саратов | 22.01.15
1005117413-574ed4 | http://is2.auto.ru/all/images/84/4c/60x45/844c0625.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #000000 | 215 000 |  1997  |  267 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Тула | 22.01.15
1005246823-edb0 | http://is12.auto.ru/all/images/57/27/60x45/572766eb.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 880 000 |  2009  |  97 000 км  |  1.8 CVT (160 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007236133-1f36 | http://is17.auto.ru/all/images/59/e1/60x45/59e12005.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 900 000 |  2010  |  100 300 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007236169-eff0 | http://is2.auto.ru/all/images/81/fc/60x45/81fc5b4d.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #000000 | 725 000 |  2007  |  105 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 22.01.15
1007236787-608e | http://is6.auto.ru/all/images/7b/1b/60x45/7b1beb86.jpg |  Audi A4 III (B7)2.0d CVT (140 л.с.) 8V  | #000000 | 658 888 |  2008  |  99 215 км  |  2.0d CVT (140 л.с.) 8Vуниверсал, дизель, передний  | Санкт-Петербург | 22.01.15
41610934-640794 | http://is17.auto.ru/all/images/2b/07/60x45/2b076c3b.jpg |  Audi A4 III (B7)1.8 CVT (163 л.с.)  | #9c9999 | 615 000 |  2006  |  86 000 км  |  1.8 CVT (163 л.с.)седан, бензин, передний  | Орехово-Зуево | 22.01.15
1007236293-b7d4 | http://is9.auto.ru/all/images/f3/91/60x45/f391c3c9.jpg |  Audi A4 I (B5) Рестайлинг1.8 AT (125 л.с.)  | #9966CC | 259 888 |  2000  |  190 000 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Санкт-Петербург | 22.01.15
1006927955-f1b5 | http://is2.auto.ru/all/images/2a/7a/60x45/2a7a7b3f.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #FFFFFF | 1 300 000 |  2014  |  4 500 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1001402681-7fec3c | http://is6.auto.ru/all/images/c8/ad/60x45/c8ad846c.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #34ba2b | 560 000 |  2006  |  120 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007219225-91f2 | http://is2.auto.ru/all/images/48/80/60x45/48801f45.jpg |  Audi A4 II (B6)1.8 AT (150 л.с.) 4WD  | #CACECB | 365 000 |  2003  |  91 000 км  |  1.8 AT (150 л.с.) 4WDуниверсал, бензин, полный  | Москва | 22.01.15
1007219195-99c0d7 | http://is17.auto.ru/all/images/67/97/60x45/67978f03.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9c9999 | 575 000 |  2006  |  89 000 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007117741-a75e | http://is8.auto.ru/all/images/ae/13/60x45/ae1324e2.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 940 000 |  2011  |  53 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Тула | 22.01.15
1007236103-6a1a2 | http://is17.auto.ru/all/images/a0/d6/60x45/a0d65665.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #000000 | 789 000 |  2008  |  123 000 км  |  2.0 CVT (180 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007187675-ddaf2 | http://is16.auto.ru/all/images/84/c0/60x45/84c0e92e.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 1 399 000 |  2013  |  39 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Липецк | 22.01.15
1006983027-eda2f1 | http://is12.auto.ru/all/images/0c/d7/60x45/0cd7687a.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #9c9999 | 1 300 000 |  2013  |  31 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007110803-b98d63 | http://is15.auto.ru/all/images/ce/05/60x45/ce05e0fb.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 540 000 |  2007  |  59 520 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007235665-70c6e | http://is13.auto.ru/all/images/c7/d1/60x45/c7d106a5.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 770 000 |  2008  |  91 500 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007235621-24db7 | http://is2.auto.ru/all/images/37/29/60x45/37298b15.jpg |  Audi A4 IV (B8) Рестайлинг2.0 AT (225 л.с.) 4WD  | #FFFFFF | 1 800 000 |  2014  |  9 200 км  |  2.0 AT (225 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
46632332-97342 | http://is6.auto.ru/all/images/0b/38/60x45/0b38b5ba.jpg |  Audi A4 II (B6)1.8 CVT (170 л.с.)  | #CACECB | 350 000 |  2004  |  203 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Осташков | 22.01.15
1007235435-9b5da | http://is18.auto.ru/all/images/77/0c/60x45/770c522d.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 1 534 888 |  2013  |  49 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
48748478-3ffcdc | http://is10.auto.ru/all/images/bc/f6/60x45/bcf6c342.jpg |  Audi A4 IV (B8)2.0 CVT (211 л.с.)  | #FFFFFF | 800 000 |  2008  |  91 500 км  |  2.0 CVT (211 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007234159-5d19 | http://is6.auto.ru/all/images/43/5c/60x45/435ca3e7.jpg |  Audi A4 I (B5)1.6 MT (101 л.с.)  | #34ba2b | 189 000 |  1995  |  256 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Нижний Новгород | 22.01.15
1006939769-3c7c | http://is14.auto.ru/all/images/a1/4e/60x45/a14ea3c4.jpg |  Audi A4 III (B7)1.9d MT (115 л.с.)  | #000000 | 550 000 |  2006  |  132 000 км  |  1.9d MT (115 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1002105059-87d4e | http://is14.auto.ru/all/images/54/44/60x45/5444ace7.jpg |  Audi A4 II (B6)1.8 MT (150 л.с.)  | #0000FF | 380 000 |  2001  |  200 000 км  |  1.8 MT (150 л.с.)седан, бензин, передний  | Воронеж | 22.01.15
1007163553-284e0 | http://is7.auto.ru/all/images/86/b7/60x45/86b76174.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 799 000 |  2010  |  74 000 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Саки | 22.01.15
1007234423-d02355 | http://is15.auto.ru/all/images/cc/26/60x45/cc264a74.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #000000 | 395 000 |  2003  |  158 000 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 22.01.15
1007234313-593bb | http://is14.auto.ru/all/images/ee/41/60x45/ee412eca.jpg |  Audi A4 III (B7)2.0 CVT (150 л.с.)  | #CACECB | 550 000 |  2005  |  145 000 км  |  2.0 CVT (150 л.с.)седан, бензин, передний  | Рязань | 22.01.15
1007043353-49492b | http://is8.auto.ru/all/images/89/1b/60x45/891b2f45.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #FFFFFF | 940 000 |  2011  |  78 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1003903470-49664 | http://is3.auto.ru/all/images/32/d6/60x45/32d60404.jpg |  Audi A4 III (B7)3.2 AT (256 л.с.) 4WD  | #0000FF | 450 000 |  2006  |  150 000 км  |  3.2 AT (256 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007233645-721e | http://is5.auto.ru/all/images/cf/c9/60x45/cfc9af7d.jpg |  Audi A4 I (B5) Рестайлинг1.8 MT (180 л.с.)  | #CACECB | 265 000 |  2001  |  175 000 км  |  1.8 MT (180 л.с.)седан, бензин, передний  | Железногорск | 22.01.15
1007233695-a200 | http://is13.auto.ru/all/images/6a/94/60x45/6a94463b.jpg |  Audi A4 II (B6)1.9d CVT (130 л.с.)  | #CACECB | 350 000 |  2004  |  150 000 км  |  1.9d CVT (130 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1005168089-41fa | http://is7.auto.ru/all/images/38/02/60x45/38026da7.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #000000 | 1 370 000 |  2014  |  10 000 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005861369-cc43 | http://is2.auto.ru/all/images/c4/e7/60x45/c4e77a35.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #000000 | 1 049 000 |  2011  |  63 700 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233873-edb47 | http://is17.auto.ru/all/images/0e/2c/60x45/0e2cc0fd.jpg |  Audi A4 II (B6)1.8 MT (170 л.с.) 4WD  | #0000FF | 350 000 |  2001  |  178 000 км  |  1.8 MT (170 л.с.) 4WDседан, бензин, полный  | Великий Новгород | 22.01.15
1005255079-98708 | http://is16.auto.ru/all/images/d1/41/60x45/d141b648.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #000000 | 800 000 |  2008  |  92 052 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 22.01.15
48196844-ec89 | http://is11.auto.ru/all/images/b5/86/60x45/b586c16f.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #34ba2b | 810 069 |  2008  |  88 500 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Москва | 22.01.15
1005453815-2d0a | http://is18.auto.ru/all/images/b6/1d/60x45/b61d98aa.jpg |  Audi A4 IV (B8)2.0d CVT (143 л.с.)  | #926547 | 710 000 |  2008  |  111 345 км  |  2.0d CVT (143 л.с.)универсал, дизель, передний  | Москва | 22.01.15
1007233799-cb26 | http://is7.auto.ru/all/images/5f/34/60x45/5f34fd2c.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (170 л.с.)  | #000000 | 1 280 000 |  2013  |  19 000 км  |  1.8 CVT (170 л.с.)седан, бензин, передний  | Москва | 22.01.15
1007233813-66e7fd | http://is4.auto.ru/all/images/9b/a9/60x45/9ba96b74.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #9966CC | 685 000 |  2007  |  127 900 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Санкт-Петербург | 22.01.15
1007223089-94a865 | http://is18.auto.ru/all/images/fb/fd/60x45/fbfd23c8.jpg |  Audi A4 IV (B8)1.8 CVT (160 л.с.)  | #9c9999 | 680 000 |  2008  |  130 000 км  |  1.8 CVT (160 л.с.)седан, бензин, передний  | Санкт-Петербург | 22.01.15
1006982259-f1879 | http://is3.auto.ru/all/images/ef/b9/60x45/efb9c0ff.jpg |  Audi A4 III (B7)2.0 AT (200 л.с.) 4WD  | #0088ff | 645 000 |  2007  |  86 175 км  |  2.0 AT (200 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1007186299-dcdf0 | http://is3.auto.ru/all/images/e2/3f/60x45/e23f17e8.jpg |  Audi A4 IV (B8) Рестайлинг1.8 CVT (120 л.с.)  | #FFFFFF | 1 580 000 |  2014  |  15 км  |  1.8 CVT (120 л.с.)седан, бензин, передний  | Краснодар | 22.01.15
1007154041-e026 | http://is13.auto.ru/all/images/95/8e/60x45/958e967d.jpg |  Audi A4 IV (B8)2.0 CVT (180 л.с.)  | #9c9999 | 794 000 |  2009  |  160 000 км  |  2.0 CVT (180 л.с.)универсал, бензин, передний  | Москва | 22.01.15
1007233503-0b55 | http://is5.auto.ru/all/images/43/d7/60x45/43d704a2.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #CACECB | 490 000 |  2006  |  88 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
1004345617-65e1b5 | http://is7.auto.ru/all/images/e5/25/60x45/e525ebb0.jpg |  Audi A4 IV (B8)2.0 AT (211 л.с.) 4WD  | #FFFFFF | 900 000 |  2009  |  125 000 км  |  2.0 AT (211 л.с.) 4WDседан, бензин, полный  | Москва | 22.01.15
1006568591-620b2 | http://is7.auto.ru/all/images/dd/90/60x45/dd908744.jpg |  Audi A4 III (B7)2.0 CVT (130 л.с.)  | #000000 | 615 000 |  2006  |  125 000 км  |  2.0 CVT (130 л.с.)седан, бензин, передний  | Москва | 22.01.15
