48886618-4ddd | http://is3.auto.ru/all/images/5c/10/60x45/5c10dc0f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 415 555 |  2007  |  115 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005382733-6b05 | http://is2.auto.ru/all/images/08/5c/60x45/085cf676.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #0000FF | 485 000 |  2010  |  91 470 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292747-35d771 | http://is18.auto.ru/all/images/b7/11/60x45/b71108a5.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #CACECB | 600 000 |  2011  |  35 000 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Красноярск | 23.01.15
1007292565-0b24f1 | http://is15.auto.ru/all/images/66/ec/60x45/66ece852.jpg |  Opel Astra G1.8 MT (125 л.с.)  | #34ba2b | 250 000 |  2004  |  145 000 км  |  1.8 MT (125 л.с.)купе, бензин, передний  | Москва | 23.01.15
1007292571-bae3 | http://is9.auto.ru/all/images/4d/69/60x45/4d69ff56.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 415 000 |  2009  |  79 350 км  |  1.8 AT (140 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007292379-dae18 | http://is13.auto.ru/all/images/10/5f/60x45/105fb416.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 488 888 |  2011  |  41 000 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007292275-3880c | http://is17.auto.ru/all/images/f9/3a/60x45/f93abcc6.jpg |  Opel Astra J Рестайлинг1.6 MT (180 л.с.)  | #9c9999 | 628 888 |  2013  |  16 288 км  |  1.6 MT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292361-5da30e | http://is16.auto.ru/all/images/5f/86/60x45/5f86bb22.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #0000FF | 428 888 |  2009  |  87 800 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292039-335c | http://is2.auto.ru/all/images/91/ca/60x45/91ca2a24.jpg |  Opel Astra G1.6 MT (84 л.с.)  | #9c9999 | 245 000 |  2004  |  98 000 км  |  1.6 MT (84 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292025-3aa3d6 | http://is9.auto.ru/all/images/f5/d0/60x45/f5d05405.jpg |  Opel Astra G1.6 MT (101 л.с.)  | #CACECB | 255 000 |  2003  |  112 000 км  |  1.6 MT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291959-1dac5 | http://is11.auto.ru/all/images/ee/08/60x45/ee08c07f.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #0000FF | 335 000 |  2008  |  83 214 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291955-4cb55a | http://is3.auto.ru/all/images/3c/8b/60x45/3c8b1748.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #9c9999 | 355 000 |  2009  |  64 532 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007292015-2ca1e | http://is5.auto.ru/all/images/58/5c/60x45/585c8341.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 370 000 |  2009  |  73 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005633917-caf698 | http://is8.auto.ru/all/images/54/bd/60x45/54bdd0d8.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 648 000 |  2013  |  56 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Липецк | 23.01.15
1007291879-fb1e | http://is13.auto.ru/all/images/f1/51/60x45/f151b095.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 485 000 |  2011  |  57 926 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007291773-e1e6ca | http://is14.auto.ru/all/images/0a/44/60x45/0a44569a.jpg |  Opel Astra G1.6 MT (75 л.с.)  | #0000FF | 130 000 |  1998  |  105 326 км  |  1.6 MT (75 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007291791-32c68 | http://is3.auto.ru/all/images/4f/61/60x45/4f61404c.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 355 000 |  2008  |  75 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007291205-ae49 | http://is7.auto.ru/all/images/62/ea/60x45/62eab470.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #ffefd5 | 310 000 |  2008  |  67 250 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290955-1cfcb | http://is9.auto.ru/all/images/6e/41/60x45/6e416477.jpg |  Opel Astra G1.6 MT (84 л.с.)  | #FF0000 | 255 000 |  2004  |  118 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290819-6de0 | http://is15.auto.ru/all/images/25/1f/60x45/251f5d96.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 420 000 |  2011  |  58 990 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007253827-a2f9ec | http://is18.auto.ru/all/images/7d/44/60x45/7d44766f.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 450 000 |  2009  |  144 000 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007290877-28f0 | http://is18.auto.ru/all/images/46/a8/60x45/46a868c8.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #000000 | 360 000 |  2008  |  89 992 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290843-cdec7b | http://is9.auto.ru/all/images/ca/fd/60x45/cafd433c.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 365 000 |  2009  |  89 888 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290897-d2d465 | http://is2.auto.ru/all/images/ff/c6/60x45/ffc6f861.jpg |  Opel Astra H Рестайлинг1.3d MT (90 л.с.)  | #0000FF | 365 000 |  2008  |  84 520 км  |  1.3d MT (90 л.с.)универсал, дизель, передний  | Москва | 23.01.15
1007290675-c46a1 | http://is5.auto.ru/all/images/c1/c8/60x45/c1c805cc.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 420 000 |  2007  |  98 100 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290703-d45cd | http://is16.auto.ru/all/images/9e/78/60x45/9e78bc75.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 470 000 |  2009  |  82 100 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290503-c2b1b7 | http://is18.auto.ru/all/images/7b/c6/60x45/7bc6a49a.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFCC00 | 422 222 |  2011  |  34 981 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290455-c93840 | http://is9.auto.ru/all/images/ba/d1/60x45/bad19286.jpg |  Opel Astra J Рестайлинг1.6 MT (115 л.с.)  | #000000 | 599 999 |  2014  |  16 294 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290525-fc55 | http://is5.auto.ru/all/images/bc/5d/60x45/bc5da5d6.jpg |  Opel Astra J Рестайлинг1.6 MT (115 л.с.)  | #0000FF | 655 555 |  2013  |  27 109 км  |  1.6 MT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290487-3e5b | http://is18.auto.ru/all/images/08/9f/60x45/089fb55b.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 355 555 |  2009  |  56 194 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290583-612078 | http://is5.auto.ru/all/images/cd/0e/60x45/cd0e4a21.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9c9999 | 399 999 |  2009  |  55 237 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290319-0752d | http://is8.auto.ru/all/images/da/9a/60x45/da9abb64.jpg |  Opel Astra G1.4 MT (90 л.с.)  | #CACECB | 255 000 |  2005  |  111 453 км  |  1.4 MT (90 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290367-b0f04b | http://is16.auto.ru/all/images/ad/55/60x45/ad554905.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 380 000 |  2007  |  85 967 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290399-06e88d | http://is11.auto.ru/all/images/61/b3/60x45/61b38b06.jpg |  Opel Astra H Рестайлинг1.3d MT (90 л.с.)  | #CACECB | 455 000 |  2009  |  79 456 км  |  1.3d MT (90 л.с.)универсал, дизель, передний  | Москва | 23.01.15
1007290155-b529e | http://is2.auto.ru/all/images/48/7f/60x45/487f6bdb.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 455 000 |  2010  |  43 400 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290121-30fe30 | http://is18.auto.ru/all/images/a9/c3/60x45/a9c38080.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 475 000 |  2011  |  42 814 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290123-cd09 | http://is17.auto.ru/all/images/6f/b3/60x45/6fb35004.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 515 000 |  2011  |  42 879 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290131-e9ede4 | http://is13.auto.ru/all/images/f6/bb/60x45/f6bb6b45.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 525 000 |  2011  |  43 612 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290129-014a | http://is5.auto.ru/all/images/97/03/60x45/970310c2.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 555 000 |  2012  |  42 300 км  |  1.8 AT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290167-54c2 | http://is5.auto.ru/all/images/32/a7/60x45/32a74b8a.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #CACECB | 565 000 |  2013  |  23 618 км  |  1.8 MT (140 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290087-55409 | http://is8.auto.ru/all/images/52/6e/60x45/526ebdbf.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #000000 | 640 000 |  2011  |  48 400 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290125-81c6a5 | http://is11.auto.ru/all/images/44/00/60x45/44001cad.jpg |  Opel Astra J1.6 AT (180 л.с.)  | #CACECB | 655 000 |  2011  |  58 400 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290127-2934a | http://is7.auto.ru/all/images/f5/18/60x45/f518bf6e.jpg |  Opel Astra J1.6 AT (180 л.с.)  | #9c9999 | 660 000 |  2011  |  62 200 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006810043-3e6b68 | http://is9.auto.ru/all/images/ec/f7/60x45/ecf7eb66.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FF0000 | 450 000 |  2009  |  68 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290185-e1ccfa | http://is2.auto.ru/all/images/82/e3/60x45/82e3fb0b.jpg |  Opel Astra G1.6 MT (103 л.с.)  | #9c9999 | 205 000 |  2003  |  155 400 км  |  1.6 MT (103 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290151-e83667 | http://is4.auto.ru/all/images/3e/4f/60x45/3e4ff6dd.jpg |  Opel Astra H1.8 MT (125 л.с.)  | #0088ff | 385 000 |  2007  |  77 300 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290157-64c4 | http://is4.auto.ru/all/images/eb/d1/60x45/ebd10cf8.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 475 000 |  2009  |  54 781 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007103265-e2047 | http://is17.auto.ru/all/images/04/e6/60x45/04e650e3.jpg |  Opel Astra H Рестайлинг1.6 MT (180 л.с.)  | #FF0000 | 330 000 |  2007  |  88 000 км  |  1.6 MT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007076795-07f2e | http://is8.auto.ru/all/images/1f/47/60x45/1f47d54f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #FFFFFF | 450 000 |  2007  |  128 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Краснодар | 23.01.15
1007153293-703b | http://is16.auto.ru/all/images/87/fa/60x45/87fad39c.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #CACECB | 595 000 |  2013  |  45 000 км  |  1.6 MT (115 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007288017-d0212 | http://is8.auto.ru/all/images/6e/36/60x45/6e362376.jpg |  Opel Astra G1.6 AT (101 л.с.)  | #9c9999 | 255 555 |  2003  |  78 695 км  |  1.6 AT (101 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007287073-f831a | http://is17.auto.ru/all/images/d1/87/60x45/d187c421.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #ffefd5 | 355 555 |  2010  |  56 895 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007286499-3db8 | http://is3.auto.ru/all/images/f4/f5/60x45/f4f5ca50.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #9c9999 | 305 000 |  2009  |  73 500 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286477-b487 | http://is16.auto.ru/all/images/91/b3/60x45/91b37f7a.jpg |  Opel Astra J1.4 AT (140 л.с.)  | #9c9999 | 355 555 |  2009  |  92 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286485-5a994 | http://is8.auto.ru/all/images/3d/41/60x45/3d41e1f5.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #000000 | 385 555 |  2009  |  69 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286203-dd4e | http://is8.auto.ru/all/images/1e/98/60x45/1e98974f.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9c9999 | 333 333 |  2008  |  75 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286005-21e4 | http://is1.auto.ru/all/images/d3/e6/60x45/d3e60cd8.jpg |  Opel Astra G1.8 MT (125 л.с.)  | #0000FF | 210 000 |  2001  |  230 011 км  |  1.8 MT (125 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285905-a80c6 | http://is6.auto.ru/all/images/60/7e/60x45/607ed7a5.jpg |  Opel Astra G1.6 MT (101 л.с.)  | #FF0000 | 199 999 |  2004  |  98 000 км  |  1.6 MT (101 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285873-2ce4ac | http://is2.auto.ru/all/images/4b/d6/60x45/4bd6afc7.jpg |  Opel Astra G1.8 AT (125 л.с.)  | #FF0000 | 255 555 |  2001  |  257 400 км  |  1.8 AT (125 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007285795-80935 | http://is5.auto.ru/all/images/98/5c/60x45/985c7f1f.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #000000 | 599 999 |  2011  |  73 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285505-ea920a | http://is2.auto.ru/all/images/72/44/60x45/72448a8a.jpg |  Opel Astra J1.6 AT (180 л.с.)  | #000000 | 659 000 |  2011  |  121 758 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285509-6474c | http://is17.auto.ru/all/images/00/d0/60x45/00d0b2c8.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #FFFFFF | 733 333 |  2012  |  46 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285495-8e5c67 | http://is15.auto.ru/all/images/72/d3/60x45/72d31c7a.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #ffefd5 | 399 000 |  2007  |  137 909 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285363-ca2b62 | http://is2.auto.ru/all/images/f0/35/60x45/f0351555.jpg |  Opel Astra J1.4 MT (140 л.с.)  | #FFFFFF | 749 000 |  2010  |  49 750 км  |  1.4 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285287-12d7cf | http://is9.auto.ru/all/images/2d/67/60x45/2d67cf3a.jpg |  Opel Astra H Рестайлинг1.6 AT (180 л.с.)  | #000000 | 388 888 |  2009  |  86 000 км  |  1.6 AT (180 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007285203-8f848c | http://is4.auto.ru/all/images/d3/fd/60x45/d3fd5394.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #ffefd5 | 388 888 |  2009  |  56 000 км  |  1.6 AT (115 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007285233-8034bf | http://is8.auto.ru/all/images/8b/7b/60x45/8b7b0ba2.jpg |  Opel Astra J Рестайлинг1.4 AT (140 л.с.)  | #fde910 | 650 000 |  2012  |  37 000 км  |  1.4 AT (140 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284957-1246fd | http://is5.auto.ru/all/images/b5/e9/60x45/b5e9195e.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9c9999 | 450 000 |  2010  |  65 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284949-e81103 | http://is10.auto.ru/all/images/cd/80/60x45/cd80d5f3.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #CACECB | 305 900 |  2006  |  110 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284807-3a390 | http://is8.auto.ru/all/images/69/38/60x45/6938b71b.jpg |  Opel Astra J Рестайлинг1.6 MT (115 л.с.)  | #9c9999 | 610 000 |  2013  |  46 342 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284819-1250b | http://is14.auto.ru/all/images/e5/c1/60x45/e5c15684.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #000000 | 365 000 |  2009  |  70 000 км  |  1.6 AT (115 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007284531-3ab0 | http://is11.auto.ru/all/images/0e/0c/60x45/0e0ce24e.jpg |  Opel Astra H Рестайлинг1.6 MT (115 л.с.)  | #000000 | 479 000 |  2011  |  65 000 км  |  1.6 MT (115 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007281199-1b73 | http://is15.auto.ru/all/images/c5/e5/60x45/c5e5d5dd.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #9966CC | 255 000 |  2007  |  141 000 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Дзержинский | 23.01.15
1007284359-9b321 | http://is12.auto.ru/all/images/72/05/60x45/72051ddb.jpg |  Opel Astra H1.6 AT (105 л.с.)  | #9c9999 | 290 000 |  2006  |  123 000 км  |  1.6 AT (105 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007284275-bed568 | http://is18.auto.ru/all/images/43/4a/60x45/434aeda7.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #000000 | 355 000 |  2009  |  82 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284109-8505 | http://is17.auto.ru/all/images/85/81/60x45/85815b8d.jpg |  Opel Astra H Рестайлинг1.3d MT (90 л.с.)  | #0000FF | 329 000 |  2008  |  85 340 км  |  1.3d MT (90 л.с.)универсал, дизель, передний  | Санкт-Петербург | 23.01.15
1007284065-3906a | http://is14.auto.ru/all/images/fe/e2/60x45/fee217b0.jpg |  Opel Astra J1.6 AT (115 л.с.)  | #000000 | 533 300 |  2012  |  34 562 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283835-1ead | http://is12.auto.ru/all/images/2b/42/60x45/2b4295a1.jpg |  Opel Astra J1.4 MT (140 л.с.)  | #000000 | 700 000 |  2012  |  24 253 км  |  1.4 MT (140 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007283771-07b5 | http://is15.auto.ru/all/images/00/ee/60x45/00ee800e.jpg |  Opel Astra H1.8 AT (125 л.с.)  | #000000 | 370 000 |  2007  |  124 000 км  |  1.8 AT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283489-7267 | http://is18.auto.ru/all/images/20/73/60x45/2073c161.jpg |  Opel Astra H1.8 MT (125 л.с.)  | #FF0000 | 325 000 |  2006  |  98 000 км  |  1.8 MT (125 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283417-bdc66f | http://is6.auto.ru/all/images/ad/8e/60x45/ad8ea866.jpg |  Opel Astra H Рестайлинг1.8 MT (140 л.с.)  | #0000FF | 370 000 |  2008  |  92 000 км  |  1.8 MT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283421-26e6f | http://is18.auto.ru/all/images/a4/fd/60x45/a4fd3c4a.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #9c9999 | 395 000 |  2008  |  89 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283431-cbe5c | http://is13.auto.ru/all/images/52/a8/60x45/52a8ad0f.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 395 000 |  2008  |  67 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283441-0b872d | http://is15.auto.ru/all/images/7c/ce/60x45/7cce2845.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #0000FF | 395 000 |  2008  |  89 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283281-d41263 | http://is16.auto.ru/all/images/7f/86/60x45/7f860acc.jpg |  Opel Astra H Рестайлинг1.6 AT (115 л.с.)  | #FFCC00 | 300 000 |  2006  |  98 500 км  |  1.6 AT (115 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283123-a5fcc | http://is18.auto.ru/all/images/1f/ed/60x45/1fed35d2.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 360 000 |  2007  |  107 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283071-5404 | http://is3.auto.ru/all/images/27/69/60x45/27693fe3.jpg |  Opel Astra H Рестайлинг1.8 AT (140 л.с.)  | #CACECB | 372 000 |  2008  |  80 000 км  |  1.8 AT (140 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
