36596518-52dc | http://is7.auto.ru/all/images/1f/5f/60x45/1f5fb583.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 260 000 |  2007  |  150 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Сургут | 29.07.14
1005735139-66f82 | http://is15.auto.ru/all/images/64/66/60x45/6466bccd.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0088ff | 200 000 |  2007  |  129 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Курск | 26.12.14
1005744409-dc44 | http://is13.auto.ru/all/images/2e/7c/60x45/2e7c4f5c.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 270 000 |  2010  |  90 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Барнаул | 26.12.14
1005744399-899185 | http://is13.auto.ru/all/images/a6/f2/60x45/a6f2d1f1.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #0088ff | 170 000 |  2006  |  130 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Краснодар | 26.12.14
1005748881-9e4af | http://is18.auto.ru/all/images/97/44/60x45/9744753a.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #0000FF | 550 000 |  2014  |  1 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Липецк | 26.12.14
1005753991-7e290f | http://is3.auto.ru/all/images/e3/09/60x45/e309d40a.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #000000 | 335 500 |  2014  |  12 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Омск | 26.12.14
1005757903-0c91 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 235 000 |  2008  |  75 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 26.12.14
1005760019-fcb32 | http://is15.auto.ru/all/images/5c/ab/60x45/5cab7fb4.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #000000 | 230 000 |  2009  |  64 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Углич | 26.12.14
1003906266-98633b | http://is11.auto.ru/all/images/d9/f8/60x45/d9f864eb.jpg |  Renault Logan I1.6 MT  | #000000 | 220 000 |  2007  |  81 524 км  |  1.6 MTседан, бензин, передний  | Уфа | 26.12.14
1005761451-016a4a | http://is2.auto.ru/all/images/6e/6b/60x45/6e6b9f3c.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 350 000 |  2010  |  36 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Владимир | 26.12.14
1005166993-fc6de8 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 430 000 |  2014  |  50 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005803853-a248 | http://is8.auto.ru/all/images/fc/40/60x45/fc4046ca.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #9c9999 | 289 000 |  2010  |  85 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005804517-5e60 | /i/all7/img/no-photo-thumb.gif |  Renault Logan I1.6 MT (90 л.с.)  | #0000FF | 270 000 |  2007  |  20 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Санкт-Петербург | 27.12.14
40756110-ba2e | http://is9.auto.ru/all/images/11/31/60x45/1131dc70.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #CACECB | 166 000 |  2007  |  125 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Белгород | 27.12.14
1005806301-97acc | http://is13.auto.ru/all/images/38/74/60x45/38748c91.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #0000FF | 345 000 |  2011  |  55 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Псков | 27.12.14
1005807309-f136b | http://is5.auto.ru/all/images/9f/74/60x45/9f747881.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 270 000 |  2010  |  97 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Калуга | 27.12.14
1005807821-43f475 | http://is12.auto.ru/all/images/ae/92/60x45/ae92fc8f.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #ffefd5 | 345 000 |  2011  |  60 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 27.12.14
1005807939-cbc5 | http://is8.auto.ru/all/images/c4/f3/60x45/c4f3c619.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 345 000 |  2011  |  65 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Невинномысск | 27.12.14
1005808945-ed1114 | http://is2.auto.ru/all/images/a5/06/60x45/a506cb4d.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 187 000 |  2007  |  75 400 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 27.12.14
1005809103-880e03 | http://is15.auto.ru/all/images/2b/00/60x45/2b00ed0e.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #ffefd5 | 632 000 |  2014  |  2 200 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 27.12.14
1005809439-650b | http://is14.auto.ru/all/images/47/c0/60x45/47c0b99c.jpg |  Renault Logan II1.6 MT (82 л.с.)  | #0088ff | 334 500 |  2014  |  12 км  |  1.6 MT (82 л.с.)седан, бензин, передний  | Самара | 27.12.14
1005812015-bce92 | http://is3.auto.ru/all/images/83/89/60x45/838958e9.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 177 000 |  2008  |  108 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Локоть | 27.12.14
1000218464-f5b7ad | http://is1.auto.ru/all/images/cb/af/60x45/cbaff2a7.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #0000FF | 340 000 |  2012  |  45 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Орел | 27.12.14
1005757403-b4400 | http://is3.auto.ru/all/images/89/f8/60x45/89f8761b.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 360 000 |  2011  |  74 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Тверь | 27.12.14
1001834017-9c5e | http://is16.auto.ru/all/images/5c/44/60x45/5c4455a9.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 365 000 |  2011  |  57 120 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Санкт-Петербург | 28.12.14
1005708413-d959 | http://is18.auto.ru/all/images/87/b5/60x45/87b502ea.jpg |  Renault Logan II1.6 MT (102 л.с.)  | #FF0000 | 655 000 |  2014  |  50 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Москва | 28.12.14
47918250-cacfb | http://is8.auto.ru/all/images/3b/22/60x45/3b2239d6.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 275 000 |  2008  |  26 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Курск | 28.12.14
1002355991-693b95 | http://is11.auto.ru/all/images/5e/d5/60x45/5ed503aa.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #CACECB | 175 000 |  2007  |  120 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Воронеж | 28.12.14
1005861127-88119 | http://is4.auto.ru/all/images/7f/00/60x45/7f000ba0.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FF0000 | 349 000 |  2013  |  23 700 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Псков | 28.12.14
1005861045-88b2d2 | http://is15.auto.ru/all/images/3b/55/60x45/3b557236.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #000000 | 375 000 |  2011  |  50 500 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Смоленск | 28.12.14
1003782634-70ce | http://is5.auto.ru/all/images/ee/7a/60x45/ee7a65da.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #FF0000 | 300 000 |  2010  |  57 318 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005862127-82e4 | http://is6.auto.ru/all/images/b4/54/60x45/b45477f5.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #9c9999 | 258 000 |  2008  |  85 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Рославль | 28.12.14
1005863189-9ca694 | http://is6.auto.ru/all/images/07/c0/60x45/07c03b1a.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #FFFFFF | 230 000 |  2008  |  70 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ростов-на-Дону | 28.12.14
1005443361-2983f3 | http://is9.auto.ru/all/images/80/d8/60x45/80d8bd96.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #FFFFFF | 215 000 |  2012  |  46 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005864011-4e8f | http://is18.auto.ru/all/images/37/dd/60x45/37dd8c01.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #0000FF | 210 000 |  2007  |  134 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 28.12.14
1005864707-8afc | http://is6.auto.ru/all/images/b8/87/60x45/b8879040.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 270 000 |  2009  |  87 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Воронеж | 28.12.14
1005867491-6f514b | http://is18.auto.ru/all/images/e4/fa/60x45/e4fa0fc6.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #ffefd5 | 340 000 |  2012  |  110 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005867457-5d46e | http://is3.auto.ru/all/images/65/cd/60x45/65cd6b7e.jpg |  Renault Logan I Рестайлинг1.6 MT (102 л.с.)  | #ffefd5 | 240 000 |  2011  |  150 000 км  |  1.6 MT (102 л.с.)седан, бензин, передний  | Ростов-на-Дону | 28.12.14
1003706550-a7a605 | http://is7.auto.ru/all/images/76/19/60x45/76194de5.jpg |  Renault Logan I Рестайлинг1.6 AT (102 л.с.)  | #FFFFFF | 465 000 |  2012  |  42 000 км  |  1.6 AT (102 л.с.)седан, бензин, передний  | Москва | 28.12.14
1005868385-1349 | http://is12.auto.ru/all/images/d5/29/60x45/d5296d40.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 260 000 |  2008  |  68 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Кропоткин | 28.12.14
1005868313-67262 | http://is2.auto.ru/all/images/ec/c8/60x45/ecc8af59.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 303 000 |  2012  |  87 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 29.12.14
1005816915-ce68d | /i/all7/img/no-photo-thumb.gif |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #CACECB | 224 000 |  2009  |  135 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Москва | 29.12.14
1005913383-bb84d8 | http://is6.auto.ru/all/images/03/01/60x45/0301db07.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #9c9999 | 305 000 |  2009  |  115 000 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Ярославль | 29.12.14
1005914739-df1d8c | http://is12.auto.ru/all/images/3c/9a/60x45/3c9a174b.jpg |  Renault Logan I Рестайлинг1.6 MT (84 л.с.)  | #000000 | 350 000 |  2010  |  61 300 км  |  1.6 MT (84 л.с.)седан, бензин, передний  | Пенза | 29.12.14
1005916867-8595 | http://is6.auto.ru/all/images/ec/a4/60x45/eca4ce42.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 175 000 |  2006  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Санкт-Петербург | 29.12.14
1005919101-4a53 | http://is2.auto.ru/all/images/0f/59/60x45/0f5944de.jpg |  Renault Logan I Рестайлинг1.4 MT (75 л.с.)  | #000000 | 280 000 |  2012  |  180 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Брянск | 29.12.14
1005922013-0f0a | http://is4.auto.ru/all/images/f9/d4/60x45/f9d49efb.jpg |  Renault Logan I1.4 MT (75 л.с.)  | #9c9999 | 230 000 |  2007  |  120 000 км  |  1.4 MT (75 л.с.)седан, бензин, передний  | Ижевск | 29.12.14
1005923051-f11bb | http://is17.auto.ru/all/images/5d/d3/60x45/5dd343cf.jpg |  Renault Logan I1.6 MT (90 л.с.)  | #000000 | 298 000 |  2008  |  130 000 км  |  1.6 MT (90 л.с.)седан, бензин, передний  | Москва | 29.12.14
