1007255473-928d | http://is8.auto.ru/all/images/f9/ed/60x45/f9edc7da.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 455 000 |  2011  |  98 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Протвино | 23.01.15
1007290853-a9aa5 | http://is13.auto.ru/all/images/5b/e2/60x45/5be2b000.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 470 000 |  2010  |  72 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290917-e36e1e | http://is12.auto.ru/all/images/2e/d4/60x45/2ed4886c.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 545 000 |  2012  |  35 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290759-88ab62 | http://is1.auto.ru/all/images/cb/ee/60x45/cbee7e81.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 380 000 |  2009  |  82 420 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290767-42e8 | http://is12.auto.ru/all/images/2d/08/60x45/2d081785.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 390 000 |  2008  |  89 999 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007290689-4322 | http://is8.auto.ru/all/images/a0/40/60x45/a0404a94.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #0000FF | 480 000 |  2009  |  81 100 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290267-96c4 | http://is2.auto.ru/all/images/07/b9/60x45/07b998ca.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 445 000 |  2010  |  57 200 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007290277-5349a | http://is8.auto.ru/all/images/bb/03/60x45/bb03f7b3.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 495 000 |  2011  |  68 400 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007290143-5967fb | http://is4.auto.ru/all/images/24/ba/60x45/24ba2e23.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 435 000 |  2008  |  65 150 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007286883-fa57d8 | http://is5.auto.ru/all/images/c3/a0/60x45/c3a06db6.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFCC00 | 540 000 |  2010  |  85 200 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007288637-0736 | http://is15.auto.ru/all/images/e0/1f/60x45/e01fdf1c.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FFFFFF | 533 333 |  2012  |  32 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
47535470-970c | http://is2.auto.ru/all/images/f3/15/60x45/f3153b7a.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #0000FF | 355 000 |  2007  |  190 000 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Кинешма | 23.01.15
1007101669-b1fb2 | http://is11.auto.ru/all/images/18/be/60x45/18bea137.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #FF0000 | 395 000 |  2008  |  81 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286225-3472bd | http://is2.auto.ru/all/images/41/83/60x45/41837738.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #9c9999 | 799 999 |  2014  |  16 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007286217-4a686b | http://is5.auto.ru/all/images/7f/e7/60x45/7fe79e15.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #9c9999 | 399 000 |  2008  |  118 000 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007286107-79b72 | http://is16.auto.ru/all/images/13/1e/60x45/131ecbd8.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 555 555 |  2011  |  80 580 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007286111-bede | http://is4.auto.ru/all/images/33/20/60x45/332048f7.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #9c9999 | 495 000 |  2008  |  82 000 км  |  2.0 MT (143 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007284243-6159a | http://is18.auto.ru/all/images/8e/ec/60x45/8eec38d9.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 795 000 |  2013  |  33 761 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007283769-4f29c | http://is17.auto.ru/all/images/e2/48/60x45/e248a656.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #000000 | 670 000 |  2014  |  9 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1004160897-13407 | http://is12.auto.ru/all/images/00/a8/60x45/00a86142.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 405 022 |  2008  |  110 000 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Брянск | 23.01.15
1007285351-282d | http://is11.auto.ru/all/images/31/1f/60x45/311f940e.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 499 000 |  2008  |  103 037 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007285145-5e2b1 | http://is17.auto.ru/all/images/22/fa/60x45/22fa8a7b.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #FFFFFF | 577 000 |  2012  |  47 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284883-cb0b9 | http://is8.auto.ru/all/images/0c/fa/60x45/0cfab16f.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FF0000 | 565 000 |  2010  |  65 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Санкт-Петербург | 23.01.15
1007284891-c504 | http://is18.auto.ru/all/images/19/32/60x45/193272cd.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #CACECB | 398 000 |  2007  |  98 000 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Санкт-Петербург | 23.01.15
1007284575-e82c63 | http://is6.auto.ru/all/images/5f/5d/60x45/5f5d84b3.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #FF0000 | 855 555 |  2014  |  2 000 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007284529-2d3c | http://is11.auto.ru/all/images/23/73/60x45/23732f3d.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #000000 | 499 999 |  2009  |  61 000 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007280161-25a3 | http://is9.auto.ru/all/images/1e/b6/60x45/1eb6bb55.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #000000 | 545 000 |  2012  |  55 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007283557-aa99 | http://is6.auto.ru/all/images/2c/2c/60x45/2c2cd9d5.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 795 000 |  2013  |  8 200 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283623-6c90b7 | http://is18.auto.ru/all/images/19/09/60x45/19097295.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 450 000 |  2009  |  75 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007283327-e88ac | http://is4.auto.ru/all/images/a7/7d/60x45/a77de3a3.jpg |  Kia Cee'd I1.6d MT (115 л.с.)  | #0000FF | 410 000 |  2010  |  77 300 км  |  1.6d MT (115 л.с.)хэтчбек, дизель, передний  | Москва | 23.01.15
1007283365-2d74d5 | http://is14.auto.ru/all/images/28/e2/60x45/28e2f327.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 415 000 |  2010  |  63 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283443-67636 | http://is3.auto.ru/all/images/ac/00/60x45/ac002c51.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #000000 | 475 000 |  2010  |  100 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283345-dfcd | http://is17.auto.ru/all/images/3a/82/60x45/3a82ddfc.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 545 000 |  2012  |  65 300 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283425-02a387 | http://is10.auto.ru/all/images/84/a8/60x45/84a84521.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #ffefd5 | 475 000 |  2009  |  100 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283125-b75ff | http://is1.auto.ru/all/images/b3/f5/60x45/b3f57b6c.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 570 000 |  2010  |  17 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007282957-6a2a1 | http://is4.auto.ru/all/images/31/74/60x45/31741322.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FFFFFF | 430 000 |  2012  |  41 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007282139-6aedb | http://is16.auto.ru/all/images/03/c2/60x45/03c25815.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #CACECB | 420 000 |  2011  |  41 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281999-0863b | http://is8.auto.ru/all/images/0f/67/60x45/0f67ea48.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 530 000 |  2011  |  59 428 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281969-3cb09e | http://is8.auto.ru/all/images/6e/35/60x45/6e356e3c.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #ffefd5 | 545 000 |  2011  |  51 029 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281979-8a1066 | http://is17.auto.ru/all/images/1b/98/60x45/1b987e41.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #fde910 | 550 000 |  2011  |  42 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281855-63da | http://is16.auto.ru/all/images/95/20/60x45/95201de0.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 565 000 |  2012  |  93 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281995-13cdc | http://is13.auto.ru/all/images/c0/9c/60x45/c09cf175.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 575 000 |  2012  |  55 328 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281853-e6615 | http://is8.auto.ru/all/images/41/08/60x45/410859b9.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 580 000 |  2011  |  29 110 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281931-ee36 | http://is7.auto.ru/all/images/a6/90/60x45/a6909529.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #0000FF | 580 000 |  2011  |  56 780 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281943-efca9 | http://is15.auto.ru/all/images/f7/37/60x45/f737e09d.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 860 000 |  2014  |  15 000 км  |  1.6 AT (129 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281621-1a115 | http://is15.auto.ru/all/images/11/ae/60x45/11ae4d34.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #0000FF | 465 000 |  2010  |  68 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281325-9eea | http://is4.auto.ru/all/images/d4/f2/60x45/d4f23994.jpg |  Kia Cee'd II1.6 MT (129 л.с.)  | #CACECB | 590 000 |  2014  |  6 000 км  |  1.6 MT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281821-fb1d02 | http://is9.auto.ru/all/images/df/aa/60x45/dfaae868.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FF0000 | 390 000 |  2009  |  120 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281463-447d | http://is12.auto.ru/all/images/65/a3/60x45/65a34dad.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #FF0000 | 390 000 |  2008  |  86 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281617-e58cb | http://is8.auto.ru/all/images/17/d7/60x45/17d7e89e.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 395 000 |  2009  |  84 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281551-35910c | http://is15.auto.ru/all/images/56/18/60x45/56188429.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 435 000 |  2009  |  76 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281497-b6d5 | http://is8.auto.ru/all/images/a4/00/60x45/a400113b.jpg |  Kia Cee'd I2.0 AT (143 л.с.)  | #0000FF | 495 000 |  2009  |  56 000 км  |  2.0 AT (143 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281293-261d | http://is3.auto.ru/all/images/1c/bd/60x45/1cbd9dec.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #9c9999 | 510 000 |  2011  |  73 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007280841-1e9a8 | http://is8.auto.ru/all/images/e8/83/60x45/e88301d9.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 410 000 |  2010  |  62 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007280799-d1ecc7 | http://is13.auto.ru/all/images/4e/4a/60x45/4e4a891b.jpg |  Kia Cee'd II1.4 MT (100 л.с.)  | #000000 | 415 000 |  2013  |  79 000 км  |  1.4 MT (100 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007256503-c1c8 | http://is9.auto.ru/all/images/63/86/60x45/63867a78.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #9c9999 | 510 000 |  2011  |  40 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Домодедово | 23.01.15
1007140869-00ef95 | http://is15.auto.ru/all/images/07/6e/60x45/076e79d0.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #000000 | 420 000 |  2010  |  88 300 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005241607-9b79f | http://is2.auto.ru/all/images/04/02/60x45/04024043.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #fde910 | 449 000 |  2008  |  109 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007279507-20a39 | http://is15.auto.ru/all/images/37/78/60x45/3778b23b.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #CACECB | 510 000 |  2010  |  68 653 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007278637-5bcb | http://is18.auto.ru/all/images/13/29/60x45/1329e666.jpg |  Kia Cee'd I2.0 MT (143 л.с.)  | #ffefd5 | 424 000 |  2008  |  113 823 км  |  2.0 MT (143 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278869-e96f9 | http://is15.auto.ru/all/images/a6/c7/60x45/a6c7224d.jpg |  Kia Cee'd I1.4 MT (109 л.с.)  | #000000 | 424 000 |  2008  |  122 877 км  |  1.4 MT (109 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278863-a8698 | http://is2.auto.ru/all/images/3a/e1/60x45/3ae15526.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 444 000 |  2008  |  139 000 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278865-235188 | http://is4.auto.ru/all/images/4f/6b/60x45/4f6bd0f2.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 534 000 |  2009  |  58 500 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278931-bb273 | http://is2.auto.ru/all/images/e9/e4/60x45/e9e4a421.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 534 000 |  2009  |  82 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Коломна | 23.01.15
1007278565-ecbf6 | http://is17.auto.ru/all/images/0d/15/60x45/0d15e534.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #0000FF | 414 000 |  2008  |  98 490 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1007278283-acca7 | http://is17.auto.ru/all/images/1c/01/60x45/1c019f92.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 455 000 |  2009  |  51 264 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005352923-d199f8 | http://is11.auto.ru/all/images/2a/fb/60x45/2afb3784.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 495 000 |  2010  |  131 352 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.01.15
1005352903-63303 | http://is9.auto.ru/all/images/62/f5/60x45/62f5e16d.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 594 000 |  2012  |  42 794 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Воронеж | 23.01.15
1005286353-13cc | http://is5.auto.ru/all/images/e3/b4/60x45/e3b4b80b.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #CACECB | 475 000 |  2010  |  119 358 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Иваново | 23.01.15
1007277855-ce3f0c | http://is4.auto.ru/all/images/e9/da/60x45/e9dad6b1.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #000000 | 509 000 |  2011  |  67 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007277779-fc0c | http://is9.auto.ru/all/images/11/19/60x45/1119f793.jpg |  Kia Cee'd I Рестайлинг1.4 MT (109 л.с.)  | #FFFFFF | 524 000 |  2012  |  67 999 км  |  1.4 MT (109 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007277815-ff0f | http://is9.auto.ru/all/images/c7/3d/60x45/c73dc99f.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #000000 | 428 000 |  2008  |  91 999 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007276077-2f0fc | http://is11.auto.ru/all/images/9f/fb/60x45/9ffb9a98.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #FFCC00 | 445 000 |  2009  |  56 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007272583-fcea9b | http://is9.auto.ru/all/images/31/ea/60x45/31ea0efb.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #CACECB | 410 000 |  2010  |  63 400 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007272043-8795 | http://is4.auto.ru/all/images/fb/dc/60x45/fbdc29cc.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FF0000 | 455 000 |  2010  |  78 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007269473-cdf7 | http://is8.auto.ru/all/images/bd/4a/60x45/bd4a1404.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #9c9999 | 460 000 |  2010  |  56 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007269479-15a6db | http://is1.auto.ru/all/images/15/a8/60x45/15a847f1.jpg |  Kia Cee'd I Рестайлинг2.0 AT (143 л.с.)  | #0000FF | 475 000 |  2010  |  65 381 км  |  2.0 AT (143 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007271053-1c2001 | http://is5.auto.ru/all/images/1a/f0/60x45/1af0d452.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #FF0000 | 495 000 |  2012  |  72 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Подольск | 23.01.15
1007269745-5b45 | http://is2.auto.ru/all/images/e1/5a/60x45/e15a073f.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #9c9999 | 510 000 |  2010  |  49 376 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1006943431-93d5de | http://is4.auto.ru/all/images/2e/2a/60x45/2e2a689c.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #CACECB | 599 000 |  2010  |  58 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1005613063-241f | http://is8.auto.ru/all/images/c2/7d/60x45/c27d29a9.jpg |  Kia Cee'd I Рестайлинг1.6 AT (122 л.с.)  | #ffefd5 | 620 000 |  2011  |  92 000 км  |  1.6 AT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007272587-23c3d | http://is3.auto.ru/all/images/cd/b9/60x45/cdb9fa16.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #0000FF | 760 000 |  2014  |  19 800 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007198471-136d9 | http://is8.auto.ru/all/images/83/91/60x45/83914732.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #CACECB | 769 000 |  2012  |  87 955 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007271855-6e4bc | http://is11.auto.ru/all/images/5b/5d/60x45/5b5dab4b.jpg |  Kia Cee'd II1.6 AT (129 л.с.)  | #926547 | 876 000 |  2013  |  30 854 км  |  1.6 AT (129 л.с.)хэтчбек, бензин, передний  | Казань | 23.01.15
1007273925-bf708 | http://is9.auto.ru/all/images/c1/7b/60x45/c17b1ad5.jpg |  Kia Cee'd I Рестайлинг1.6 MT (122 л.с.)  | #FF0000 | 380 000 |  2010  |  75 254 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007271295-a46940 | http://is17.auto.ru/all/images/f5/08/60x45/f5082984.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #0000FF | 370 000 |  2009  |  82 000 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007269995-0d72 | http://is16.auto.ru/all/images/fe/f0/60x45/fef053c0.jpg |  Kia Cee'd I1.6 AT (122 л.с.)  | #CACECB | 410 000 |  2009  |  91 000 км  |  1.6 AT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1005288105-6d3ab0 | http://is3.auto.ru/all/images/87/bf/60x45/87bf99b6.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #ffefd5 | 415 000 |  2009  |  167 900 км  |  1.6 MT (122 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007269739-e1c7b | http://is14.auto.ru/all/images/01/e3/60x45/01e310ef.jpg |  Kia Cee'd I1.6 MT (122 л.с.)  | #000000 | 415 000 |  2009  |  61 228 км  |  1.6 MT (122 л.с.)универсал, бензин, передний  | Москва | 23.01.15
