1003758136-b9f65c | http://is15.auto.ru/all/images/df/91/60x45/df91b079.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #CACECB | 750 000 |  2011  |  55 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Воронеж | 23.01.15
1007290975-51d3 | http://is1.auto.ru/all/images/6d/f5/60x45/6df5662c.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 435 000 |  2008  |  67 200 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290731-ef98e | http://is5.auto.ru/all/images/70/e2/60x45/70e21345.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 480 000 |  2008  |  41 200 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290671-08f7 | http://is3.auto.ru/all/images/68/3c/60x45/683c17a8.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 485 000 |  2008  |  62 300 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290403-eff67d | http://is7.auto.ru/all/images/cc/e8/60x45/cce871e0.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 485 000 |  2009  |  83 808 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007290385-a827 | http://is5.auto.ru/all/images/2f/3e/60x45/2f3e0c2b.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 490 000 |  2009  |  70 684 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007289709-c1df | http://is13.auto.ru/all/images/d9/5a/60x45/d95a7137.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #FFFFFF | 780 000 |  2011  |  64 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Екатеринбург | 23.01.15
1007290223-0768e | http://is1.auto.ru/all/images/70/bb/60x45/70bb2dae.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #9c9999 | 625 000 |  2011  |  82 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005394499-a1e92 | http://is11.auto.ru/all/images/8c/e4/60x45/8ce4d2a5.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 498 000 |  2008  |  73 275 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Электросталь | 23.01.15
1007289207-3ee9c5 | http://is8.auto.ru/all/images/8c/7d/60x45/8c7d32ba.jpg |  Toyota Corolla X (E140, E150)1.4 MT (97 л.с.)  | #000000 | 599 000 |  2008  |  65 000 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007288865-9ecc | http://is13.auto.ru/all/images/99/87/60x45/99876d87.jpg |  Toyota Corolla VII (E100)2.2d AT  | #FFFFFF | 120 000 Правый руль |  1998  |  300 км  |  2.2d ATуниверсал, дизель, передний  | Бийск | 23.01.15
1007286755-fe4a2a | http://is4.auto.ru/all/images/b8/c7/60x45/b8c710c4.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 465 555 |  2009  |  96 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007286583-1c2908 | http://is13.auto.ru/all/images/18/23/60x45/182331ac.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #9c9999 | 780 000 |  2013  |  26 767 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Тюмень | 23.01.15
1007286551-2ce51 | http://is9.auto.ru/all/images/a3/8f/60x45/a38f270b.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #FFCC00 | 477 777 Правый руль |  2011  |  25 400 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007285419-5c4c | http://is2.auto.ru/all/images/ce/23/60x45/ce236aa1.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #0088ff | 519 000 |  2008  |  130 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007284973-03a295 | http://is17.auto.ru/all/images/6b/5a/60x45/6b5ac78b.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #FFFFFF | 255 555 Правый руль |  2002  |  145 500 км  |  1.6 AT (110 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007284093-c1f3 | http://is18.auto.ru/all/images/22/30/60x45/22309144.jpg |  Toyota Corolla VIII (E110)1.3 AT (85 л.с.)  | #926547 | 85 000 Правый руль |  1998  |  125 963 км  |  1.3 AT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007283951-81c94 | http://is3.auto.ru/all/images/7e/2f/60x45/7e2f3962.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #0088ff | 320 000 |  2005  |  194 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Санкт-Петербург | 23.01.15
1007283683-dc2fa | http://is17.auto.ru/all/images/26/da/60x45/26da86c1.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 465 000 |  2008  |  80 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283501-6172 | http://is4.auto.ru/all/images/de/82/60x45/de82c684.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 410 000 |  2007  |  68 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283601-fc2c91 | http://is6.auto.ru/all/images/ce/cb/60x45/cecb7abb.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #000000 | 445 000 |  2006  |  120 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283389-686d1 | http://is3.auto.ru/all/images/a7/7a/60x45/a77aec97.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 445 000 |  2007  |  87 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283377-dfe5 | http://is14.auto.ru/all/images/50/6c/60x45/506ca397.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 460 000 |  2008  |  68 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007283333-b6795 | http://is7.auto.ru/all/images/c8/33/60x45/c8338ba1.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 470 000 |  2008  |  73 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282701-a69da9 | http://is2.auto.ru/all/images/e7/db/60x45/e7db82cd.jpg |  Toyota Corolla IX (E120, E130)1.8 AT (132 л.с.)  | #CACECB | 315 000 |  2005  |  94 000 км  |  1.8 AT (132 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282771-5b27 | http://is18.auto.ru/all/images/33/46/60x45/33462c93.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #000000 | 350 000 |  2005  |  93 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282869-dc53 | http://is17.auto.ru/all/images/fa/b4/60x45/fab4ba60.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #CACECB | 350 000 |  2006  |  100 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007282571-e7f68 | http://is5.auto.ru/all/images/0a/68/60x45/0a68bac1.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #9c9999 | 435 000 |  2006  |  90 470 км  |  1.6 AT (110 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007281877-e820f8 | http://is13.auto.ru/all/images/e3/f5/60x45/e3f55e58.jpg |  Toyota Corolla VII (E100)1.3 MT (75 л.с.)  | #FF0000 | 155 000 |  1996  |  98 257 км  |  1.3 MT (75 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007281929-7a9cb | http://is8.auto.ru/all/images/81/61/60x45/816118ef.jpg |  Toyota Corolla IX (E120, E130)1.6 MT (110 л.с.)  | #FF0000 | 340 000 |  2006  |  55 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007281215-ffb0c | http://is7.auto.ru/all/images/1a/7e/60x45/1a7ef929.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #0000FF | 485 000 |  2008  |  68 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007280859-546826 | http://is15.auto.ru/all/images/dc/af/60x45/dcaf9004.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4d MT (90 л.с.)  | #CACECB | 370 000 |  2007  |  86 000 км  |  1.4d MT (90 л.с.)хэтчбек, дизель, передний  | Москва | 23.01.15
1006090195-f10cef | http://is4.auto.ru/all/images/c8/be/60x45/c8be3bb7.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 459 000 |  2004  |  115 307 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006185939-56365 | http://is5.auto.ru/all/images/d9/dc/60x45/d9dc2fa9.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 469 000 |  2004  |  86 045 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005549307-f15c | http://is9.auto.ru/all/images/cb/df/60x45/cbdf9806.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 566 280 |  2006  |  109 000 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005241837-97cf7 | http://is17.auto.ru/all/images/9c/1b/60x45/9c1b078f.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #FF0000 | 359 000 |  2006  |  185 000 км  |  1.4 MT (97 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005613581-7f261 | http://is18.auto.ru/all/images/b3/9a/60x45/b39a208b.jpg |  Toyota Corolla VIII (E110)1.3 MT (85 л.с.)  | #CACECB | 175 450 |  1998  |  116 113 км  |  1.3 MT (85 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007279875-459b74 | http://is4.auto.ru/all/images/18/c4/60x45/18c46711.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #CACECB | 450 000 |  2006  |  58 800 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007279179-2c1ad | http://is5.auto.ru/all/images/25/eb/60x45/25eb6228.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 445 000 |  2009  |  77 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278783-dce73 | http://is18.auto.ru/all/images/da/22/60x45/da2293d0.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #0000FF | 724 800 |  2011  |  86 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Коломна | 23.01.15
1007278503-30d9c | http://is2.auto.ru/all/images/7b/69/60x45/7b69ae63.jpg |  Toyota Corolla VIII (E110)1.3 MT (85 л.с.)  | #CACECB | 99 000 |  1997  |  280 000 км  |  1.3 MT (85 л.с.)хэтчбек, бензин, передний  | Коломна | 23.01.15
1006285489-0a52d1 | http://is12.auto.ru/all/images/6b/4f/60x45/6b4fe3d6.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #9c9999 | 629 000 |  2011  |  65 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007278227-58f7 | http://is7.auto.ru/all/images/ff/2a/60x45/ff2a7200.jpg |  Toyota Corolla VIII (E110)1.6 MT (110 л.с.)  | #000000 | 165 000 |  1998  |  112 397 км  |  1.6 MT (110 л.с.)универсал, бензин, передний  | Москва | 23.01.15
1007278213-b59312 | http://is12.auto.ru/all/images/43/46/60x45/4346227b.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 535 000 |  2008  |  65 366 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005286337-e80d | http://is18.auto.ru/all/images/39/1d/60x45/391d8d84.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.4 MT (97 л.с.)  | #CACECB | 354 000 |  2005  |  158 766 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1005286317-10a4d5 | http://is3.auto.ru/all/images/38/5c/60x45/385c69e3.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0088ff | 384 000 |  2006  |  91 000 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1006956183-177a | http://is14.auto.ru/all/images/da/a0/60x45/daa0f7b5.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 485 000 |  2008  |  86 000 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Иваново | 23.01.15
1007275971-8d76 | http://is6.auto.ru/all/images/02/fd/60x45/02fd5577.jpg |  Toyota Corolla VII (E100)1.5 AT (105 л.с.)  | #FFFFFF | 80 000 |  1994  |  220 000 км  |  1.5 AT (105 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272833-d5d75 | http://is17.auto.ru/all/images/e7/20/60x45/e720cc10.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #000000 | 470 000 |  2010  |  43 070 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270373-478798 | http://is8.auto.ru/all/images/9e/f2/60x45/9ef27c62.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 530 000 |  2010  |  74 447 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271959-39393 | http://is16.auto.ru/all/images/df/40/60x45/df409adf.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 AT (124 л.с.)  | #9c9999 | 696 200 |  2011  |  57 100 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Казань | 23.01.15
1005271115-88816 | http://is1.auto.ru/all/images/8b/39/60x45/8b396d7d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 799 000 |  2011  |  65 555 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272767-e068 | http://is8.auto.ru/all/images/1f/5f/60x45/1f5fc38c.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #CACECB | 919 000 |  2014  |  7 623 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007274527-850d4 | http://is6.auto.ru/all/images/93/94/60x45/9394d4a3.jpg |  Toyota Corolla XI (E160, E170)1.6 CVT (122 л.с.)  | #CACECB | 1 050 000 |  2013  |  21 405 км  |  1.6 CVT (122 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270509-2f7d | http://is12.auto.ru/all/images/c4/cd/60x45/c4cd1951.jpg |  Toyota Corolla VIII (E110)1.3 AT (85 л.с.)  | #9966CC | 225 000 |  2000  |  136 000 км  |  1.3 AT (85 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007272231-98d7 | http://is7.auto.ru/all/images/96/8b/60x45/968b9f69.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 350 000 |  2008  |  84 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005288377-67c18 | http://is9.auto.ru/all/images/44/23/60x45/44238435.jpg |  Toyota Corolla IX (E120, E130)1.4 MT (97 л.с.)  | #0088ff | 360 000 |  2004  |  94 440 км  |  1.4 MT (97 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005197153-8142b | http://is7.auto.ru/all/images/8b/04/60x45/8b042625.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #0000FF | 379 000 |  2005  |  119 884 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005288375-fbc67 | http://is14.auto.ru/all/images/91/4f/60x45/914ff37c.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #9c9999 | 395 000 |  2003  |  90 222 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005199685-b187 | http://is7.auto.ru/all/images/77/11/60x45/7711523b.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 MT (110 л.с.)  | #0000FF | 398 000 |  2006  |  99 900 км  |  1.6 MT (110 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1007269189-231bf | http://is2.auto.ru/all/images/d5/15/60x45/d5150e99.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 439 000 |  2008  |  85 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1006385769-f8d9d | http://is17.auto.ru/all/images/bf/da/60x45/bfdafe9a.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 440 000 |  2007  |  106 113 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1007271517-567bc | http://is16.auto.ru/all/images/f8/c3/60x45/f8c30e1e.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 455 000 |  2008  |  81 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270873-e3494f | http://is15.auto.ru/all/images/51/b3/60x45/51b3c9f5.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 457 000 |  2008  |  75 683 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1005781145-f79a | http://is6.auto.ru/all/images/ba/62/60x45/ba622b1f.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 464 750 |  2008  |  47 200 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Краснодар | 23.01.15
1007270363-745762 | http://is17.auto.ru/all/images/81/cf/60x45/81cfdee5.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 465 000 |  2009  |  61 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270875-f600d8 | http://is5.auto.ru/all/images/8a/7f/60x45/8a7ff55d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FFFFFF | 465 000 |  2008  |  91 642 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270877-7b23 | http://is4.auto.ru/all/images/5a/94/60x45/5a9473b3.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 467 000 |  2008  |  86 471 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271021-1295 | http://is2.auto.ru/all/images/be/c6/60x45/bec61763.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 468 000 |  2008  |  70 961 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271519-b579e | http://is9.auto.ru/all/images/7d/1c/60x45/7d1c7e03.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 475 000 |  2009  |  65 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007270881-f1f5 | http://is4.auto.ru/all/images/00/33/60x45/003334e3.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FFFFFF | 479 000 |  2008  |  81 973 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271801-9b48 | http://is13.auto.ru/all/images/f2/3a/60x45/f23a4226.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 485 000 |  2009  |  63 800 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271985-cf57 | http://is6.auto.ru/all/images/72/43/60x45/7243d275.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #FF0000 | 493 500 |  2008  |  50 100 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Казань | 23.01.15
1007269683-36936b | http://is4.auto.ru/all/images/93/95/60x45/9395020c.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #000000 | 505 000 |  2009  |  49 765 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007271807-44dbf2 | http://is13.auto.ru/all/images/17/20/60x45/17202ad1.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0088ff | 510 000 |  2009  |  74 100 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1004919457-0fc3 | http://is3.auto.ru/all/images/b5/bc/60x45/b5bc556d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FFFFFF | 599 000 |  2008  |  61 782 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007269501-706d63 | http://is14.auto.ru/all/images/10/64/60x45/1064b820.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #FF0000 | 620 000 |  2008  |  34 570 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Белгород | 23.01.15
1007266697-00e1 | http://is6.auto.ru/all/images/fd/7f/60x45/fd7ffe4e.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #0000FF | 465 000 |  2010  |  67 849 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268913-809a | http://is5.auto.ru/all/images/3c/3a/60x45/3c3abcb0.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 510 000 |  2010  |  50 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007268921-0c5c | http://is13.auto.ru/all/images/7a/04/60x45/7a043d93.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #CACECB | 520 000 |  2010  |  40 000 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007267893-2105 | http://is15.auto.ru/all/images/b4/2f/60x45/b42f473d.jpg |  Toyota Corolla X (E140, E150)1.6 AT (124 л.с.)  | #9c9999 | 662 000 |  2010  |  19 500 км  |  1.6 AT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
1007264861-76b0 | http://is6.auto.ru/all/images/12/eb/60x45/12eb413d.jpg |  Toyota Corolla X (E140, E150) Рестайлинг1.6 MT (124 л.с.)  | #FFFFFF | 749 000 |  2012  |  13 400 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Саратов | 23.01.15
1007265581-c079 | http://is18.auto.ru/all/images/c0/37/60x45/c03725f3.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #CACECB | 324 900 |  2002  |  131 100 км  |  1.6 AT (110 л.с.)седан, бензин, передний  | Санкт-Петербург | 23.01.15
1007178481-08799 | http://is4.auto.ru/all/images/fa/0a/60x45/fa0a0af2.jpg |  Toyota Corolla IX (E120, E130)1.6 AT (110 л.с.)  | #9c9999 | 397 000 |  2003  |  88 889 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1007267145-48e205 | http://is11.auto.ru/all/images/87/22/60x45/8722b358.jpg |  Toyota Corolla IX (E120, E130) Рестайлинг1.6 AT (110 л.с.)  | #926547 | 415 000 |  2007  |  82 000 км  |  1.6 AT (110 л.с.)хэтчбек, бензин, передний  | Москва | 23.01.15
1005692209-4f94e4 | http://is5.auto.ru/all/images/73/16/60x45/731611e3.jpg |  Toyota Corolla X (E140, E150)1.6 MT (124 л.с.)  | #9c9999 | 455 713 |  2009  |  97 264 км  |  1.6 MT (124 л.с.)седан, бензин, передний  | Москва | 23.01.15
